uuid,parent,level,identifier,name,size
1,,0,root,Root,317459
10002,1,1,:,(no paths),121071
11591,1,1,C:/ncs/v2.9.1/zephyr,ZEPHYR_BASE,100164
12932,1,1,C:/ncs/ws-2.9.1/cpg-ble-reference/central_hids/build_nrf54l15_feat6/central_hids,OUTPUT_DIR,1122
12949,1,1,/,/,0
12993,1,1,C:/ncs/v2.9.1,WORKSPACE,59661
13819,1,1,(hidden),(hidden),35441
20003,10002,2,:\sbox4,sbox4,98462
20004,10002,2,:\mul_reduce,mul_reduce,184
20366,10002,2,:\plat_str.2,plat_str.2,16
20367,10002,2,:\nordic_str.1,nordic_str.1,24
20368,10002,2,:\var_str.0,var_str.0,16
20370,10002,2,__compound_literal*,__compound_literal*,566
20434,10002,2,:\last_adv_mode.1,last_adv_mode.1,1
20435,10002,2,:\flags.0,flags.0,1
20436,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20437,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20438,10002,2,:\hex.4,hex.4,17
20442,10002,2,:\ops.0,ops.0,40
20443,10002,2,:\ops.0,ops.0,40
20444,10002,2,:\ops.0,ops.0,40
20445,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20446,10002,2,:\att_exec_write_req,att_exec_write_req,4
20447,10002,2,:\att_handle_find_type_rsp,att_handle_find_type_rsp,4
20448,10002,2,:\att_handle_read_type_rsp,att_handle_read_type_rsp,4
20449,10002,2,:\att_handle_read_rsp,att_handle_read_rsp,4
20450,10002,2,:\att_handle_read_blob_rsp,att_handle_read_blob_rsp,4
20451,10002,2,:\att_handle_read_mult_rsp,att_handle_read_mult_rsp,4
20452,10002,2,:\att_handle_read_mult_vl_rsp,att_handle_read_mult_vl_rsp,4
20453,10002,2,:\att_handle_read_group_rsp,att_handle_read_group_rsp,4
20454,10002,2,:\att_handle_write_rsp,att_handle_write_rsp,4
20455,10002,2,:\att_handle_prepare_write_rsp,att_handle_prepare_write_rsp,4
20456,10002,2,:\att_handle_exec_write_rsp,att_handle_exec_write_rsp,4
20457,10002,2,:\att_confirm,att_confirm,4
20458,10002,2,:\gatt_read_mult_vl_encode,gatt_read_mult_vl_encode,4
20459,10002,2,:\find_next,find_next,6
20460,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20461,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20486,10002,2,:\smp_signing_info,smp_signing_info,4
20487,10002,2,:\smp_central_ident,smp_central_ident,4
20491,10002,2,:\salt.0,salt.0,16
20492,10002,2,:\transitions.0,transitions.0,12
20493,10002,2,:\parameters.0,parameters.0,8
20494,10002,2,:\pages_layout.1,pages_layout.1,8
20504,10002,2,:\initial_run.2,initial_run.2,1
20505,10002,2,:\addr.0,addr.0,7
20507,10002,2,:\port_offset.1,port_offset.1,16
20512,10002,2,:\levels.0,levels.0,24
20513,10002,2,:\p256_zdblu,p256_zdblu,184
20514,10002,2,:\param_a,param_a,32
20515,10002,2,:\p256_zaddc,p256_zaddc,204
20516,10002,2,:\p256_zaddu,p256_zaddu,152
20517,10002,2,:\param_b,param_b,32
20518,10002,2,:\qp1,qp1,32
20519,10002,2,:\cq,cq,32
20520,10002,2,:\inv_a,inv_a,32
20521,10002,2,:\q,q,32
20522,10002,2,:\sha256_blocks,sha256_blocks,188
20523,10002,2,:\const_table,const_table,256
20524,10002,2,:\sha256_blocks.constprop.0,sha256_blocks.constprop.0,116
20525,10002,2,:\platform_free_uninit,platform_free_uninit,2
20527,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20530,10002,2,:\__ultoa_invert,__ultoa_invert,172
20533,10002,2,:\__aeabi_ul2d,__aeabi_ul2d,106
20545,10002,2,:\memcmp,memcmp,32
20548,10002,2,:\stderr,stderr,4
20549,10002,2,:\ocrypto_bigint_cadd256,ocrypto_bigint_cadd256,92
20552,10002,2,:\ocrypto_sha256_update,ocrypto_sha256_update,428
20561,10002,2,:\mpsl_fem_pa_power_control_set,mpsl_fem_pa_power_control_set,12
20567,10002,2,:\sdc_hci_cmd_le_read_remote_features,sdc_hci_cmd_le_read_remote_features,4
20574,10002,2,:\sdc_hci_cmd_vs_event_length_set,sdc_hci_cmd_vs_event_length_set,4
20583,10002,2,:\mpsl_cx_granted_ops_get,mpsl_cx_granted_ops_get,12
20587,10002,2,:\sdc_hci_cmd_le_read_buffer_size,sdc_hci_cmd_le_read_buffer_size,4
20592,10002,2,:\__aeabi_dsub,__aeabi_dsub,634
20596,10002,2,:\sdc_hci_cmd_vs_qos_conn_event_report_enable,sdc_hci_cmd_vs_qos_conn_event_report_enable,12
20601,10002,2,:\sdc_hci_cmd_le_set_privacy_mode,sdc_hci_cmd_le_set_privacy_mode,4
20602,10002,2,:\sdc_hci_cmd_cb_read_transmit_power_level,sdc_hci_cmd_cb_read_transmit_power_level,4
20603,10002,2,:\mpsl_timeslot_request,mpsl_timeslot_request,182
20608,10002,2,:\bt_addr_any,bt_addr_any,6
20618,10002,2,:\ocrypto_bigint_sub256,ocrypto_bigint_sub256,64
20622,10002,2,:\ocrypto_aes_unslice,ocrypto_aes_unslice,170
20624,10002,2,:\sdc_hci_cmd_vs_peripheral_latency_mode_set,sdc_hci_cmd_vs_peripheral_latency_mode_set,8
20627,10002,2,:\ocrypto_mod_p256_sqr,ocrypto_mod_p256_sqr,48
20628,10002,2,:\__file_str_put,__file_str_put,16
20631,10002,2,:\sdc_support_adv,sdc_support_adv,40
20635,10002,2,:\bt_dev,bt_dev,448
20640,10002,2,:\sdc_hci_cmd_vs_set_role_priority,sdc_hci_cmd_vs_set_role_priority,4
20641,10002,2,:\snprintf,snprintf,88
20649,10002,2,:\__device_dts_ord_122,__device_dts_ord_122,20
20651,10002,2,:\mpsl_fem_enable,mpsl_fem_enable,12
20652,10002,2,:\mpsl_clock_hfclk_request,mpsl_clock_hfclk_request,44
20656,10002,2,:\MPSL_IRQ_TIMER0_Handler,MPSL_IRQ_TIMER0_Handler,20
20660,10002,2,:\ocrypto_curve_p256_to32bytes,ocrypto_curve_p256_to32bytes,4
20669,10002,2,:\strcmp,strcmp,20
20684,10002,2,:\sdc_hci_cmd_le_read_transmit_power,sdc_hci_cmd_le_read_transmit_power,4
20689,10002,2,:\sdc_hci_cmd_le_set_data_length,sdc_hci_cmd_le_set_data_length,4
20690,10002,2,:\ocrypto_mod_p256_inv,ocrypto_mod_p256_inv,350
20691,10002,2,:\cracen_mac_verify_setup,cracen_mac_verify_setup,4
20692,10002,2,:\MPSL_IRQ_CLOCK_Handler,MPSL_IRQ_CLOCK_Handler,216
20694,10002,2,:\sdc_support_phy_update_central,sdc_support_phy_update_central,28
20695,10002,2,:\memset,memset,16
20700,10002,2,:\ocrypto_aes_decrypt_block,ocrypto_aes_decrypt_block,674
20702,10002,2,:\ocrypto_mod_p256_from_bytes,ocrypto_mod_p256_from_bytes,50
20715,10002,2,:\ocrypto_bigint_mul256,ocrypto_bigint_mul256,32
20720,10002,2,:\net_buf_fixed_cb,net_buf_fixed_cb,12
20723,10002,2,:\sdc_enable,sdc_enable,96
20726,10002,2,:\sdc_hci_cmd_le_read_suggested_default_data_length,sdc_hci_cmd_le_read_suggested_default_data_length,4
20727,10002,2,:\sdc_hci_cmd_vs_zephyr_read_version_info,sdc_hci_cmd_vs_zephyr_read_version_info,56
20735,10002,2,:\sdc_hci_cmd_le_remove_device_from_resolving_list,sdc_hci_cmd_le_remove_device_from_resolving_list,4
20741,10002,2,:\ocrypto_sha256_final,ocrypto_sha256_final,414
20742,10002,2,:\ocrypto_curve_p256_from64bytes,ocrypto_curve_p256_from64bytes,100
20747,10002,2,:\sdc_hci_cmd_vs_scan_channel_map_set,sdc_hci_cmd_vs_scan_channel_map_set,4
20749,10002,2,:\memmove,memmove,52
20750,10002,2,:\sdc_hci_cmd_le_conn_update,sdc_hci_cmd_le_conn_update,4
20755,10002,2,:\ocrypto_sha256_loop,ocrypto_sha256_loop,820
20760,10002,2,:\ocrypto_mod_p256_add,ocrypto_mod_p256_add,124
20762,10002,2,:\sdc_hci_cmd_ip_read_bd_addr,sdc_hci_cmd_ip_read_bd_addr,4
20764,10002,2,:\sdc_rand_source_register,sdc_rand_source_register,16
20766,10002,2,:\bt_addr_none,bt_addr_none,6
20767,10002,2,:\strncmp,strncmp,36
20777,10002,2,:\strcpy,strcpy,16
20785,10002,2,:\ocrypto_sha256_init,ocrypto_sha256_init,84
20789,10002,2,:\__aeabi_memcpy,__aeabi_memcpy,26
20790,10002,2,:\sdc_hci_cmd_le_remove_device_from_filter_accept_list,sdc_hci_cmd_le_remove_device_from_filter_accept_list,4
20794,10002,2,:\mpsl_cx_release,mpsl_cx_release,12
20797,10002,2,:\sdc_hci_cmd_le_set_event_mask,sdc_hci_cmd_le_set_event_mask,10
20799,10002,2,:\__libc_fini_array,__libc_fini_array,44
20802,10002,2,:\bt_addr_le_any,bt_addr_le_any,7
20805,10002,2,:\sdc_disable,sdc_disable,36
20810,10002,2,:\MPSL_IRQ_RADIO_Handler,MPSL_IRQ_RADIO_Handler,44
20813,10002,2,:\sdc_hci_cmd_cb_set_event_mask,sdc_hci_cmd_cb_set_event_mask,10
20822,10002,2,:\sdc_hci_cmd_le_enable_encryption,sdc_hci_cmd_le_enable_encryption,4
20827,10002,2,:\strnlen,strnlen,24
20832,10002,2,:\ocrypto_aes_ecb_decrypt,ocrypto_aes_ecb_decrypt,72
20843,10002,2,:\sdc_support_peripheral,sdc_support_peripheral,40
20847,10002,2,:\sdc_hci_cmd_le_add_device_to_filter_accept_list,sdc_hci_cmd_le_add_device_to_filter_accept_list,4
20849,10002,2,:\mpsl_init,mpsl_init,164
20850,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20851,10002,2,:\ocrypto_sc_p256_from32bytes,ocrypto_sc_p256_from32bytes,84
20856,10002,2,:\mpsl_low_priority_process,mpsl_low_priority_process,4
20857,10002,2,:\__floatunsidf,__floatunsidf,30
20858,10002,2,:\sdc_support_dle_peripheral,sdc_support_dle_peripheral,28
20862,10002,2,:\__aeabi_f2d,__aeabi_f2d,66
20863,10002,2,:\sdc_support_central,sdc_support_central,64
20864,10002,2,:\ocrypto_mod_p256_sub,ocrypto_mod_p256_sub,88
20871,10002,2,:\sx_curve_nistp256,sx_curve_nistp256,12
20876,10002,2,:\__device_dts_ord_23,__device_dts_ord_23,20
20879,10002,2,:\ocrypto_aes_decrypt_key_schedule,ocrypto_aes_decrypt_key_schedule,4
20881,10002,2,:\__aeabi_d2uiz,__aeabi_d2uiz,64
20882,10002,2,:\sdc_hci_cmd_vs_zephyr_read_tx_power,sdc_hci_cmd_vs_zephyr_read_tx_power,22
20898,10002,2,:\bt_smp_sign,bt_smp_sign,6
20906,10002,2,:\sdc_hci_cmd_vs_zephyr_read_static_addresses,sdc_hci_cmd_vs_zephyr_read_static_addresses,72
20908,10002,2,:\sdc_hci_cmd_le_set_adv_enable,sdc_hci_cmd_le_set_adv_enable,4
20910,10002,2,:\sdc_hci_cmd_le_read_resolving_list_size,sdc_hci_cmd_le_read_resolving_list_size,4
20920,10002,2,:\mpsl_temperature_get,mpsl_temperature_get,124
20923,10002,2,:\mpsl_cx_register_callback,mpsl_cx_register_callback,12
20928,10002,2,:\mpsl_ecb_block_encrypt_extended,mpsl_ecb_block_encrypt_extended,16
20929,10002,2,:\sdc_hci_cmd_le_create_conn,sdc_hci_cmd_le_create_conn,4
20932,10002,2,:\ocrypto_bigint_add256,ocrypto_bigint_add256,64
20936,10002,2,:\ocrypto_constant_time_is_zero,ocrypto_constant_time_is_zero,26
20959,10002,2,:\sdc_hci_cmd_le_read_filter_accept_list_size,sdc_hci_cmd_le_read_filter_accept_list_size,4
20962,10002,2,:\SystemCoreClock,SystemCoreClock,4
20965,10002,2,:\ocrypto_curve_p256_scalarmult,ocrypto_curve_p256_scalarmult,364
