uuid,parent,level,identifier,name,size
1,,0,root,Root,229904
10002,1,1,:,(no paths),62330
11005,1,1,C:/ncs/v2.9.1/zephyr,ZEPHYR_BASE,94130
12258,1,1,C:/ncs/ws-2.9.1/cpg-ble-reference/central_hids/build_nrf54l15_opt1/central_hids,OUTPUT_DIR,1122
12275,1,1,/,/,0
12319,1,1,C:/ncs/v2.9.1,WORKSPACE,46402
12968,1,1,(hidden),(hidden),25920
20003,10002,2,sym_*,sym_*,53002
20201,10002,2,CSWTCH.*,CSWTCH.*,341
20203,10002,2,:\plat_str.2,plat_str.2,16
20204,10002,2,:\nordic_str.1,nordic_str.1,24
20205,10002,2,:\var_str.0,var_str.0,16
20209,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20210,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20211,10002,2,:\hex.4,hex.4,17
20214,10002,2,:\ops.0,ops.0,40
20215,10002,2,:\ops.0,ops.0,40
20216,10002,2,:\ops.0,ops.0,40
20217,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20218,10002,2,:\att_exec_write_req,att_exec_write_req,4
20219,10002,2,:\att_handle_find_type_rsp,att_handle_find_type_rsp,4
20220,10002,2,:\att_handle_read_type_rsp,att_handle_read_type_rsp,4
20221,10002,2,:\att_handle_read_rsp,att_handle_read_rsp,4
20222,10002,2,:\att_handle_read_blob_rsp,att_handle_read_blob_rsp,4
20223,10002,2,:\att_handle_read_mult_rsp,att_handle_read_mult_rsp,4
20224,10002,2,:\att_handle_read_mult_vl_rsp,att_handle_read_mult_vl_rsp,4
20225,10002,2,:\att_handle_read_group_rsp,att_handle_read_group_rsp,4
20226,10002,2,:\att_handle_write_rsp,att_handle_write_rsp,4
20227,10002,2,:\att_handle_prepare_write_rsp,att_handle_prepare_write_rsp,4
20228,10002,2,:\att_handle_exec_write_rsp,att_handle_exec_write_rsp,4
20229,10002,2,:\att_confirm,att_confirm,4
20230,10002,2,:\gatt_read_mult_vl_encode,gatt_read_mult_vl_encode,4
20231,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20232,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20233,10002,2,__compound_literal*,__compound_literal*,148
20263,10002,2,:\smp_signing_info,smp_signing_info,4
20264,10002,2,:\smp_central_ident,smp_central_ident,4
20265,10002,2,:\smp_pairing_req,smp_pairing_req,4
20269,10002,2,:\salt.0,salt.0,16
20270,10002,2,:\transitions.0,transitions.0,12
20271,10002,2,:\parameters.0,parameters.0,8
20272,10002,2,:\pages_layout.1,pages_layout.1,8
20282,10002,2,:\initial_run.2,initial_run.2,1
20284,10002,2,:\port_offset.1,port_offset.1,16
20289,10002,2,:\levels.0,levels.0,24
20290,10002,2,:\platform_free_uninit,platform_free_uninit,2
20292,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20295,10002,2,:\__ultoa_invert,__ultoa_invert,172
20305,10002,2,:\memcmp,memcmp,32
20311,10002,2,:\mpsl_fem_pa_power_control_set,mpsl_fem_pa_power_control_set,12
