uuid,parent,level,identifier,name,size
1,,0,root,Root,231520
10002,1,1,:,(no paths),7339
10182,1,1,C:/ncs/v2.9.1/zephyr,ZEPHYR_BASE,153618
12069,1,1,C:/ncs/ws-2.9.1/cpg-ble-reference/central_hids/build_nrf54l15_stdz1/central_hids,OUTPUT_DIR,1122
12086,1,1,/,/,0
12130,1,1,C:/ncs/v2.9.1,WORKSPACE,42764
12707,1,1,(hidden),(hidden),26677
20003,10002,2,CSWTCH.*,CSWTCH.*,434
20005,10002,2,:\plat_str.2,plat_str.2,16
20006,10002,2,:\nordic_str.1,nordic_str.1,24
20007,10002,2,:\var_str.0,var_str.0,16
20008,10002,2,:\mfy.1,mfy.1,16
20009,10002,2,:\mfy.1,mfy.1,16
20010,10002,2,:\mfy.1,mfy.1,164
20011,10002,2,:\mfy.1,mfy.1,16
20012,10002,2,:\mfy.1,mfy.1,16
20013,10002,2,:\mfy.5,mfy.5,16
20014,10002,2,:\mfy.5,mfy.5,16
20015,10002,2,:\mfy.3,mfy.3,16
20016,10002,2,:\mfy.3,mfy.3,16
20017,10002,2,:\mfy.7,mfy.7,16
20018,10002,2,:\mfy.7,mfy.7,16
20021,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20022,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20023,10002,2,:\hex.4,hex.4,17
20026,10002,2,:\ops.0,ops.0,40
20027,10002,2,:\ops.0,ops.0,40
20028,10002,2,:\ops.0,ops.0,40
20029,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20030,10002,2,:\att_exec_write_req,att_exec_write_req,4
20031,10002,2,:\att_handle_find_type_rsp,att_handle_find_type_rsp,4
20032,10002,2,:\att_handle_read_type_rsp,att_handle_read_type_rsp,4
20033,10002,2,:\att_handle_read_rsp,att_handle_read_rsp,4
20034,10002,2,:\att_handle_read_blob_rsp,att_handle_read_blob_rsp,4
20035,10002,2,:\att_handle_read_mult_rsp,att_handle_read_mult_rsp,4
20036,10002,2,:\att_handle_read_mult_vl_rsp,att_handle_read_mult_vl_rsp,4
20037,10002,2,:\att_handle_read_group_rsp,att_handle_read_group_rsp,4
20038,10002,2,:\att_handle_write_rsp,att_handle_write_rsp,4
20039,10002,2,:\att_handle_prepare_write_rsp,att_handle_prepare_write_rsp,4
20040,10002,2,:\att_handle_exec_write_rsp,att_handle_exec_write_rsp,4
20041,10002,2,:\att_confirm,att_confirm,4
20042,10002,2,:\gatt_read_mult_vl_encode,gatt_read_mult_vl_encode,4
20043,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20044,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20075,10002,2,:\smp_signing_info,smp_signing_info,4
20076,10002,2,:\smp_central_ident,smp_central_ident,4
20077,10002,2,:\smp_pairing_req,smp_pairing_req,4
20081,10002,2,:\salt.0,salt.0,16
20082,10002,2,:\mfy.9,mfy.9,16
20084,10002,2,:\pdu_validate_clock_accuracy_rsp,pdu_validate_clock_accuracy_rsp,14
20085,10002,2,:\pdu_validate_unknown_rsp,pdu_validate_unknown_rsp,14
20086,10002,2,:\pdu_validate_pause_enc_rsp,pdu_validate_pause_enc_rsp,14
20087,10002,2,:\pdu_validate_reject_ind,pdu_validate_reject_ind,14
20088,10002,2,:\pdu_validate_per_init_feat_xchg,pdu_validate_per_init_feat_xchg,14
20089,10002,2,:\pdu_validate_conn_param_rsp,pdu_validate_conn_param_rsp,14
20090,10002,2,:\pdu_validate_ping_req,pdu_validate_ping_req,14
20091,10002,2,:\pdu_validate_ping_rsp,pdu_validate_ping_rsp,14
20092,10002,2,:\pdu_validate_length_req,pdu_validate_length_req,14
20093,10002,2,:\pdu_validate_length_rsp,pdu_validate_length_rsp,14
20094,10002,2,:\pdu_validate_phy_req,pdu_validate_phy_req,14
20095,10002,2,:\pdu_validate_phy_rsp,pdu_validate_phy_rsp,14
20096,10002,2,:\pdu_validate_min_used_chan_ind,pdu_validate_min_used_chan_ind,14
20097,10002,2,:\mfy_after_cen_offset_get.4,mfy_after_cen_offset_get.4,16
20098,10002,2,:\mfy.2,mfy.2,16
20100,10002,2,:\m.6,m.6,16
20101,10002,2,:\m.9,m.9,16
20102,10002,2,:\m.11,m.11,16
20103,10002,2,:\m.10,m.10,16
20104,10002,2,:\m.7,m.7,16
20105,10002,2,:\m.8,m.8,16
20106,10002,2,:\transitions.0,transitions.0,12
20107,10002,2,:\parameters.0,parameters.0,8
20108,10002,2,:\pages_layout.1,pages_layout.1,8
20118,10002,2,:\initial_run.2,initial_run.2,1
20120,10002,2,:\port_offset.1,port_offset.1,16
20125,10002,2,:\levels.0,levels.0,24
20126,10002,2,:\platform_free_uninit,platform_free_uninit,2
20128,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20131,10002,2,:\__ultoa_invert,__ultoa_invert,172
20132,10002,2,:\memcmp,memcmp,32
20133,10002,2,:\bt_addr_any,bt_addr_any,6
20134,10002,2,:\__file_str_put,__file_str_put,16
20135,10002,2,:\bt_dev,bt_dev,448
20136,10002,2,:\snprintf,snprintf,88
20137,10002,2,:\__device_dts_ord_122,__device_dts_ord_122,20
20138,10002,2,:\strcmp,strcmp,20
20139,10002,2,:\cracen_mac_verify_setup,cracen_mac_verify_setup,4
20140,10002,2,:\memset,memset,16
20141,10002,2,:\net_buf_fixed_cb,net_buf_fixed_cb,12
