-- west build: running target rom_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-2.9.1\cpg-ble-reference\peripheral_hids\build_nrf54l15_feat1\peripheral_hids && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/v2.9.1/zephyr/scripts/footprint/size_report -k C:/ncs/ws-2.9.1/cpg-ble-reference/peripheral_hids/build_nrf54l15_feat1/peripheral_hids/zephyr/zephyr.elf -z C:/ncs/v2.9.1/zephyr -o C:/ncs/ws-2.9.1/cpg-ble-reference/peripheral_hids/build_nrf54l15_feat1/peripheral_hids --workspace=C:/ncs/v2.9.1 -d 99 rom"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                           189202 100.00%  - 
├── (hidden)                                                                                     6271   3.31%  - 
├── (no paths)                                                                                  76979  40.69%  - 
│   ├── CSWTCH.100                                                                                 12   0.01%  0x0002b498 rodata
│   ├── CSWTCH.147                                                                                 15   0.01%  0x0002cfe6 rodata
│   ├── CSWTCH.149                                                                                  9   0.00%  0x0002cfdd rodata
│   ├── CSWTCH.152                                                                                  8   0.00%  0x0002cfd5 rodata
│   ├── CSWTCH.20                                                                                  12   0.01%  0x0002b3a4 rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x0002d150 rodata
│   ├── CSWTCH.320                                                                                 42   0.02%  0x0002cf50 rodata
│   ├── CSWTCH.33                                                                                  18   0.01%  0x0002d13b rodata
│   ├── CSWTCH.36                                                                                   3   0.00%  0x0002d14d rodata
│   ├── CSWTCH.44                                                                                  12   0.01%  0x0002b350 rodata
│   ├── CSWTCH.476                                                                                 18   0.01%  0x0002d129 rodata
│   ├── CSWTCH.59                                                                                  12   0.01%  0x0002b400 rodata
│   ├── CSWTCH.7                                                                                   12   0.01%  0x0002b480 rodata
│   ├── CSWTCH.90                                                                                  12   0.01%  0x0002b4a4 rodata
│   ├── MPSL_IRQ_CLOCK_Handler                                                                    216   0.11%  0x0000a1a9 text
│   ├── MPSL_IRQ_RADIO_Handler                                                                     44   0.02%  0x0000a831 text
│   ├── MPSL_IRQ_RTC0_Handler                                                                      24   0.01%  0x00011435 text
│   ├── MPSL_IRQ_TIMER0_Handler                                                                    20   0.01%  0x0000ab31 text
│   ├── SystemCoreClock                                                                             4   0.00%  0x20000ae0 datas
│   ├── __aeabi_ldiv0                                                                               2   0.00%  0x0000c319 text
│   ├── __aeabi_memcpy8                                                                            26   0.01%  0x00029913 text
│   ├── __compound_literal.0                                                                        4   0.00%  0x0002ca70 rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x0002ca9c rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x0002cab8 rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x0002cb1c rodata
│   ├── __compound_literal.0                                                                        8   0.00%  0x0002b478 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x0002ca6c rodata
│   ├── __compound_literal.1                                                                        1   0.00%  0x20000c8e datas
│   ├── __compound_literal.1                                                                        4   0.00%  0x0002ca98 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x0002cab4 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x0002cb18 rodata
│   ├── __compound_literal.10                                                                       4   0.00%  0x0002ca50 rodata
│   ├── __compound_literal.10                                                                       4   0.00%  0x0002ca7c rodata
│   ├── __compound_literal.10                                                                       4   0.00%  0x0002cafc rodata
│   ├── __compound_literal.11                                                                       4   0.00%  0x0002ca4c rodata
│   ├── __compound_literal.11                                                                       4   0.00%  0x0002ca78 rodata
│   ├── __compound_literal.11                                                                       4   0.00%  0x0002caf8 rodata
│   ├── __compound_literal.12                                                                       8   0.00%  0x20000878 datas
│   ├── __compound_literal.12                                                                       8   0.00%  0x200008ac datas
│   ├── __compound_literal.12                                                                       8   0.00%  0x20000a20 datas
│   ├── __compound_literal.13                                                                       4   0.00%  0x0002ca48 rodata
│   ├── __compound_literal.13                                                                       4   0.00%  0x0002ca74 rodata
│   ├── __compound_literal.13                                                                       4   0.00%  0x0002caf4 rodata
│   ├── __compound_literal.14                                                                       4   0.00%  0x0002ca44 rodata
│   ├── __compound_literal.14                                                                       4   0.00%  0x0002caf0 rodata
│   ├── __compound_literal.15                                                                      24   0.01%  0x20000860 datas
│   ├── __compound_literal.15                                                                       4   0.00%  0x0002caec rodata
│   ├── __compound_literal.16                                                                       4   0.00%  0x0002ca40 rodata
│   ├── __compound_literal.16                                                                       4   0.00%  0x0002cae8 rodata
│   ├── __compound_literal.17                                                                       4   0.00%  0x0002ca3c rodata
│   ├── __compound_literal.17                                                                       4   0.00%  0x0002cae4 rodata
│   ├── __compound_literal.18                                                                       4   0.00%  0x0002ca38 rodata
