uuid,parent,level,identifier,name,size
1,,0,root,Root,188466
10002,1,1,:,(no paths),74701
11159,1,1,C:/ncs/v2.9.1/zephyr,ZEPHYR_BASE,69372
12310,1,1,C:/ncs/ws-2.9.1/cpg-ble-reference/peripheral_hids/build_nrf54l15_feat10/peripheral_hids,OUTPUT_DIR,1114
12325,1,1,/,/,0
12358,1,1,C:/ncs/v2.9.1,WORKSPACE,37538
12899,1,1,(hidden),(hidden),5741
20003,10002,2,sym_*,sym_*,65561
20300,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20301,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20302,10002,2,:\ops.0,ops.0,40
20303,10002,2,:\ops.0,ops.0,40
20304,10002,2,:\ops.0,ops.0,40
20305,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20306,10002,2,:\att_exec_write_req,att_exec_write_req,4
20307,10002,2,:\att_handle_find_type_rsp,att_handle_find_type_rsp,4
20308,10002,2,:\att_handle_read_type_rsp,att_handle_read_type_rsp,4
20309,10002,2,:\att_handle_read_rsp,att_handle_read_rsp,4
20310,10002,2,:\att_handle_read_blob_rsp,att_handle_read_blob_rsp,4
20311,10002,2,:\att_handle_read_mult_rsp,att_handle_read_mult_rsp,4
20312,10002,2,:\att_handle_read_mult_vl_rsp,att_handle_read_mult_vl_rsp,4
20313,10002,2,:\att_handle_read_group_rsp,att_handle_read_group_rsp,4
20314,10002,2,:\att_handle_write_rsp,att_handle_write_rsp,4
20315,10002,2,:\att_handle_prepare_write_rsp,att_handle_prepare_write_rsp,4
20316,10002,2,:\att_handle_exec_write_rsp,att_handle_exec_write_rsp,4
20317,10002,2,:\att_confirm,att_confirm,4
20318,10002,2,:\gatt_read_mult_vl_encode,gatt_read_mult_vl_encode,4
20319,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20320,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20329,10002,2,:\smp_security_request,smp_security_request,4
20330,10002,2,:\smp_central_ident,smp_central_ident,4
20331,10002,2,:\smp_pairing_rsp,smp_pairing_rsp,4
20332,10002,2,:\smp_signing_info,smp_signing_info,4
20336,10002,2,:\salt.0,salt.0,16
20337,10002,2,:\transitions.0,transitions.0,12
20338,10002,2,:\parameters.0,parameters.0,8
20339,10002,2,:\pages_layout.1,pages_layout.1,8
20345,10002,2,:\port_offset.1,port_offset.1,16
20347,10002,2,:\levels.0,levels.0,24
20348,10002,2,:\platform_free_uninit,platform_free_uninit,2
20350,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
