uuid,parent,level,identifier,name,size
1,,0,root,Root,33954
10002,1,1,:,(no paths),10381
10061,1,1,C:/ncs/v2.9.1/zephyr,ZEPHYR_BASE,12631
10266,1,1,/,/,0
10281,1,1,C:/ncs/v2.9.1,WORKSPACE,6103
10395,1,1,(hidden),(hidden),4839
20003,10002,2,__compound_literal*,__compound_literal*,1108
20018,10002,2,:\default_settings_nvs.0,default_settings_nvs.0,64
20019,10002,2,:\ident.1,ident.1,1
20020,10002,2,:\ops.0,ops.0,40
20021,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20022,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20026,10002,2,:\on.2,on.2,4
20027,10002,2,:\cli.1,cli.1,16
20028,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20030,10002,2,:\kmu_push_area,kmu_push_area,64
20031,10002,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
20032,10002,2,:\bt_dev,bt_dev,376
20035,10002,2,:\settings_handlers,settings_handlers,8
20038,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20039,10002,2,:\settings_save_dst,settings_save_dst,4
20041,10002,2,:\_sched_spinlock,_sched_spinlock,4
20042,10002,2,:\bt_auth,bt_auth,4
20043,10002,2,:\z_main_thread,z_main_thread,144
20045,10002,2,:\SystemCoreClock,SystemCoreClock,4
20047,10002,2,:\_kernel,_kernel,32
20050,10002,2,:\z_main_stack,z_main_stack,3584
20051,10002,2,:\z_idle_threads,z_idle_threads,144
20053,10002,2,:\k_sys_work_q,k_sys_work_q,176
20055,10002,2,:\settings_load_srcs,settings_load_srcs,8
20056,10002,2,:\bt_auth_info_cbs,bt_auth_info_cbs,8
20058,10002,2,:\mpsl_work_q,mpsl_work_q,176
20060,10002,2,:\_thread_dummy,_thread_dummy,144
20062,10061,2,subsys,subsys,9730
20167,10061,2,lib,lib,40
20184,10061,2,arch,arch,25
20194,10061,2,drivers,drivers,378
20238,10061,2,kernel,kernel,2458
20267,10266,2,C:\,C:\,84
20282,10281,2,nrf,nrf,4295
20367,10281,2,modules,modules,1808
30063,20062,3,subsys\bluetooth,bluetooth,9681
30159,20062,3,subsys\settings,settings,49
30168,20167,3,lib\os,os,4
30171,20167,3,lib\libc,libc,32
30181,20167,3,lib\net_buf,net_buf,4
30185,20184,3,arch\arm,arm,25
30195,20194,3,drivers\clock_control,clock_control,94
30200,20194,3,drivers\flash,flash,60
30207,20194,3,drivers\gpio,gpio,42
30215,20194,3,drivers\serial,serial,12
30221,20194,3,drivers\spi,spi,138
30227,20194,3,drivers\timer,timer,28
30233,20194,3,drivers\entropy,entropy,4
30239,20238,3,kernel\mutex.c,mutex.c,4
30241,20238,3,kernel\sem.c,sem.c,4
30243,20238,3,kernel\work.c,work.c,12
30246,20238,3,kernel\condvar.c,condvar.c,4
30248,20238,3,kernel\poll.c,poll.c,4
30250,20238,3,kernel\init.c,init.c,321
30253,20238,3,kernel\system_work_q.c,system_work_q.c,2048
30255,20238,3,kernel\timeslicing.c,timeslicing.c,37
30261,20238,3,kernel\timeout.c,timeout.c,24
30268,20267,3,C:\ncs,ncs,84
30283,20282,3,nrf\subsys,subsys,4203
30355,20282,3,nrf\lib,lib,20
30359,20282,3,nrf\drivers,drivers,72
30368,20367,3,modules\hal,hal,336
30379,20367,3,modules\crypto,crypto,1472
