uuid,parent,level,identifier,name,size
1,,0,root,Root,32364
10002,1,1,:,(no paths),9796
10093,1,1,C:/ncs/v2.9.1/zephyr,ZEPHYR_BASE,19590
10401,1,1,/,/,0
10416,1,1,C:/ncs/v2.9.1,WORKSPACE,2868
10501,1,1,(hidden),(hidden),110
20003,10002,2,:\mfy.6,mfy.6,181
20004,10002,2,:\mfy.4,mfy.4,16
20005,10002,2,:\p.2,p.2,16
20006,10002,2,:\p.2,p.2,16
20007,10002,2,:\mfy.1,mfy.1,16
20008,10002,2,:\mfy.1,mfy.1,16
20009,10002,2,:\mfy.1,mfy.1,16
20010,10002,2,:\mfy.1,mfy.1,16
20011,10002,2,:\mfy.1,mfy.1,16
20012,10002,2,:\mfy.1,mfy.1,16
20013,10002,2,:\link.0,link.0,8
20014,10002,2,:\link.0,link.0,8
20015,10002,2,:\link.0,link.0,8
20016,10002,2,:\link.0,link.0,8
20017,10002,2,:\link.0,link.0,8
20018,10002,2,:\link.0,link.0,8
20019,10002,2,:\link.0,link.0,8
20020,10002,2,:\link.3,link.3,8
20021,10002,2,:\link.3,link.3,8
20022,10002,2,:\link.5,link.5,8
20023,10002,2,:\link.5,link.5,8
20024,10002,2,:\mfy.5,mfy.5,16
20025,10002,2,:\mfy.5,mfy.5,16
20026,10002,2,:\mfy.3,mfy.3,16
20027,10002,2,:\mfy.3,mfy.3,16
20028,10002,2,:\mfy.7,mfy.7,16
20029,10002,2,:\mfy.7,mfy.7,16
20030,10002,2,:\link.2,link.2,8
20031,10002,2,:\link.2,link.2,8
20032,10002,2,:\link.2,link.2,8
20033,10002,2,:\link.4,link.4,8
20034,10002,2,:\link.4,link.4,8
20035,10002,2,:\link.4,link.4,8
20036,10002,2,:\link.6,link.6,8
20037,10002,2,:\link.6,link.6,8
20053,10002,2,:\default_settings_nvs.0,default_settings_nvs.0,64
20054,10002,2,:\ident.1,ident.1,1
20055,10002,2,:\ops.0,ops.0,40
20056,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20057,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20061,10002,2,:\mayfly_initialized.10,mayfly_initialized.10,1
20062,10002,2,:\mfy.9,mfy.9,16
20063,10002,2,:\link.8,link.8,8
20064,10002,2,:\ticks_at_preempt.2,ticks_at_preempt.2,4
20065,10002,2,:\done.0,done.0,1
20066,10002,2,:\m.6,m.6,16
20067,10002,2,:\m.9,m.9,16
20068,10002,2,:\m.11,m.11,16
20069,10002,2,:\m.10,m.10,16
20070,10002,2,:\m.7,m.7,16
20071,10002,2,:\m.8,m.8,16
20072,10002,2,:\link.1,link.1,8
20073,10002,2,:\on.2,on.2,4
20074,10002,2,:\cli.1,cli.1,16
20075,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20076,10002,2,:\kmu_push_area,kmu_push_area,64
20077,10002,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
20078,10002,2,:\bt_dev,bt_dev,368
20079,10002,2,:\settings_handlers,settings_handlers,8
20080,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20081,10002,2,:\settings_save_dst,settings_save_dst,4
20082,10002,2,:\bt_auth,bt_auth,4
20083,10002,2,:\z_main_thread,z_main_thread,144
20084,10002,2,:\SystemCoreClock,SystemCoreClock,4
20085,10002,2,:\_kernel,_kernel,32
20086,10002,2,:\z_main_stack,z_main_stack,3584
20087,10002,2,:\z_idle_threads,z_idle_threads,144
20088,10002,2,:\k_sys_work_q,k_sys_work_q,176
20089,10002,2,:\settings_load_srcs,settings_load_srcs,8
20090,10002,2,:\bt_auth_info_cbs,bt_auth_info_cbs,8
20091,10002,2,:\conn_upd_curr,conn_upd_curr,4
20092,10002,2,:\_thread_dummy,_thread_dummy,144
20094,10093,2,subsys,subsys,16729
20316,10093,2,lib,lib,36
20330,10093,2,arch,arch,25
20340,10093,2,drivers,drivers,366
20383,10093,2,kernel,kernel,2434
20402,10401,2,C:\,C:\,84
20417,10416,2,nrf,nrf,1052
20471,10416,2,modules,modules,1816
30095,20094,3,subsys\bluetooth,bluetooth,16680
30308,20094,3,subsys\settings,settings,49
30317,20316,3,lib\os,os,4
30320,20316,3,lib\libc,libc,32
30331,20330,3,arch\arm,arm,25
30341,20340,3,drivers\clock_control,clock_control,86
30346,20340,3,drivers\flash,flash,60
30353,20340,3,drivers\gpio,gpio,42
30361,20340,3,drivers\serial,serial,12
30367,20340,3,drivers\spi,spi,138
30373,20340,3,drivers\timer,timer,24
30378,20340,3,drivers\entropy,entropy,4
30384,20383,3,kernel\init.c,init.c,321
30387,20383,3,kernel\system_work_q.c,system_work_q.c,2048
30389,20383,3,kernel\work.c,work.c,8
30391,20383,3,kernel\timeslicing.c,timeslicing.c,37
30397,20383,3,kernel\timeout.c,timeout.c,20
30403,20402,3,C:\ncs,ncs,84
30418,20417,3,nrf\subsys,subsys,1052
30472,20471,3,modules\hal,hal,344
30485,20471,3,modules\crypto,crypto,1472
