uuid,parent,level,identifier,name,size
1,,0,root,Root,259139
10002,1,1,:,(no paths),230198
13126,1,1,lib,lib,182
13141,1,1,kernel,kernel,2
13145,1,1,(hidden),(hidden),28757
20003,10002,2,:\nus_ccc_cfg_changed,nus_ccc_cfg_changed,2
20004,10002,2,:\on_receive,on_receive,4
20005,10002,2,:\on_sent,on_sent,2
20006,10002,2,:\arm_cmse_mpu_region_get,arm_cmse_mpu_region_get,18
20007,10002,2,:\foldcase,foldcase,2
20008,10002,2,:\bt_hex,bt_hex,68
20009,10002,2,:\hex.4,hex.4,198
20010,10002,2,:\sys_get_le32.lto_priv.0,sys_get_le32.lto_priv.0,4
20011,10002,2,:\update_sec_level,update_sec_level,48
20012,10002,2,:\bt_hci_evt_get_flags,bt_hci_evt_get_flags,36
20013,10002,2,:\bt_hci_get_ver_str,bt_hci_get_ver_str,60
20014,10002,2,:\bt_send,bt_send,20
20015,10002,2,:\uuid_to_uuid128,uuid_to_uuid128,120
20016,10002,2,:\uuid128_base,uuid128_base,17
20017,10002,2,:\bt_scan_reset,bt_scan_reset,56
20018,10002,2,:\gatt_dm_wq_init,gatt_dm_wq_init,60
20019,10002,2,:\long_wq_init,long_wq_init,60
20020,10002,2,:\malloc_prepare,malloc_prepare,36
20021,10002,2,:\net_buf_destroy.lto_priv.0,net_buf_destroy.lto_priv.0,60
20022,10002,2,:\xoshiro128_initialize,xoshiro128_initialize,24
20023,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20024,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20025,10002,2,:\atomic_test_bit.lto_priv.2,atomic_test_bit.lto_priv.2,24
20026,10002,2,:\scan_check_if_state_allowed,scan_check_if_state_allowed,44
20027,10002,2,:\nordicsemi_nrf54l_init,nordicsemi_nrf54l_init,176
20028,10002,2,:\uuid_check,uuid_check,188
20030,10002,2,:\hci_rx_pool_destroy,hci_rx_pool_destroy,32
20031,10002,2,:\bt_addr_eq.lto_priv.2,bt_addr_eq.lto_priv.2,16
20032,10002,2,:\k_queue_init.lto_priv.1,k_queue_init.lto_priv.1,26
20033,10002,2,:\tx_work,tx_work,16
20034,10002,2,:\id_create,id_create,292
20035,10002,2,:\store_id_work,store_id_work,16
20036,10002,2,:\store_irk_work,store_irk_work,16
20037,10002,2,:\net_buf_reset,net_buf_reset,44
20038,10002,2,:\bt_conn_reset_rx_state,bt_conn_reset_rx_state,18
20039,10002,2,:\destroy_and_callback,destroy_and_callback,46
20040,10002,2,:\net_buf_ref,net_buf_ref,36
20041,10002,2,:\net_buf_add_mem.lto_priv.3,net_buf_add_mem.lto_priv.3,26
20042,10002,2,:\hci_cmd_pool,hci_cmd_pool,52
20043,10002,2,:\net_buf_simple_pull,net_buf_simple_pull,48
20044,10002,2,:\conn_tx_destroy,conn_tx_destroy,68
20045,10002,2,:\frag_destroy,frag_destroy,88
20046,10002,2,:\get_data_frag,get_data_frag,168
20047,10002,2,:\fragments,fragments,52
20048,10002,2,:\atomic_test_and_clear_bit.lto_priv.3,atomic_test_and_clear_bit.lto_priv.3,22
20049,10002,2,:\discovery_complete_error,discovery_complete_error,42
20051,10002,2,:\shell_bt_nus_ready,shell_bt_nus_ready,24
20052,10002,2,:\z_arm_fatal_error,z_arm_fatal_error,248
20054,10002,2,:\z_irq_spurious,z_irq_spurious,10
20055,10002,2,:\region_allocate_and_init,region_allocate_and_init,88
20056,10002,2,:\mpu_configure_region,mpu_configure_region,50
20057,10002,2,:\static_regions,static_regions,12
20058,10002,2,:\set_setting,set_setting,220
20059,10002,2,:\do_store_id,do_store_id,60
20060,10002,2,:\do_store_irk,do_store_irk,60
20061,10002,2,:\handle_event_common,handle_event_common,72
20062,10002,2,:\handle_event,handle_event,48
20063,10002,2,:\hci_le_meta_event,hci_le_meta_event,32
20064,10002,2,:\meta_events,meta_events,72
20065,10002,2,:\bt_hci_cmd_send,bt_hci_cmd_send,40
20066,10002,2,:\hci_data_buf_overflow,hci_data_buf_overflow,16
20067,10002,2,:\le_conn_param_neg_reply,le_conn_param_neg_reply,64
20068,10002,2,:\hci_hardware_error,hci_hardware_error,28
20069,10002,2,:\hci_vendor_event,hci_vendor_event,68
20070,10002,2,:\bt_conn_lookup_handle,bt_conn_lookup_handle,104
20071,10002,2,:\le_data_len_change,le_data_len_change,44
20072,10002,2,:\le_phy_update_complete,le_phy_update_complete,44
20073,10002,2,:\le_conn_param_req,le_conn_param_req,188
20074,10002,2,:\hci_encrypt_change,hci_encrypt_change,168
20075,10002,2,:\hci_encrypt_key_refresh_complete,hci_encrypt_key_refresh_complete,140
20076,10002,2,:\cmd_get_terminal_size.0,cmd_get_terminal_size.0,5
20077,10002,2,:\full_line_cmd,full_line_cmd,36
20078,10002,2,:\tabulator.2,tabulator.2,3
20079,10002,2,:\reprint_from_cursor,reprint_from_cursor,124
20080,10002,2,:\le_conn_update_complete,le_conn_update_complete,352
20081,10002,2,:\atomic_set_bit.lto_priv.6,atomic_set_bit.lto_priv.6,18
20082,10002,2,:\le_ltk_request,le_ltk_request,412
20083,10002,2,:\le_remote_feat_complete,le_remote_feat_complete,76
20084,10002,2,:\bt_finalize_init,bt_finalize_init,180
20085,10002,2,:\generate_pub_key,generate_pub_key,996
20086,10002,2,:\hci_cmd_done.part.0,hci_cmd_done.part.0,272
20087,10002,2,:\process_pending_cmd,process_pending_cmd,204
20089,10002,2,:\commit_settings,commit_settings,632
20090,10002,2,:\bt_addr_any,bt_addr_any,6
20091,10002,2,:\bt_addr_none,bt_addr_none,6
20092,10002,2,:\addr_res_enable,addr_res_enable,50
20093,10002,2,:\hci_id_add,hci_id_add,120
20094,10002,2,:\keys_add_id,keys_add_id,22
20095,10002,2,:\cmd_le_set_scan_enable_legacy,cmd_le_set_scan_enable_legacy,92
20096,10002,2,:\bt_le_scan_set_enable,bt_le_scan_set_enable,20
20097,10002,2,:\le_update_private_addr,le_update_private_addr,80
20098,10002,2,:\rpa_timeout,rpa_timeout,80
20099,10002,2,:\pending_id_update,pending_id_update,32
20100,10002,2,:\scan_connect_with_target.part.0,scan_connect_with_target.part.0,124
20101,10002,2,:\hci_cmd_complete,hci_cmd_complete,84
20102,10002,2,:\hci_cmd_status,hci_cmd_status,52
20103,10002,2,:\hids_mark_ready,hids_mark_ready,30
20104,10002,2,:\repref_read_start,repref_read_start,176
20105,10002,2,:\pm_read_process,pm_read_process,76
20106,10002,2,:\repref_read_process,repref_read_process,164
20107,10002,2,:\hids_prep_error,hids_prep_error,28
20108,10002,2,:\bt_data_mutex,bt_data_mutex,20
20109,10002,2,:\attr_nus_svc,attr_nus_svc,120
20110,10002,2,:\rx_queue_put,rx_queue_put,144
20111,10002,2,:\rx_work,rx_work,16
20112,10002,2,:\prio_events,prio_events,40
20113,10002,2,:\tx_processor,tx_processor,772
20114,10002,2,:\bt_conn_tx_notify,bt_conn_tx_notify,328
20115,10002,2,:\hci_num_completed_packets,hci_num_completed_packets,236
20116,10002,2,:\rx_work_handler,rx_work_handler,632
20117,10002,2,:\normal_events,normal_events,48
20118,10002,2,:\conn_change,conn_change,16
20119,10002,2,:\hci_disconn_complete_prio,hci_disconn_complete_prio,84
20120,10002,2,:\hci_disconn_complete,hci_disconn_complete,112
20121,10002,2,:\bt_hci_le_enh_conn_complete,bt_hci_le_enh_conn_complete,584
20122,10002,2,:\procedures_on_connect,procedures_on_connect,16
20123,10002,2,:\enh_conn_complete_error_handle,enh_conn_complete_error_handle,244
20124,10002,2,:\le_enh_conn_complete,le_enh_conn_complete,16
20125,10002,2,:\le_legacy_conn_complete,le_legacy_conn_complete,116
20126,10002,2,:\plat_str.2,plat_str.2,16
20127,10002,2,:\nordic_str.1,nordic_str.1,24
20128,10002,2,:\var_str.0,var_str.0,16
20129,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20130,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20131,10002,2,:\pub_key_work,pub_key_work,16
20132,10002,2,:\init_work,init_work,24
20133,10002,2,:\bt_hci_le_adv_report,bt_hci_le_adv_report,492
20135,10002,2,:\net_buf_fixed_fragments,net_buf_fixed_fragments,4
20136,10002,2,:\net_buf_fixed_alloc_fragments,net_buf_fixed_alloc_fragments,12
20137,10002,2,:\net_buf_fixed_hci_cmd_pool,net_buf_fixed_hci_cmd_pool,4
20138,10002,2,:\net_buf_fixed_alloc_hci_cmd_pool,net_buf_fixed_alloc_hci_cmd_pool,12
20139,10002,2,:\net_buf_fixed_hci_rx_pool,net_buf_fixed_hci_rx_pool,4
20140,10002,2,:\net_buf_fixed_alloc_hci_rx_pool,net_buf_fixed_alloc_hci_rx_pool,12
20141,10002,2,:\__init_long_wq_init,__init_long_wq_init,8
20142,10002,2,:\__init___device_dts_ord_4,__init___device_dts_ord_4,8
20143,10002,2,:\__init_xoshiro128_initialize,__init_xoshiro128_initialize,8
20144,10002,2,:\__init_nordicsemi_nrf54l_init,__init_nordicsemi_nrf54l_init,8
20145,10002,2,:\__init_malloc_prepare,__init_malloc_prepare,8
20146,10002,2,:\__isr_table_entry__isr_wrapper_irq_0,__isr_table_entry__isr_wrapper_irq_0,4
20147,10002,2,:\__isr_table_entry__isr_wrapper_irq_2,__isr_table_entry__isr_wrapper_irq_2,4
20148,10002,2,:\__isr_table_entry__isr_wrapper_irq_4,__isr_table_entry__isr_wrapper_irq_4,4
20149,10002,2,:\__isr_table_entry__isr_wrapper_irq_6,__isr_table_entry__isr_wrapper_irq_6,4
20150,10002,2,:\__isr_table_entry__isr_wrapper_irq_8,__isr_table_entry__isr_wrapper_irq_8,4
20151,10002,2,:\__isr_table_entry__isr_wrapper_irq_10,__isr_table_entry__isr_wrapper_irq_10,4
20152,10002,2,:\__isr_table_entry__isr_wrapper_irq_12,__isr_table_entry__isr_wrapper_irq_12,4
20153,10002,2,:\__isr_table_entry__isr_wrapper_irq_14,__isr_table_entry__isr_wrapper_irq_14,4
20154,10002,2,:\__isr_table_entry__isr_wrapper_irq_16,__isr_table_entry__isr_wrapper_irq_16,4
20155,10002,2,:\__isr_table_entry__isr_wrapper_irq_18,__isr_table_entry__isr_wrapper_irq_18,4
20156,10002,2,:\__isr_table_entry__isr_wrapper_irq_20,__isr_table_entry__isr_wrapper_irq_20,4
20157,10002,2,:\__isr_table_entry__isr_wrapper_irq_22,__isr_table_entry__isr_wrapper_irq_22,4
20158,10002,2,:\__isr_table_entry__isr_wrapper_irq_24,__isr_table_entry__isr_wrapper_irq_24,4
20159,10002,2,:\__isr_table_entry__isr_wrapper_irq_26,__isr_table_entry__isr_wrapper_irq_26,4
20160,10002,2,:\__isr_table_entry__isr_wrapper_irq_28,__isr_table_entry__isr_wrapper_irq_28,4
20161,10002,2,:\__isr_table_entry__isr_wrapper_irq_30,__isr_table_entry__isr_wrapper_irq_30,4
20162,10002,2,:\__isr_table_entry__isr_wrapper_irq_32,__isr_table_entry__isr_wrapper_irq_32,4
20163,10002,2,:\__isr_table_entry__isr_wrapper_irq_34,__isr_table_entry__isr_wrapper_irq_34,4
20164,10002,2,:\__isr_table_entry__isr_wrapper_irq_36,__isr_table_entry__isr_wrapper_irq_36,4
20165,10002,2,:\__isr_table_entry__isr_wrapper_irq_38,__isr_table_entry__isr_wrapper_irq_38,4
20166,10002,2,:\__isr_table_entry__isr_wrapper_irq_40,__isr_table_entry__isr_wrapper_irq_40,4
20167,10002,2,:\__isr_table_entry__isr_wrapper_irq_42,__isr_table_entry__isr_wrapper_irq_42,4
20168,10002,2,:\__isr_table_entry__isr_wrapper_irq_44,__isr_table_entry__isr_wrapper_irq_44,4
20169,10002,2,:\__isr_table_entry__isr_wrapper_irq_46,__isr_table_entry__isr_wrapper_irq_46,4
20170,10002,2,:\__isr_table_entry__isr_wrapper_irq_48,__isr_table_entry__isr_wrapper_irq_48,4
20171,10002,2,:\__isr_table_entry__isr_wrapper_irq_50,__isr_table_entry__isr_wrapper_irq_50,4
20172,10002,2,:\__isr_table_entry__isr_wrapper_irq_52,__isr_table_entry__isr_wrapper_irq_52,4
20173,10002,2,:\__isr_table_entry__isr_wrapper_irq_54,__isr_table_entry__isr_wrapper_irq_54,4
20174,10002,2,:\__isr_table_entry__isr_wrapper_irq_56,__isr_table_entry__isr_wrapper_irq_56,4
20175,10002,2,:\__isr_table_entry__isr_wrapper_irq_58,__isr_table_entry__isr_wrapper_irq_58,4
20176,10002,2,:\__isr_table_entry__isr_wrapper_irq_60,__isr_table_entry__isr_wrapper_irq_60,4
20177,10002,2,:\__isr_table_entry__isr_wrapper_irq_62,__isr_table_entry__isr_wrapper_irq_62,4
20178,10002,2,:\__isr_table_entry__isr_wrapper_irq_64,__isr_table_entry__isr_wrapper_irq_64,4
20179,10002,2,:\__isr_table_entry__isr_wrapper_irq_66,__isr_table_entry__isr_wrapper_irq_66,4
20180,10002,2,:\__isr_table_entry__isr_wrapper_irq_68,__isr_table_entry__isr_wrapper_irq_68,4
20181,10002,2,:\__isr_table_entry__isr_wrapper_irq_70,__isr_table_entry__isr_wrapper_irq_70,4
20182,10002,2,:\__isr_table_entry__isr_wrapper_irq_72,__isr_table_entry__isr_wrapper_irq_72,4
