-- west build: running target ram_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-2.9.1\cpg-ble-reference\central_hids\build_nrf54l15_feat2_opt_lto\central_hids && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/v2.9.1/zephyr/scripts/footprint/size_report -k C:/ncs/ws-2.9.1/cpg-ble-reference/central_hids/build_nrf54l15_feat2_opt_lto/central_hids/zephyr/zephyr.elf -z C:/ncs/v2.9.1/zephyr -o C:/ncs/ws-2.9.1/cpg-ble-reference/central_hids/build_nrf54l15_feat2_opt_lto/central_hids --workspace=C:/ncs/v2.9.1 -d 99 ram"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                            75309 100.00%  - 
├── (hidden)                                                                                    27823  36.95%  - 
├── (no paths)                                                                                  47466  63.03%  - 
│   ├── CMD_ECC_PTMUL.lto_priv.0                                                                   20   0.03%  0x0003d50c rodata
│   ├── CMD_ECC_PTONCURVE                                                                          20   0.03%  0x0003db2c rodata
│   ├── CSWTCH.1079                                                                                 3   0.00%  0x00040892 rodata
│   ├── CSWTCH.1141                                                                                 5   0.01%  0x00041dfe rodata
│   ├── CSWTCH.16009.lto_priv.0                                                                    42   0.06%  0x00041e03 rodata
│   ├── CSWTCH.16037                                                                               10   0.01%  0x00040853 rodata
│   ├── CSWTCH.2153                                                                                 3   0.00%  0x00040895 rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x0004430e rodata
│   ├── CSWTCH.43                                                                                  12   0.02%  0x0003d93c rodata
│   ├── CSWTCH.489                                                                                 20   0.03%  0x0003d4dc rodata
│   ├── CSWTCH.51                                                                                   3   0.00%  0x0004430b rodata
│   ├── CSWTCH.61.lto_priv.0                                                                       12   0.02%  0x0003d948 rodata
│   ├── CSWTCH.8463                                                                                15   0.02%  0x00042c60 rodata
│   ├── CSWTCH.8465                                                                                 9   0.01%  0x00042bee rodata
│   ├── CSWTCH.8468                                                                                 8   0.01%  0x00042c6f rodata
│   ├── CSWTCH.9317                                                                                36   0.05%  0x0003d6e8 rodata
│   ├── SystemCoreClock                                                                             4   0.01%  0x20000a48 datas
│   ├── __compound_literal.0                                                                        8   0.01%  0x0003d828 rodata
│   ├── __compound_literal.0                                                                        4   0.01%  0x0003f0c8 rodata
│   ├── __compound_literal.1                                                                        4   0.01%  0x0003f0c4 rodata
│   ├── __compound_literal.10                                                                       4   0.01%  0x0003f0b0 rodata
│   ├── __compound_literal.11                                                                       4   0.01%  0x0003f0a8 rodata
│   ├── __compound_literal.12                                                                       8   0.01%  0x20000d8c datas
│   ├── __compound_literal.13                                                                       4   0.01%  0x0003f0ac rodata
│   ├── __compound_literal.14.lto_priv.0                                                            4   0.01%  0x0003f09c rodata
│   ├── __compound_literal.15.lto_priv.0                                                            4   0.01%  0x0003f098 rodata
│   ├── __compound_literal.16.lto_priv.0                                                            4   0.01%  0x0003f094 rodata
│   ├── __compound_literal.17                                                                       4   0.01%  0x0003f078 rodata
│   ├── __compound_literal.18.lto_priv.0                                                            8   0.01%  0x20000a88 datas
│   ├── __compound_literal.19.lto_priv.0                                                            4   0.01%  0x0003f090 rodata
│   ├── __compound_literal.2                                                                        4   0.01%  0x0003f0c0 rodata
│   ├── __compound_literal.20.lto_priv.0                                                            4   0.01%  0x0003f08c rodata
│   ├── __compound_literal.21.lto_priv.0                                                            4   0.01%  0x0003f088 rodata
│   ├── __compound_literal.22                                                                       4   0.01%  0x0003f074 rodata
│   ├── __compound_literal.23.lto_priv.0                                                            8   0.01%  0x20000a68 datas
│   ├── __compound_literal.24.lto_priv.0                                                            4   0.01%  0x0003f084 rodata
│   ├── __compound_literal.25.lto_priv.0                                                            4   0.01%  0x0003f080 rodata
│   ├── __compound_literal.26                                                                       4   0.01%  0x0003f070 rodata
│   ├── __compound_literal.27.lto_priv.0                                                            8   0.01%  0x20000a60 datas
│   ├── __compound_literal.28.lto_priv.0                                                            4   0.01%  0x0003f07c rodata
│   ├── __compound_literal.3                                                                        4   0.01%  0x0003f0a0 rodata
│   ├── __compound_literal.4                                                                        8   0.01%  0x20000d9c datas
│   ├── __compound_literal.5                                                                        4   0.01%  0x0003f0bc rodata
│   ├── __compound_literal.6                                                                        4   0.01%  0x0003f0b8 rodata
│   ├── __compound_literal.7                                                                        4   0.01%  0x0003f0a4 rodata
│   ├── __compound_literal.8                                                                        8   0.01%  0x20000d94 datas
│   ├── __compound_literal.9                                                                        4   0.01%  0x0003f0b4 rodata
│   ├── __devstate_dts_ord_10.lto_priv.0                                                            2   0.00%  0x20000dc3 device_states
│   ├── __devstate_dts_ord_102                                                                      2   0.00%  0x20000dcf device_states
│   ├── __devstate_dts_ord_113.lto_priv.0                                                           2   0.00%  0x20000dbf device_states
│   ├── __devstate_dts_ord_117                                                                      2   0.00%  0x20000dc9 device_states
│   ├── __devstate_dts_ord_118                                                                      2   0.00%  0x20000dcb device_states
│   ├── __devstate_dts_ord_12.lto_priv.0                                                            2   0.00%  0x20000dc5 device_states
│   ├── __devstate_dts_ord_122                                                                      2   0.00%  0x20000dc1 device_states
│   ├── __devstate_dts_ord_23                                                                       2   0.00%  0x20000dc7 device_states
│   ├── __devstate_dts_ord_3                                                                        2   0.00%  0x20000dcd device_states
│   ├── __devstate_dts_ord_4.lto_priv.0                                                             2   0.00%  0x20000dbd device_states
│   ├── __devstate_dts_ord_57.lto_priv.0                                                            2   0.00%  0x20000dd1 device_states
│   ├── __isr_table_entry_cracen_isr_handler_irq_1.1                                                8   0.01%  0x00044610 rodata
