uuid,parent,level,identifier,name,size
1,,0,root,Root,86901
10002,1,1,:,(no paths),55013
10759,1,1,C:/ncs/v2.9.1/zephyr,ZEPHYR_BASE,20
10766,1,1,(hidden),(hidden),31868
20003,10002,2,:\str.3,str.3,129
20004,10002,2,:\hex.4,hex.4,17
20005,10002,2,:\uuid128_base,uuid128_base,17
20006,10002,2,:\bt_gatt_dm_wq,bt_gatt_dm_wq,232
20007,10002,2,:\bt_gatt_dm_wq_stack_area,bt_gatt_dm_wq_stack_area,1304
20008,10002,2,:\bt_lw_stack_area,bt_lw_stack_area,2104
20009,10002,2,:\z_malloc_heap,z_malloc_heap,193
20010,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20011,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20012,10002,2,:\str.1,str.1,30
20014,10002,2,:\tx_work,tx_work,16
20015,10002,2,:\store_id_work,store_id_work,16
20016,10002,2,:\store_irk_work,store_irk_work,16
20017,10002,2,:\hci_cmd_pool,hci_cmd_pool,52
20018,10002,2,:\cmd_data,cmd_data,24
20019,10002,2,:\frag_md_pool,frag_md_pool,32
20020,10002,2,:\fragments,fragments,52
20022,10002,2,:\shell_bt_nus_ready,shell_bt_nus_ready,24
20024,10002,2,:\static_regions_num,static_regions_num,1
20025,10002,2,:\static_regions,static_regions,12
20026,10002,2,:\dyn_reg_info,dyn_reg_info,20
20027,10002,2,:\z_idle_stacks,z_idle_stacks,320
20028,10002,2,:\meta_events,meta_events,72
20029,10002,2,:\cmd_get_terminal_size.0,cmd_get_terminal_size.0,5
20030,10002,2,:\tabulator.2,tabulator.2,3
20031,10002,2,:\pub_key_cb_slist,pub_key_cb_slist,8
20033,10002,2,:\bt_addr_any,bt_addr_any,6
20034,10002,2,:\bt_addr_none,bt_addr_none,6
20035,10002,2,:\bt_data_mutex,bt_data_mutex,20
20036,10002,2,:\attr_nus_svc,attr_nus_svc,120
20037,10002,2,:\net_buf_slist_lock,net_buf_slist_lock,4
20038,10002,2,:\rx_work,rx_work,16
20039,10002,2,:\prio_events,prio_events,40
20040,10002,2,:\normal_events,normal_events,48
20041,10002,2,:\conn_change,conn_change,16
20042,10002,2,:\disconnected_handles,disconnected_handles,4
20043,10002,2,:\disconnected_handles_reason,disconnected_handles_reason,2
20044,10002,2,:\procedures_on_connect,procedures_on_connect,16
20045,10002,2,:\conn_tx,conn_tx,36
20046,10002,2,:\gatt_flags,gatt_flags,4
20047,10002,2,:\plat_str.2,plat_str.2,16
20048,10002,2,:\nordic_str.1,nordic_str.1,24
20049,10002,2,:\var_str.0,var_str.0,16
20050,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20051,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20052,10002,2,:\pub_key_work,pub_key_work,16
20054,10002,2,:\net_buf_fixed_fragments,net_buf_fixed_fragments,4
20055,10002,2,:\_net_buf_fragments,_net_buf_fragments,80
20056,10002,2,:\net_buf_fixed_alloc_fragments,net_buf_fixed_alloc_fragments,12
20057,10002,2,:\net_buf_data_hci_cmd_pool,net_buf_data_hci_cmd_pool,142
20058,10002,2,:\net_buf_fixed_hci_cmd_pool,net_buf_fixed_hci_cmd_pool,4
20059,10002,2,:\_net_buf_hci_cmd_pool,_net_buf_hci_cmd_pool,56
20060,10002,2,:\net_buf_fixed_alloc_hci_cmd_pool,net_buf_fixed_alloc_hci_cmd_pool,12
20061,10002,2,:\net_buf_data_hci_rx_pool,net_buf_data_hci_rx_pool,740
20062,10002,2,:\net_buf_fixed_hci_rx_pool,net_buf_fixed_hci_rx_pool,4
20063,10002,2,:\_net_buf_hci_rx_pool,_net_buf_hci_rx_pool,320
20064,10002,2,:\net_buf_fixed_alloc_hci_rx_pool,net_buf_fixed_alloc_hci_rx_pool,12
20065,10002,2,:\__isr_table_entry_z_irq_spurious_irq_536,__isr_table_entry_z_irq_spurious_irq_536,8
20066,10002,2,:\__isr_table_entry_z_irq_spurious_irq_537,__isr_table_entry_z_irq_spurious_irq_537,8
20067,10002,2,:\__isr_table_entry_z_irq_spurious_irq_538,__isr_table_entry_z_irq_spurious_irq_538,8
20068,10002,2,:\__isr_table_entry_z_irq_spurious_irq_539,__isr_table_entry_z_irq_spurious_irq_539,8
