uuid,parent,level,identifier,name,size
1,,0,root,Root,229843
10002,1,1,:,(no paths),209338
12985,1,1,lib,lib,150
12998,1,1,kernel,kernel,2
13002,1,1,(hidden),(hidden),20353
20003,10002,2,:\report_map,report_map,52
20004,10002,2,:\chunk_field,chunk_field,22
20005,10002,2,:\chunk_set,chunk_set,22
20006,10002,2,:\chunk_size,chunk_size,12
20007,10002,2,:\set_chunk_used,set_chunk_used,48
20008,10002,2,:\set_chunk_size,set_chunk_size,8
20009,10002,2,:\free_list_remove_bidx,free_list_remove_bidx,92
20010,10002,2,:\merge_chunks,merge_chunks,60
20011,10002,2,:\process_recheck,process_recheck,56
20012,10002,2,:\log_msg_generic_get_wlen,log_msg_generic_get_wlen,32
20013,10002,2,:\dummy_timestamp,dummy_timestamp,4
20014,10002,2,:\log_output_write,log_output_write,28
20015,10002,2,:\log_output_flush.lto_priv.1,log_output_flush.lto_priv.1,26
20016,10002,2,:\format_table,format_table,16
20017,10002,2,:\bas_init,bas_init,4
20018,10002,2,:\get_data.lto_priv.1,get_data.lto_priv.1,36
20019,10002,2,:\flags.0,flags.0,1
20020,10002,2,:\get_data.lto_priv.2,get_data.lto_priv.2,707
20021,10002,2,:\arm_cmse_mpu_region_get,arm_cmse_mpu_region_get,18
20022,10002,2,:\z_cbprintf_cpy,z_cbprintf_cpy,44
20023,10002,2,:\nvs_flash_al_wrt,nvs_flash_al_wrt,114
20024,10002,2,:\get_data.lto_priv.3,get_data.lto_priv.3,28
20025,10002,2,:\bucket_idx,bucket_idx,30
20026,10002,2,:\free_list_remove,free_list_remove,46
20027,10002,2,:\free_list_add,free_list_add,132
20028,10002,2,:\free_chunk,free_chunk,132
20029,10002,2,:\nvs_ate_crc8_update,nvs_ate_crc8_update,12
20030,10002,2,:\default_get_timestamp,default_get_timestamp,4
20031,10002,2,:\enable_logger,enable_logger,92
20032,10002,2,:\log_process_thread_timer_expiry_fn,log_process_thread_timer_expiry_fn,12
20033,10002,2,:\log_process_thread_func,log_process_thread_func,156
20034,10002,2,:\print_formatted,print_formatted,36
20035,10002,2,:\out_func,out_func,36
20036,10002,2,:\newline_print,newline_print,28
20037,10002,2,:\log_output_msg_process,log_output_msg_process,920
20038,10002,2,:\cr_out_func,cr_out_func,28
20039,10002,2,:\colors,colors,20
20040,10002,2,:\severity,severity,20
20041,10002,2,:\prefix.1,prefix.1,12
20042,10002,2,:\postfix.0,postfix.0,28
20043,10002,2,:\malloc_prepare,malloc_prepare,36
20044,10002,2,:\connected,connected,80
20045,10002,2,:\connected,connected,60
20046,10002,2,:\disconnected,disconnected,40
20047,10002,2,:\security_changed,security_changed,60
20048,10002,2,:\rd_idx_inc,rd_idx_inc,24
20049,10002,2,:\transition_complete,transition_complete,26
20050,10002,2,:\nvs_flash_ate_wrt,nvs_flash_ate_wrt,34
20051,10002,2,:\nvs_close_ate_valid,nvs_close_ate_valid,60
20052,10002,2,:\nvs_prev_ate,nvs_prev_ate,146
20053,10002,2,:\default_flash_map,default_flash_map,48
20054,10002,2,:\z_log_notify_drop,z_log_notify_drop,40
20055,10002,2,:\log_process,log_process,536
20056,10002,2,:\timestamp_func,timestamp_func,4
20057,10002,2,:\z_log_msg_static_create.lto_priv.5,z_log_msg_static_create.lto_priv.5,240
20058,10002,2,:\z_log_msg_simple_create,z_log_msg_simple_create,104
20060,10002,2,:\ad,ad,16
20061,10002,2,:\sd,sd,8
20062,10002,2,:\get_data.lto_priv.0,get_data.lto_priv.0,624
20063,10002,2,:\last_adv_mode.1,last_adv_mode.1,1
20064,10002,2,:\settings_nvs_read_fn,settings_nvs_read_fn,24
20065,10002,2,:\region_allocate_and_init,region_allocate_and_init,96
20066,10002,2,:\mpu_configure_region,mpu_configure_region,50
20067,10002,2,:\static_regions,static_regions,12
20068,10002,2,:\get_data.lto_priv.4,get_data.lto_priv.4,120
20069,10002,2,:\nvs_write,nvs_write,504
20070,10002,2,:\nvs_delete,nvs_delete,8
20071,10002,2,:\z_impl_k_thread_abort,z_impl_k_thread_abort,296
20072,10002,2,:\z_arm_fatal_error,z_arm_fatal_error,456
20073,10002,2,CSWTCH.*,CSWTCH.*,155
20074,10002,2,:\z_irq_spurious,z_irq_spurious,10
20075,10002,2,:\__init_malloc_prepare,__init_malloc_prepare,8
20076,10002,2,:\__isr_table_entry__isr_wrapper_irq_0,__isr_table_entry__isr_wrapper_irq_0,4
20077,10002,2,:\__isr_table_entry__isr_wrapper_irq_2,__isr_table_entry__isr_wrapper_irq_2,4
20078,10002,2,:\__isr_table_entry__isr_wrapper_irq_4,__isr_table_entry__isr_wrapper_irq_4,4
20079,10002,2,:\__isr_table_entry__isr_wrapper_irq_6,__isr_table_entry__isr_wrapper_irq_6,4
20080,10002,2,:\__isr_table_entry__isr_wrapper_irq_8,__isr_table_entry__isr_wrapper_irq_8,4
20081,10002,2,:\__isr_table_entry__isr_wrapper_irq_10,__isr_table_entry__isr_wrapper_irq_10,4
20082,10002,2,:\__isr_table_entry__isr_wrapper_irq_12,__isr_table_entry__isr_wrapper_irq_12,4
20083,10002,2,:\__isr_table_entry__isr_wrapper_irq_14,__isr_table_entry__isr_wrapper_irq_14,4
20084,10002,2,:\__isr_table_entry__isr_wrapper_irq_16,__isr_table_entry__isr_wrapper_irq_16,4
20085,10002,2,:\__isr_table_entry__isr_wrapper_irq_18,__isr_table_entry__isr_wrapper_irq_18,4
20086,10002,2,:\__isr_table_entry__isr_wrapper_irq_20,__isr_table_entry__isr_wrapper_irq_20,4
20087,10002,2,:\__isr_table_entry__isr_wrapper_irq_22,__isr_table_entry__isr_wrapper_irq_22,4
20088,10002,2,:\__isr_table_entry__isr_wrapper_irq_24,__isr_table_entry__isr_wrapper_irq_24,4
20089,10002,2,:\__isr_table_entry__isr_wrapper_irq_26,__isr_table_entry__isr_wrapper_irq_26,4
20090,10002,2,:\__isr_table_entry__isr_wrapper_irq_28,__isr_table_entry__isr_wrapper_irq_28,4
20091,10002,2,:\__isr_table_entry__isr_wrapper_irq_30,__isr_table_entry__isr_wrapper_irq_30,4
20092,10002,2,:\__isr_table_entry__isr_wrapper_irq_32,__isr_table_entry__isr_wrapper_irq_32,4
20093,10002,2,:\__isr_table_entry__isr_wrapper_irq_34,__isr_table_entry__isr_wrapper_irq_34,4
20094,10002,2,:\__isr_table_entry__isr_wrapper_irq_36,__isr_table_entry__isr_wrapper_irq_36,4
20095,10002,2,:\__isr_table_entry__isr_wrapper_irq_38,__isr_table_entry__isr_wrapper_irq_38,4
20096,10002,2,:\__isr_table_entry__isr_wrapper_irq_40,__isr_table_entry__isr_wrapper_irq_40,4
20097,10002,2,:\__isr_table_entry__isr_wrapper_irq_42,__isr_table_entry__isr_wrapper_irq_42,4
20098,10002,2,:\__isr_table_entry__isr_wrapper_irq_44,__isr_table_entry__isr_wrapper_irq_44,4
20099,10002,2,:\__isr_table_entry__isr_wrapper_irq_46,__isr_table_entry__isr_wrapper_irq_46,4
20100,10002,2,:\__isr_table_entry__isr_wrapper_irq_48,__isr_table_entry__isr_wrapper_irq_48,4
20101,10002,2,:\__isr_table_entry__isr_wrapper_irq_50,__isr_table_entry__isr_wrapper_irq_50,4
20102,10002,2,:\__isr_table_entry__isr_wrapper_irq_52,__isr_table_entry__isr_wrapper_irq_52,4
20103,10002,2,:\__isr_table_entry__isr_wrapper_irq_54,__isr_table_entry__isr_wrapper_irq_54,4
20104,10002,2,:\__isr_table_entry__isr_wrapper_irq_56,__isr_table_entry__isr_wrapper_irq_56,4
20105,10002,2,:\__isr_table_entry__isr_wrapper_irq_58,__isr_table_entry__isr_wrapper_irq_58,4
20106,10002,2,:\__isr_table_entry__isr_wrapper_irq_60,__isr_table_entry__isr_wrapper_irq_60,4
20107,10002,2,:\__isr_table_entry__isr_wrapper_irq_62,__isr_table_entry__isr_wrapper_irq_62,4
20108,10002,2,:\__isr_table_entry__isr_wrapper_irq_64,__isr_table_entry__isr_wrapper_irq_64,4
20109,10002,2,:\__isr_table_entry__isr_wrapper_irq_66,__isr_table_entry__isr_wrapper_irq_66,4
20110,10002,2,:\__isr_table_entry__isr_wrapper_irq_68,__isr_table_entry__isr_wrapper_irq_68,4
20111,10002,2,:\__isr_table_entry__isr_wrapper_irq_70,__isr_table_entry__isr_wrapper_irq_70,4
20112,10002,2,:\__isr_table_entry__isr_wrapper_irq_72,__isr_table_entry__isr_wrapper_irq_72,4
20113,10002,2,:\__isr_table_entry__isr_wrapper_irq_74,__isr_table_entry__isr_wrapper_irq_74,4
20114,10002,2,:\__isr_table_entry__isr_wrapper_irq_76,__isr_table_entry__isr_wrapper_irq_76,4
20115,10002,2,:\__isr_table_entry__isr_wrapper_irq_78,__isr_table_entry__isr_wrapper_irq_78,4
20116,10002,2,:\__isr_table_entry__isr_wrapper_irq_80,__isr_table_entry__isr_wrapper_irq_80,4
20117,10002,2,:\__isr_table_entry__isr_wrapper_irq_82,__isr_table_entry__isr_wrapper_irq_82,4
20118,10002,2,:\__isr_table_entry__isr_wrapper_irq_84,__isr_table_entry__isr_wrapper_irq_84,4
20119,10002,2,:\__isr_table_entry__isr_wrapper_irq_86,__isr_table_entry__isr_wrapper_irq_86,4
20120,10002,2,:\__isr_table_entry__isr_wrapper_irq_88,__isr_table_entry__isr_wrapper_irq_88,4
20121,10002,2,:\__isr_table_entry__isr_wrapper_irq_90,__isr_table_entry__isr_wrapper_irq_90,4
20122,10002,2,:\__isr_table_entry__isr_wrapper_irq_92,__isr_table_entry__isr_wrapper_irq_92,4
20123,10002,2,:\__isr_table_entry__isr_wrapper_irq_94,__isr_table_entry__isr_wrapper_irq_94,4
20124,10002,2,:\__isr_table_entry__isr_wrapper_irq_96,__isr_table_entry__isr_wrapper_irq_96,4
20125,10002,2,:\__isr_table_entry__isr_wrapper_irq_98,__isr_table_entry__isr_wrapper_irq_98,4
