-- west build: running target ram_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-2.9.1\cpg-ble-reference\peripheral_hids\build_nrf54l15_opt1_opt_lto\peripheral_hids && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/v2.9.1/zephyr/scripts/footprint/size_report -k C:/ncs/ws-2.9.1/cpg-ble-reference/peripheral_hids/build_nrf54l15_opt1_opt_lto/peripheral_hids/zephyr/zephyr.elf -z C:/ncs/v2.9.1/zephyr -o C:/ncs/ws-2.9.1/cpg-ble-reference/peripheral_hids/build_nrf54l15_opt1_opt_lto/peripheral_hids --workspace=C:/ncs/v2.9.1 -d 99 ram"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                            42702 100.00%  - 
├── (hidden)                                                                                     5295  12.40%  - 
├── (no paths)                                                                                  37387  87.55%  - 
│   ├── CMD_ECC_PTMUL.lto_priv.0                                                                   20   0.05%  0x000229fc rodata
│   ├── CMD_ECC_PTONCURVE                                                                          20   0.05%  0x00024334 rodata
│   ├── CSWTCH.147                                                                                 15   0.04%  0x00024a01 rodata
│   ├── CSWTCH.149                                                                                  9   0.02%  0x0002498f rodata
│   ├── CSWTCH.152                                                                                  8   0.02%  0x00024a10 rodata
│   ├── CSWTCH.22                                                                                   3   0.01%  0x00024e75 rodata
│   ├── CSWTCH.314.lto_priv.0                                                                      42   0.10%  0x0002490d rodata
│   ├── CSWTCH.44                                                                                  12   0.03%  0x00024168 rodata
│   ├── CSWTCH.51                                                                                   3   0.01%  0x00024aee rodata
│   ├── SystemCoreClock                                                                             4   0.01%  0x200005ac datas
│   ├── __compound_literal.0.lto_priv.0                                                             4   0.01%  0x000245c8 rodata
│   ├── __compound_literal.0.lto_priv.1                                                             8   0.02%  0x00022c5c rodata
│   ├── __compound_literal.0.lto_priv.2                                                             4   0.01%  0x000245f4 rodata
│   ├── __compound_literal.0.lto_priv.3                                                             4   0.01%  0x00024618 rodata
│   ├── __compound_literal.0.lto_priv.4                                                             4   0.01%  0x00024644 rodata
│   ├── __compound_literal.1                                                                        1   0.00%  0x200008e4 datas
│   ├── __compound_literal.1                                                                        4   0.01%  0x000245c4 rodata
│   ├── __compound_literal.1.lto_priv.0                                                             4   0.01%  0x000245f0 rodata
│   ├── __compound_literal.1.lto_priv.1                                                             4   0.01%  0x00024614 rodata
│   ├── __compound_literal.1.lto_priv.2                                                             4   0.01%  0x00024640 rodata
│   ├── __compound_literal.10                                                                       4   0.01%  0x000245b0 rodata
│   ├── __compound_literal.10.lto_priv.0                                                            4   0.01%  0x000245dc rodata
│   ├── __compound_literal.10.lto_priv.1                                                            4   0.01%  0x0002462c rodata
│   ├── __compound_literal.11                                                                       4   0.01%  0x00024590 rodata
│   ├── __compound_literal.11.lto_priv.0                                                            4   0.01%  0x000245d4 rodata
│   ├── __compound_literal.11.lto_priv.1                                                            4   0.01%  0x00024624 rodata
│   ├── __compound_literal.12                                                                       8   0.02%  0x2000066c datas
│   ├── __compound_literal.12.lto_priv.0                                                            8   0.02%  0x20000880 datas
│   ├── __compound_literal.12.lto_priv.1                                                            8   0.02%  0x200008b8 datas
│   ├── __compound_literal.13                                                                       4   0.01%  0x000245ac rodata
│   ├── __compound_literal.13.lto_priv.0                                                            4   0.01%  0x000245d8 rodata
│   ├── __compound_literal.13.lto_priv.1                                                            4   0.01%  0x00024628 rodata
│   ├── __compound_literal.14                                                                       4   0.01%  0x000245a8 rodata
│   ├── __compound_literal.14                                                                       4   0.01%  0x00024588 rodata
│   ├── __compound_literal.15                                                                      24   0.06%  0x20000654 datas
│   ├── __compound_literal.15                                                                       4   0.01%  0x00024584 rodata
│   ├── __compound_literal.16                                                                       4   0.01%  0x000245a4 rodata
│   ├── __compound_literal.16                                                                       4   0.01%  0x00024580 rodata
│   ├── __compound_literal.17                                                                       4   0.01%  0x000245a0 rodata
│   ├── __compound_literal.17                                                                       4   0.01%  0x00024564 rodata
│   ├── __compound_literal.18                                                                       4   0.01%  0x0002458c rodata
│   ├── __compound_literal.18                                                                       8   0.02%  0x200005c4 datas
│   ├── __compound_literal.19                                                                       8   0.02%  0x2000064c datas
│   ├── __compound_literal.19                                                                       4   0.01%  0x0002457c rodata
│   ├── __compound_literal.2                                                                        4   0.01%  0x000245c0 rodata
│   ├── __compound_literal.2.lto_priv.0                                                             4   0.01%  0x000245ec rodata
│   ├── __compound_literal.2.lto_priv.1                                                             4   0.01%  0x00024610 rodata
│   ├── __compound_literal.2.lto_priv.2                                                             4   0.01%  0x0002463c rodata
│   ├── __compound_literal.20                                                                       4   0.01%  0x0002459c rodata
│   ├── __compound_literal.20                                                                       4   0.01%  0x00024578 rodata
│   ├── __compound_literal.21                                                                       4   0.01%  0x00024574 rodata
│   ├── __compound_literal.22                                                                       4   0.01%  0x00024560 rodata
│   ├── __compound_literal.23                                                                       8   0.02%  0x200005bc datas
│   ├── __compound_literal.24                                                                       4   0.01%  0x00024570 rodata
│   ├── __compound_literal.25                                                                       4   0.01%  0x0002456c rodata
│   ├── __compound_literal.26                                                                       4   0.01%  0x0002455c rodata
│   ├── __compound_literal.27                                                                       8   0.02%  0x200005b4 datas
│   ├── __compound_literal.28                                                                       4   0.01%  0x00024568 rodata
│   ├── __compound_literal.3                                                                        4   0.01%  0x200008e0 datas
│   ├── __compound_literal.3                                                                        4   0.01%  0x00024598 rodata
│   ├── __compound_literal.3.lto_priv.0                                                             4   0.01%  0x000245cc rodata
│   ├── __compound_literal.3.lto_priv.1                                                             4   0.01%  0x000245f8 rodata
│   ├── __compound_literal.3.lto_priv.2                                                             4   0.01%  0x0002461c rodata
│   ├── __compound_literal.4                                                                        8   0.02%  0x2000067c datas
│   ├── __compound_literal.4.lto_priv.0                                                             8   0.02%  0x20000890 datas
│   ├── __compound_literal.4.lto_priv.1                                                             8   0.02%  0x200008b0 datas
│   ├── __compound_literal.4.lto_priv.2                                                             8   0.02%  0x200008c8 datas
│   ├── __compound_literal.5                                                                        4   0.01%  0x000245bc rodata
│   ├── __compound_literal.5.lto_priv.0                                                             4   0.01%  0x000245e8 rodata
│   ├── __compound_literal.5.lto_priv.1                                                             4   0.01%  0x0002460c rodata
│   ├── __compound_literal.5.lto_priv.2                                                             4   0.01%  0x00024638 rodata
│   ├── __compound_literal.6                                                                        4   0.01%  0x000245b8 rodata
│   ├── __compound_literal.6.lto_priv.0                                                             4   0.01%  0x000245e4 rodata
│   ├── __compound_literal.6.lto_priv.1                                                             4   0.01%  0x00024608 rodata
│   ├── __compound_literal.6.lto_priv.2                                                             4   0.01%  0x00024634 rodata
│   ├── __compound_literal.7                                                                        4   0.01%  0x00024594 rodata
│   ├── __compound_literal.7.lto_priv.0                                                             4   0.01%  0x000245d0 rodata
│   ├── __compound_literal.7.lto_priv.1                                                            24   0.06%  0x20000898 datas
│   ├── __compound_literal.7.lto_priv.2                                                             4   0.01%  0x00024620 rodata
│   ├── __compound_literal.8                                                                        8   0.02%  0x20000674 datas
│   ├── __compound_literal.8.lto_priv.0                                                             8   0.02%  0x20000888 datas
│   ├── __compound_literal.8.lto_priv.1                                                             4   0.01%  0x00024604 rodata
│   ├── __compound_literal.8.lto_priv.2                                                             8   0.02%  0x200008c0 datas
│   ├── __compound_literal.9                                                                        4   0.01%  0x000245b4 rodata
│   ├── __compound_literal.9.lto_priv.0                                                             4   0.01%  0x000245e0 rodata
│   ├── __compound_literal.9.lto_priv.1                                                             4   0.01%  0x00024630 rodata
│   ├── __devstate_dts_ord_10                                                                       2   0.00%  0x2000092e device_states
│   ├── __devstate_dts_ord_102                                                                      2   0.00%  0x2000093a device_states
│   ├── __devstate_dts_ord_113.lto_priv.0                                                           2   0.00%  0x2000092a device_states
│   ├── __devstate_dts_ord_117                                                                      2   0.00%  0x20000934 device_states
│   ├── __devstate_dts_ord_118                                                                      2   0.00%  0x20000936 device_states
│   ├── __devstate_dts_ord_12                                                                       2   0.00%  0x20000930 device_states
│   ├── __devstate_dts_ord_122                                                                      2   0.00%  0x20000928 device_states
│   ├── __devstate_dts_ord_23                                                                       2   0.00%  0x20000932 device_states
│   ├── __devstate_dts_ord_3                                                                        2   0.00%  0x20000938 device_states
│   ├── __devstate_dts_ord_4.lto_priv.0                                                             2   0.00%  0x20000926 device_states
│   ├── __devstate_dts_ord_57.lto_priv.0                                                            2   0.00%  0x2000092c device_states
│   ├── __isr_table_entry_cracen_isr_handler_irq_1.1                                                8   0.02%  0x00025120 rodata
│   ├── __isr_table_entry_mpsl_low_prio_irq_handler_irq_11.1                                        8   0.02%  0x00024fc0 rodata
│   ├── __isr_table_entry_nrfx_isr_irq_1.1.lto_priv.0                                               8   0.02%  0x00025130 rodata
│   ├── __isr_table_entry_nrfx_isr_irq_1.1.lto_priv.1                                               8   0.02%  0x00025600 rodata
