uuid,parent,level,identifier,name,size
1,,0,root,Root,170908
10002,1,1,:,(no paths),166289
12580,1,1,lib,lib,82
12590,1,1,kernel,kernel,2
12594,1,1,(hidden),(hidden),4535
20003,10002,2,:\report_map,report_map,52
20004,10002,2,:\chunk_field,chunk_field,22
20005,10002,2,:\chunk_set,chunk_set,22
20006,10002,2,:\chunk_size,chunk_size,12
20007,10002,2,:\set_chunk_used,set_chunk_used,48
20008,10002,2,:\set_chunk_size,set_chunk_size,8
20009,10002,2,:\free_list_remove_bidx,free_list_remove_bidx,92
20010,10002,2,:\merge_chunks,merge_chunks,60
20011,10002,2,:\arch_printk_char_out,arch_printk_char_out,4
20012,10002,2,:\char_out,char_out,12
20013,10002,2,:\char2hex,char2hex,46
20014,10002,2,:\process_recheck,process_recheck,56
20015,10002,2,:\hci_data_buf_overflow,hci_data_buf_overflow,2
20016,10002,2,:\arm_cmse_mpu_region_get,arm_cmse_mpu_region_get,18
20017,10002,2,:\region_allocate_and_init,region_allocate_and_init,72
20018,10002,2,:\mpu_configure_region,mpu_configure_region,50
20019,10002,2,:\sys_get_le32.lto_priv.1,sys_get_le32.lto_priv.1,4
20020,10002,2,:\handle_event_common,handle_event_common,457
20021,10002,2,:\update_sec_level,update_sec_level,48
20022,10002,2,:\hci_hardware_error,hci_hardware_error,14
20023,10002,2,:\hci_vendor_event,hci_vendor_event,28
20024,10002,2,:\hci_le_meta_event,hci_le_meta_event,28
20025,10002,2,:\meta_events,meta_events,64
20026,10002,2,:\bt_hci_evt_get_flags,bt_hci_evt_get_flags,36
20027,10002,2,:\uuid_to_uuid128,uuid_to_uuid128,120
20028,10002,2,:\uuid128_base,uuid128_base,17
20029,10002,2,:\nvs_flash_al_wrt,nvs_flash_al_wrt,114
20030,10002,2,:\bucket_idx,bucket_idx,30
20031,10002,2,:\free_list_remove,free_list_remove,46
20032,10002,2,:\free_list_add,free_list_add,132
20033,10002,2,:\free_chunk,free_chunk,132
20034,10002,2,:\sys_heap_free,sys_heap_free,44
20035,10002,2,:\nvs_ate_crc8_update,nvs_ate_crc8_update,12
20036,10002,2,:\net_buf_destroy.lto_priv.0,net_buf_destroy.lto_priv.0,60
20037,10002,2,:\long_wq_init,long_wq_init,60
20038,10002,2,:\hci_disconn_complete_prio,hci_disconn_complete_prio,76
20039,10002,2,:\hci_disconn_complete,hci_disconn_complete,40
20040,10002,2,:\le_data_len_change,le_data_len_change,24
20041,10002,2,:\le_phy_update_complete,le_phy_update_complete,26
20042,10002,2,:\hci_encrypt_change,hci_encrypt_change,124
20043,10002,2,:\hci_encrypt_key_refresh_complete,hci_encrypt_key_refresh_complete,112
20044,10002,2,:\malloc_prepare,malloc_prepare,36
20045,10002,2,:\connected,connected,80
20046,10002,2,:\disconnected,disconnected,40
20047,10002,2,:\security_changed,security_changed,60
20048,10002,2,:\rx_queue_put,rx_queue_put,56
20049,10002,2,:\rx_work,rx_work,16
20050,10002,2,:\transition_complete,transition_complete,26
