uuid,parent,level,identifier,name,size
1,,0,root,Root,38406
10002,1,1,:,(no paths),10549
10053,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,15291
10261,1,1,C:/ncs/vturkana,WORKSPACE,9080
10412,1,1,(hidden),(hidden),3486
20003,10002,2,:\default_settings_zms.0,default_settings_zms.0,1022
20004,10002,2,:\str.3,str.3,129
20005,10002,2,:\str.2,str.2,18
20006,10002,2,:\str.1,str.1,30
20007,10002,2,:\ident.1,ident.1,1
20008,10002,2,:\ops.0,ops.0,40
20009,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20010,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,44
20011,10002,2,__compound_literal*,__compound_literal*,48
20017,10002,2,:\on.2,on.2,4
20018,10002,2,:\cli.1,cli.1,16
20019,10002,2,:\initial_run.2,initial_run.2,1
20020,10002,2,:\last_button_scan.1,last_button_scan.1,4
20021,10002,2,:\last_state.0,last_state.0,4
20022,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20024,10002,2,:\kmu_push_area,kmu_push_area,64
20025,10002,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
20026,10002,2,:\bt_dev,bt_dev,448
20029,10002,2,:\settings_handlers,settings_handlers,8
20031,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20032,10002,2,:\settings_save_dst,settings_save_dst,4
20034,10002,2,:\_sched_spinlock,_sched_spinlock,4
20035,10002,2,:\bt_auth,bt_auth,4
20036,10002,2,:\z_main_thread,z_main_thread,144
20038,10002,2,:\SystemCoreClock,SystemCoreClock,4
20040,10002,2,:\_kernel,_kernel,32
20042,10002,2,:\z_main_stack,z_main_stack,3584
20043,10002,2,:\z_idle_threads,z_idle_threads,144
20045,10002,2,:\k_sys_work_q,k_sys_work_q,176
20047,10002,2,:\settings_load_srcs,settings_load_srcs,8
20048,10002,2,:\bt_auth_info_cbs,bt_auth_info_cbs,8
20050,10002,2,:\mpsl_work_q,mpsl_work_q,176
20052,10002,2,:\_thread_dummy,_thread_dummy,144
20054,10053,2,subsys,subsys,10318
20159,10053,2,lib,lib,40
20176,10053,2,arch,arch,25
20186,10053,2,drivers,drivers,378
20230,10053,2,kernel,kernel,4530
20262,10261,2,nrf,nrf,7272
20384,10261,2,modules,modules,1808
30055,20054,3,subsys\bluetooth,bluetooth,10269
30151,20054,3,subsys\settings,settings,49
30160,20159,3,lib\os,os,4
30163,20159,3,lib\libc,libc,32
30173,20159,3,lib\net_buf,net_buf,4
30177,20176,3,arch\arm,arm,25
30187,20186,3,drivers\clock_control,clock_control,94
30192,20186,3,drivers\flash,flash,60
30199,20186,3,drivers\gpio,gpio,42
30207,20186,3,drivers\serial,serial,12
30213,20186,3,drivers\spi,spi,138
30219,20186,3,drivers\timer,timer,28
30225,20186,3,drivers\entropy,entropy,4
30231,20230,3,kernel\mutex.c,mutex.c,4
30233,20230,3,kernel\sem.c,sem.c,4
30235,20230,3,kernel\work.c,work.c,12
30238,20230,3,kernel\condvar.c,condvar.c,4
30240,20230,3,kernel\poll.c,poll.c,4
30242,20230,3,kernel\init.c,init.c,321
30245,20230,3,kernel\system_work_q.c,system_work_q.c,2048
30247,20230,3,kernel\timeslicing.c,timeslicing.c,37
30253,20230,3,kernel\timeout.c,timeout.c,24
30258,20230,3,kernel\mempool.c,mempool.c,2072
30263,20262,3,nrf\subsys,subsys,6905
30348,20262,3,nrf\samples,samples,173
30361,20262,3,nrf\lib,lib,122
30376,20262,3,nrf\drivers,drivers,72
30385,20384,3,modules\hal,hal,336
30396,20384,3,modules\crypto,crypto,1472
