uuid,parent,level,identifier,name,size
1,,0,root,Root,231020
10002,1,1,:,(no paths),62345
11006,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,95074
12266,1,1,C:/ncs/vturkana/nrf/samples/logi_reference/central_hids/build_nrf54l15_app2/central_hids,OUTPUT_DIR,1122
12283,1,1,C:/ncs/vturkana,WORKSPACE,48690
12971,1,1,(hidden),(hidden),23789
20003,10002,2,sym_*,sym_*,53002
20201,10002,2,CSWTCH.*,CSWTCH.*,344
20204,10002,2,:\plat_str.2,plat_str.2,16
20205,10002,2,:\nordic_str.1,nordic_str.1,24
20206,10002,2,:\var_str.0,var_str.0,16
20210,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20211,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20212,10002,2,:\hex.4,hex.4,17
20215,10002,2,:\ops.0,ops.0,40
20216,10002,2,:\ops.0,ops.0,40
20217,10002,2,:\ops.0,ops.0,40
20218,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20219,10002,2,:\att_exec_write_req,att_exec_write_req,4
20220,10002,2,:\att_handle_find_type_rsp,att_handle_find_type_rsp,4
20221,10002,2,:\att_handle_read_type_rsp,att_handle_read_type_rsp,4
20222,10002,2,:\att_handle_read_rsp,att_handle_read_rsp,4
20223,10002,2,:\att_handle_read_blob_rsp,att_handle_read_blob_rsp,4
20224,10002,2,:\att_handle_read_mult_rsp,att_handle_read_mult_rsp,4
20225,10002,2,:\att_handle_read_mult_vl_rsp,att_handle_read_mult_vl_rsp,4
20226,10002,2,:\att_handle_read_group_rsp,att_handle_read_group_rsp,4
20227,10002,2,:\att_handle_write_rsp,att_handle_write_rsp,4
20228,10002,2,:\att_handle_prepare_write_rsp,att_handle_prepare_write_rsp,4
20229,10002,2,:\att_handle_exec_write_rsp,att_handle_exec_write_rsp,4
20230,10002,2,:\att_confirm,att_confirm,4
20231,10002,2,:\gatt_read_mult_vl_encode,gatt_read_mult_vl_encode,4
20232,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20233,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,44
20234,10002,2,__compound_literal*,__compound_literal*,148
20264,10002,2,:\smp_signing_info,smp_signing_info,4
20265,10002,2,:\smp_central_ident,smp_central_ident,4
20266,10002,2,:\smp_pairing_req,smp_pairing_req,4
20270,10002,2,:\salt.0,salt.0,16
20271,10002,2,:\transitions.0,transitions.0,12
20272,10002,2,:\parameters.0,parameters.0,8
20273,10002,2,:\pages_layout.1,pages_layout.1,8
20283,10002,2,:\initial_run.2,initial_run.2,1
20285,10002,2,:\port_offset.1,port_offset.1,16
20290,10002,2,:\levels.0,levels.0,24
20291,10002,2,:\platform_free_uninit,platform_free_uninit,2
20293,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20296,10002,2,:\__ultoa_invert,__ultoa_invert,172
20306,10002,2,:\memcmp,memcmp,32
20312,10002,2,:\mpsl_fem_pa_power_control_set,mpsl_fem_pa_power_control_set,12
20317,10002,2,:\sdc_hci_cmd_le_read_remote_features,sdc_hci_cmd_le_read_remote_features,4
20323,10002,2,:\sdc_hci_cmd_vs_event_length_set,sdc_hci_cmd_vs_event_length_set,4
20332,10002,2,:\sdc_hci_cmd_le_read_buffer_size,sdc_hci_cmd_le_read_buffer_size,4
20337,10002,2,:\sdc_hci_cmd_vs_qos_conn_event_report_enable,sdc_hci_cmd_vs_qos_conn_event_report_enable,12
20342,10002,2,:\sdc_hci_cmd_le_set_privacy_mode,sdc_hci_cmd_le_set_privacy_mode,4
20343,10002,2,:\sdc_hci_cmd_cb_read_transmit_power_level,sdc_hci_cmd_cb_read_transmit_power_level,4
20344,10002,2,:\mpsl_timeslot_request,mpsl_timeslot_request,182
20348,10002,2,:\bt_addr_any,bt_addr_any,6
20357,10002,2,:\__file_str_put,__file_str_put,16
20359,10002,2,:\bt_dev,bt_dev,448
20364,10002,2,:\sdc_hci_cmd_vs_set_role_priority,sdc_hci_cmd_vs_set_role_priority,4
20365,10002,2,:\snprintf,snprintf,88
20369,10002,2,:\__device_dts_ord_122,__device_dts_ord_122,20
20370,10002,2,:\mpsl_fem_enable,mpsl_fem_enable,12
20371,10002,2,:\mpsl_clock_hfclk_request,mpsl_clock_hfclk_request,44
20374,10002,2,:\MPSL_IRQ_TIMER0_Handler,MPSL_IRQ_TIMER0_Handler,20
20382,10002,2,:\strcmp,strcmp,20
20394,10002,2,:\sdc_hci_cmd_le_read_transmit_power,sdc_hci_cmd_le_read_transmit_power,4
20398,10002,2,:\sdc_hci_cmd_le_set_data_length,sdc_hci_cmd_le_set_data_length,4
20399,10002,2,:\cracen_mac_verify_setup,cracen_mac_verify_setup,4
20400,10002,2,:\MPSL_IRQ_CLOCK_Handler,MPSL_IRQ_CLOCK_Handler,216
20402,10002,2,:\sdc_support_phy_update_central,sdc_support_phy_update_central,28
20403,10002,2,:\memset,memset,16
20419,10002,2,:\net_buf_fixed_cb,net_buf_fixed_cb,12
20422,10002,2,:\sdc_enable,sdc_enable,96
20424,10002,2,:\sdc_hci_cmd_le_read_suggested_default_data_length,sdc_hci_cmd_le_read_suggested_default_data_length,4
20425,10002,2,:\sdc_hci_cmd_vs_zephyr_read_version_info,sdc_hci_cmd_vs_zephyr_read_version_info,56
