uuid,parent,level,identifier,name,size
1,,0,root,Root,44360
10002,1,1,:,(no paths),10757
10077,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,16343
10292,1,1,C:/ncs/vturkana,WORKSPACE,11573
10501,1,1,(hidden),(hidden),5687
20003,10002,2,__compound_literal*,__compound_literal*,1175
20015,10002,2,:\default_settings_zms.0,default_settings_zms.0,96
20016,10002,2,:\last_adv_mode.1,last_adv_mode.1,1
20017,10002,2,:\drop_disc_adv_payload.0,drop_disc_adv_payload.0,1
20018,10002,2,:\buf.2,buf.2,26
20019,10002,2,:\flags.0,flags.0,1
20020,10002,2,:\data.0,data.0,2
20021,10002,2,:\tx_power.0,tx_power.0,1
20022,10002,2,:\str.3,str.3,129
20023,10002,2,:\str.1,str.1,30
20024,10002,2,:\ident.1,ident.1,1
20025,10002,2,:\ops.0,ops.0,40
20026,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20027,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20032,10002,2,:\on.2,on.2,4
20033,10002,2,:\cli.1,cli.1,16
20034,10002,2,:\initial_run.2,initial_run.2,1
20035,10002,2,:\last_button_scan.1,last_button_scan.1,4
20036,10002,2,:\last_state.0,last_state.0,4
20037,10002,2,:\additional_data_attr.0,additional_data_attr.0,4
20043,10002,2,:\timeout_works_initialized.0,timeout_works_initialized.0,1
20044,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20046,10002,2,:\kmu_push_area,kmu_push_area,64
20047,10002,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
20048,10002,2,:\bt_dev,bt_dev,448
20051,10002,2,:\settings_handlers,settings_handlers,8
20054,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20055,10002,2,:\settings_save_dst,settings_save_dst,4
20057,10002,2,:\_sched_spinlock,_sched_spinlock,4
20058,10002,2,:\bt_auth,bt_auth,4
20059,10002,2,:\z_main_thread,z_main_thread,144
20061,10002,2,:\SystemCoreClock,SystemCoreClock,4
20063,10002,2,:\_kernel,_kernel,32
20066,10002,2,:\z_main_stack,z_main_stack,3584
20067,10002,2,:\z_idle_threads,z_idle_threads,144
20069,10002,2,:\k_sys_work_q,k_sys_work_q,176
20071,10002,2,:\settings_load_srcs,settings_load_srcs,8
20072,10002,2,:\bt_auth_info_cbs,bt_auth_info_cbs,8
20074,10002,2,:\mpsl_work_q,mpsl_work_q,176
20076,10002,2,:\_thread_dummy,_thread_dummy,144
20078,10077,2,subsys,subsys,11370
20190,10077,2,lib,lib,40
20207,10077,2,arch,arch,25
20217,10077,2,drivers,drivers,378
20261,10077,2,kernel,kernel,4530
20293,10292,2,nrf,nrf,9765
20473,10292,2,modules,modules,1808
30079,20078,3,subsys\bluetooth,bluetooth,11321
30182,20078,3,subsys\settings,settings,49
30191,20190,3,lib\os,os,4
30194,20190,3,lib\libc,libc,32
30204,20190,3,lib\net_buf,net_buf,4
30208,20207,3,arch\arm,arm,25
30218,20217,3,drivers\clock_control,clock_control,94
30223,20217,3,drivers\flash,flash,60
30230,20217,3,drivers\gpio,gpio,42
30238,20217,3,drivers\serial,serial,12
30244,20217,3,drivers\spi,spi,138
30250,20217,3,drivers\timer,timer,28
30256,20217,3,drivers\entropy,entropy,4
30262,20261,3,kernel\mutex.c,mutex.c,4
30264,20261,3,kernel\sem.c,sem.c,4
30266,20261,3,kernel\work.c,work.c,12
30269,20261,3,kernel\condvar.c,condvar.c,4
30271,20261,3,kernel\poll.c,poll.c,4
30273,20261,3,kernel\init.c,init.c,321
30276,20261,3,kernel\system_work_q.c,system_work_q.c,2048
30278,20261,3,kernel\timeslicing.c,timeslicing.c,37
30284,20261,3,kernel\timeout.c,timeout.c,24
30289,20261,3,kernel\mempool.c,mempool.c,2072
30294,20293,3,nrf\subsys,subsys,9394
30437,20293,3,nrf\samples,samples,177
30450,20293,3,nrf\lib,lib,122
30465,20293,3,nrf\drivers,drivers,72
30474,20473,3,modules\hal,hal,336
30485,20473,3,modules\crypto,crypto,1472
