uuid,parent,level,identifier,name,size
1,,0,root,Root,38236
10002,1,1,:,(no paths),10519
10052,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,15151
10260,1,1,C:/ncs/vturkana,WORKSPACE,9080
10411,1,1,(hidden),(hidden),3486
20003,10002,2,:\default_settings_zms.0,default_settings_zms.0,1022
20004,10002,2,:\str.3,str.3,129
20005,10002,2,:\str.1,str.1,30
20006,10002,2,:\ident.1,ident.1,1
20007,10002,2,:\ops.0,ops.0,40
20008,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20009,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20010,10002,2,__compound_literal*,__compound_literal*,48
20016,10002,2,:\on.2,on.2,4
20017,10002,2,:\cli.1,cli.1,16
20018,10002,2,:\initial_run.2,initial_run.2,1
20019,10002,2,:\last_button_scan.1,last_button_scan.1,4
20020,10002,2,:\last_state.0,last_state.0,4
20021,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20023,10002,2,:\kmu_push_area,kmu_push_area,64
20024,10002,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
20025,10002,2,:\bt_dev,bt_dev,448
20028,10002,2,:\settings_handlers,settings_handlers,8
20030,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20031,10002,2,:\settings_save_dst,settings_save_dst,4
20033,10002,2,:\_sched_spinlock,_sched_spinlock,4
20034,10002,2,:\bt_auth,bt_auth,4
20035,10002,2,:\z_main_thread,z_main_thread,144
20037,10002,2,:\SystemCoreClock,SystemCoreClock,4
20039,10002,2,:\_kernel,_kernel,32
20041,10002,2,:\z_main_stack,z_main_stack,3584
20042,10002,2,:\z_idle_threads,z_idle_threads,144
20044,10002,2,:\k_sys_work_q,k_sys_work_q,176
20046,10002,2,:\settings_load_srcs,settings_load_srcs,8
20047,10002,2,:\bt_auth_info_cbs,bt_auth_info_cbs,8
20049,10002,2,:\mpsl_work_q,mpsl_work_q,176
20051,10002,2,:\_thread_dummy,_thread_dummy,144
20053,10052,2,subsys,subsys,10178
20158,10052,2,lib,lib,40
20175,10052,2,arch,arch,25
20185,10052,2,drivers,drivers,378
20229,10052,2,kernel,kernel,4530
20261,10260,2,nrf,nrf,7272
20383,10260,2,modules,modules,1808
30054,20053,3,subsys\bluetooth,bluetooth,10129
30150,20053,3,subsys\settings,settings,49
30159,20158,3,lib\os,os,4
30162,20158,3,lib\libc,libc,32
30172,20158,3,lib\net_buf,net_buf,4
30176,20175,3,arch\arm,arm,25
30186,20185,3,drivers\clock_control,clock_control,94
30191,20185,3,drivers\flash,flash,60
30198,20185,3,drivers\gpio,gpio,42
30206,20185,3,drivers\serial,serial,12
30212,20185,3,drivers\spi,spi,138
30218,20185,3,drivers\timer,timer,28
30224,20185,3,drivers\entropy,entropy,4
30230,20229,3,kernel\mutex.c,mutex.c,4
30232,20229,3,kernel\sem.c,sem.c,4
30234,20229,3,kernel\work.c,work.c,12
30237,20229,3,kernel\condvar.c,condvar.c,4
30239,20229,3,kernel\poll.c,poll.c,4
30241,20229,3,kernel\init.c,init.c,321
30244,20229,3,kernel\system_work_q.c,system_work_q.c,2048
30246,20229,3,kernel\timeslicing.c,timeslicing.c,37
30252,20229,3,kernel\timeout.c,timeout.c,24
30257,20229,3,kernel\mempool.c,mempool.c,2072
30262,20261,3,nrf\subsys,subsys,6905
30347,20261,3,nrf\samples,samples,173
30360,20261,3,nrf\lib,lib,122
30375,20261,3,nrf\drivers,drivers,72
30384,20383,3,modules\hal,hal,336
30395,20383,3,modules\crypto,crypto,1472
