uuid,parent,level,identifier,name,size
1,,0,root,Root,37680
10002,1,1,:,(no paths),9939
10085,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,21836
10406,1,1,C:/ncs/vturkana,WORKSPACE,5879
10530,1,1,(hidden),(hidden),26
20003,10002,2,:\p.2,p.2,16
20004,10002,2,:\p.2,p.2,16
20005,10002,2,:\mfy.1,mfy.1,16
20006,10002,2,:\mfy.1,mfy.1,16
20007,10002,2,:\mfy.1,mfy.1,16
20008,10002,2,:\mfy.1,mfy.1,16
20009,10002,2,:\mfy.1,mfy.1,16
20010,10002,2,:\link.0,link.0,56
20011,10002,2,:\link.0,link.0,8
20012,10002,2,:\link.0,link.0,8
20013,10002,2,:\link.0,link.0,8
20014,10002,2,:\link.0,link.0,8
20015,10002,2,:\link.0,link.0,8
20016,10002,2,:\mfy.5,mfy.5,16
20017,10002,2,:\mfy.5,mfy.5,16
20018,10002,2,:\mfy.3,mfy.3,16
20019,10002,2,:\mfy.3,mfy.3,16
20020,10002,2,:\mfy.7,mfy.7,16
20021,10002,2,:\mfy.7,mfy.7,16
20022,10002,2,:\link.2,link.2,8
20023,10002,2,:\link.2,link.2,8
20024,10002,2,:\link.2,link.2,8
20025,10002,2,:\link.4,link.4,8
20026,10002,2,:\link.4,link.4,8
20027,10002,2,:\link.4,link.4,8
20028,10002,2,:\link.6,link.6,8
20029,10002,2,:\link.6,link.6,8
20030,10002,2,:\default_settings_zms.0,default_settings_zms.0,96
20031,10002,2,:\str.3,str.3,129
20032,10002,2,:\str.1,str.1,30
20033,10002,2,:\ident.1,ident.1,1
20034,10002,2,:\ops.0,ops.0,40
20035,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20036,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20043,10002,2,:\mayfly_initialized.10,mayfly_initialized.10,1
20044,10002,2,:\mfy.9,mfy.9,16
20045,10002,2,:\link.8,link.8,8
20046,10002,2,:\ticks_at_preempt.2,ticks_at_preempt.2,4
20047,10002,2,:\done.0,done.0,1
20048,10002,2,:\mfy_after_cen_offset_get.4,mfy_after_cen_offset_get.4,16
20049,10002,2,:\mfy.2,mfy.2,16
20050,10002,2,:\link.1,link.1,8
20051,10002,2,:\link.1,link.1,8
20052,10002,2,:\link.3,link.3,8
20053,10002,2,:\link.3,link.3,8
20054,10002,2,:\m.6,m.6,16
20055,10002,2,:\m.9,m.9,16
20056,10002,2,:\m.11,m.11,16
20057,10002,2,:\m.10,m.10,16
20058,10002,2,:\m.7,m.7,16
20059,10002,2,:\m.8,m.8,16
20060,10002,2,:\link.5,link.5,8
20061,10002,2,:\on.2,on.2,4
20062,10002,2,:\cli.1,cli.1,16
20063,10002,2,:\initial_run.2,initial_run.2,1
20064,10002,2,:\last_button_scan.1,last_button_scan.1,4
20065,10002,2,:\last_state.0,last_state.0,4
20066,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20067,10002,2,:\kmu_push_area,kmu_push_area,64
20068,10002,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
20069,10002,2,:\bt_dev,bt_dev,448
20070,10002,2,:\settings_handlers,settings_handlers,8
20071,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20072,10002,2,:\settings_save_dst,settings_save_dst,4
20073,10002,2,:\_sched_spinlock,_sched_spinlock,4
20074,10002,2,:\bt_auth,bt_auth,4
20075,10002,2,:\z_main_thread,z_main_thread,144
20076,10002,2,:\SystemCoreClock,SystemCoreClock,4
20077,10002,2,:\_kernel,_kernel,32
20078,10002,2,:\z_main_stack,z_main_stack,3584
20079,10002,2,:\z_idle_threads,z_idle_threads,144
20080,10002,2,:\k_sys_work_q,k_sys_work_q,176
20081,10002,2,:\settings_load_srcs,settings_load_srcs,8
20082,10002,2,:\bt_auth_info_cbs,bt_auth_info_cbs,8
20083,10002,2,:\conn_upd_curr,conn_upd_curr,4
20084,10002,2,:\_thread_dummy,_thread_dummy,144
20086,10085,2,subsys,subsys,16863
20304,10085,2,lib,lib,40
20321,10085,2,arch,arch,25
20331,10085,2,drivers,drivers,378
20375,10085,2,kernel,kernel,4530
20407,10406,2,nrf,nrf,4063
20500,10406,2,modules,modules,1816
30087,20086,3,subsys\bluetooth,bluetooth,16814
30296,20086,3,subsys\settings,settings,49
30305,20304,3,lib\os,os,4
30308,20304,3,lib\libc,libc,32
30318,20304,3,lib\net_buf,net_buf,4
30322,20321,3,arch\arm,arm,25
30332,20331,3,drivers\clock_control,clock_control,94
30337,20331,3,drivers\flash,flash,60
30344,20331,3,drivers\gpio,gpio,42
30352,20331,3,drivers\serial,serial,12
30358,20331,3,drivers\spi,spi,138
30364,20331,3,drivers\timer,timer,28
30370,20331,3,drivers\entropy,entropy,4
30376,20375,3,kernel\mutex.c,mutex.c,4
30378,20375,3,kernel\sem.c,sem.c,4
30380,20375,3,kernel\work.c,work.c,12
30383,20375,3,kernel\condvar.c,condvar.c,4
30385,20375,3,kernel\poll.c,poll.c,4
30387,20375,3,kernel\init.c,init.c,321
30390,20375,3,kernel\system_work_q.c,system_work_q.c,2048
30392,20375,3,kernel\timeslicing.c,timeslicing.c,37
30398,20375,3,kernel\timeout.c,timeout.c,24
30403,20375,3,kernel\mempool.c,mempool.c,2072
30408,20407,3,nrf\samples,samples,173
30421,20407,3,nrf\subsys,subsys,3788
30488,20407,3,nrf\lib,lib,102
30501,20500,3,modules\hal,hal,344
30514,20500,3,modules\crypto,crypto,1472
