uuid,parent,level,identifier,name,size
1,,0,root,Root,171574
10002,1,1,:,(no paths),61346
11019,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,67090
12143,1,1,C:/ncs/vturkana/nrf/samples/logi_reference/peripheral_hids/build_nrf54l15_app2/peripheral_hids,OUTPUT_DIR,1114
12158,1,1,C:/ncs/vturkana,WORKSPACE,38582
12729,1,1,(hidden),(hidden),3442
20003,10002,2,sym_*,sym_*,52166
20183,10002,2,CSWTCH.*,CSWTCH.*,191
20185,10002,2,__compound_literal*,__compound_literal*,401
20253,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20254,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20255,10002,2,:\ops.0,ops.0,40
20256,10002,2,:\ops.0,ops.0,40
20257,10002,2,:\ops.0,ops.0,40
20258,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20259,10002,2,:\att_exec_write_req,att_exec_write_req,4
20260,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20261,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,44
20270,10002,2,:\smp_security_request,smp_security_request,4
20271,10002,2,:\smp_central_ident,smp_central_ident,4
20272,10002,2,:\smp_pairing_rsp,smp_pairing_rsp,4
20273,10002,2,:\smp_signing_info,smp_signing_info,4
20277,10002,2,:\salt.0,salt.0,16
20278,10002,2,:\transitions.0,transitions.0,12
20279,10002,2,:\parameters.0,parameters.0,8
20280,10002,2,:\pages_layout.1,pages_layout.1,8
20286,10002,2,:\port_offset.1,port_offset.1,16
20288,10002,2,:\levels.0,levels.0,24
20289,10002,2,:\platform_free_uninit,platform_free_uninit,2
20291,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20295,10002,2,:\__ultoa_invert,__ultoa_invert,172
20305,10002,2,:\memcmp,memcmp,32
20311,10002,2,:\mpsl_fem_pa_power_control_set,mpsl_fem_pa_power_control_set,12
20316,10002,2,:\sdc_hci_cmd_le_read_remote_features,sdc_hci_cmd_le_read_remote_features,4
20323,10002,2,:\sdc_hci_cmd_vs_event_length_set,sdc_hci_cmd_vs_event_length_set,4
20334,10002,2,:\sdc_hci_cmd_le_read_buffer_size,sdc_hci_cmd_le_read_buffer_size,4
20341,10002,2,:\sdc_hci_cmd_vs_qos_conn_event_report_enable,sdc_hci_cmd_vs_qos_conn_event_report_enable,12
20344,10002,2,:\sdc_hci_cmd_le_set_privacy_mode,sdc_hci_cmd_le_set_privacy_mode,4
20345,10002,2,:\sdc_hci_cmd_cb_read_transmit_power_level,sdc_hci_cmd_cb_read_transmit_power_level,4
20346,10002,2,:\mpsl_timeslot_request,mpsl_timeslot_request,182
20351,10002,2,:\bt_addr_any,bt_addr_any,6
20362,10002,2,:\sdc_hci_cmd_vs_peripheral_latency_mode_set,sdc_hci_cmd_vs_peripheral_latency_mode_set,8
20365,10002,2,:\__file_str_put,__file_str_put,16
20366,10002,2,:\sdc_support_adv,sdc_support_adv,40
20369,10002,2,:\bt_dev,bt_dev,368
20372,10002,2,:\sdc_hci_cmd_vs_set_role_priority,sdc_hci_cmd_vs_set_role_priority,4
20373,10002,2,:\snprintf,snprintf,88
20379,10002,2,:\__device_dts_ord_122,__device_dts_ord_122,20
20381,10002,2,:\mpsl_fem_enable,mpsl_fem_enable,12
20382,10002,2,:\mpsl_clock_hfclk_request,mpsl_clock_hfclk_request,44
20385,10002,2,:\MPSL_IRQ_TIMER0_Handler,MPSL_IRQ_TIMER0_Handler,20
20390,10002,2,:\strcmp,strcmp,20
20401,10002,2,:\sdc_hci_cmd_le_read_transmit_power,sdc_hci_cmd_le_read_transmit_power,4
20406,10002,2,:\sdc_hci_cmd_le_set_data_length,sdc_hci_cmd_le_set_data_length,4
20407,10002,2,:\cracen_mac_verify_setup,cracen_mac_verify_setup,4
20408,10002,2,:\MPSL_IRQ_CLOCK_Handler,MPSL_IRQ_CLOCK_Handler,216
20410,10002,2,:\memset,memset,16
20428,10002,2,:\net_buf_fixed_cb,net_buf_fixed_cb,12
20431,10002,2,:\sdc_enable,sdc_enable,96
20434,10002,2,:\sdc_hci_cmd_le_read_suggested_default_data_length,sdc_hci_cmd_le_read_suggested_default_data_length,4
20435,10002,2,:\sdc_hci_cmd_vs_zephyr_read_version_info,sdc_hci_cmd_vs_zephyr_read_version_info,56
20441,10002,2,:\sdc_hci_cmd_le_remove_device_from_resolving_list,sdc_hci_cmd_le_remove_device_from_resolving_list,4
20455,10002,2,:\sdc_hci_cmd_ip_read_bd_addr,sdc_hci_cmd_ip_read_bd_addr,4
20456,10002,2,:\sdc_rand_source_register,sdc_rand_source_register,16
20458,10002,2,:\bt_addr_none,bt_addr_none,6
20459,10002,2,:\strncmp,strncmp,36
20461,10002,2,:\__aeabi_memcpy4,__aeabi_memcpy4,26
20469,10002,2,:\strcpy,strcpy,16
20476,10002,2,:\sdc_hci_cmd_le_remove_device_from_filter_accept_list,sdc_hci_cmd_le_remove_device_from_filter_accept_list,4
20479,10002,2,:\sdc_hci_cmd_le_set_event_mask,sdc_hci_cmd_le_set_event_mask,10
20481,10002,2,:\__libc_fini_array,__libc_fini_array,44
20484,10002,2,:\bt_addr_le_any,bt_addr_le_any,7
20487,10002,2,:\sdc_disable,sdc_disable,36
20492,10002,2,:\MPSL_IRQ_RADIO_Handler,MPSL_IRQ_RADIO_Handler,44
20495,10002,2,:\sdc_hci_cmd_cb_set_event_mask,sdc_hci_cmd_cb_set_event_mask,10
20506,10002,2,:\strnlen,strnlen,24
20515,10002,2,:\sdc_support_peripheral,sdc_support_peripheral,40
20519,10002,2,:\sdc_hci_cmd_le_add_device_to_filter_accept_list,sdc_hci_cmd_le_add_device_to_filter_accept_list,4
20521,10002,2,:\mpsl_init,mpsl_init,164
20522,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20527,10002,2,:\mpsl_low_priority_process,mpsl_low_priority_process,4
20528,10002,2,:\sdc_support_dle_peripheral,sdc_support_dle_peripheral,28
20536,10002,2,:\sx_curve_nistp256,sx_curve_nistp256,12
20541,10002,2,:\__device_dts_ord_23,__device_dts_ord_23,20
20550,10002,2,:\bt_smp_sign,bt_smp_sign,6
20553,10002,2,:\sdc_hci_cmd_vs_zephyr_read_static_addresses,sdc_hci_cmd_vs_zephyr_read_static_addresses,72
20555,10002,2,:\sdc_hci_cmd_le_set_adv_enable,sdc_hci_cmd_le_set_adv_enable,4
20557,10002,2,:\sdc_hci_cmd_le_read_resolving_list_size,sdc_hci_cmd_le_read_resolving_list_size,4
20566,10002,2,:\mpsl_temperature_get,mpsl_temperature_get,124
20572,10002,2,:\mpsl_ecb_block_encrypt_extended,mpsl_ecb_block_encrypt_extended,16
20591,10002,2,:\sdc_hci_cmd_le_read_filter_accept_list_size,sdc_hci_cmd_le_read_filter_accept_list_size,4
20594,10002,2,:\SystemCoreClock,SystemCoreClock,4
20605,10002,2,:\sdc_hci_cmd_le_clear_resolving_list,sdc_hci_cmd_le_clear_resolving_list,4
20607,10002,2,:\sdc_hci_cmd_vs_min_val_of_max_acl_tx_payload_set,sdc_hci_cmd_vs_min_val_of_max_acl_tx_payload_set,4
20608,10002,2,:\mpsl_fem_disable,mpsl_fem_disable,12
20609,10002,2,:\sdc_hci_cmd_cb_reset,sdc_hci_cmd_cb_reset,28
20611,10002,2,:\sdc_hci_cmd_le_set_resolvable_private_address_timeout,sdc_hci_cmd_le_set_resolvable_private_address_timeout,4
20614,10002,2,:\sdc_hci_cmd_vs_set_adv_randomness,sdc_hci_cmd_vs_set_adv_randomness,4
20615,10002,2,:\__aeabi_ldiv0,__aeabi_ldiv0,2
20621,10002,2,:\mpsl_dppi_fixed_channels_set,mpsl_dppi_fixed_channels_set,48
20622,10002,2,:\sdc_init,sdc_init,116
20626,10002,2,:\sdc_hci_cmd_lc_disconnect,sdc_hci_cmd_lc_disconnect,4
20633,10002,2,:\sdc_hci_cmd_le_read_channel_map,sdc_hci_cmd_le_read_channel_map,4
20642,10002,2,:\mpsl_tx_power_radio_supported_power_adjust,mpsl_tx_power_radio_supported_power_adjust,32
20651,10002,2,:\sdc_hci_cmd_le_set_default_phy,sdc_hci_cmd_le_set_default_phy,4
20655,10002,2,:\MPSL_IRQ_RTC0_Handler,MPSL_IRQ_RTC0_Handler,24
20663,10002,2,:\sdc_hci_cmd_le_clear_filter_accept_list,sdc_hci_cmd_le_clear_filter_accept_list,4
20681,10002,2,:\exit,exit,28
20692,10002,2,:\mpsl_timeslot_session_count_set,mpsl_timeslot_session_count_set,70
20693,10002,2,:\sdc_hci_cmd_le_read_adv_physical_channel_tx_power,sdc_hci_cmd_le_read_adv_physical_channel_tx_power,4
20697,10002,2,:\sdc_hci_cmd_le_read_phy,sdc_hci_cmd_le_read_phy,4
20704,10002,2,:\__device_dts_ord_12,__device_dts_ord_12,20
20705,10002,2,:\__device_dts_ord_57,__device_dts_ord_57,20
