uuid,parent,level,identifier,name,size
1,,0,root,Root,32166
10002,1,1,:,(no paths),10352
10058,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,12495
10249,1,1,C:/ncs/vturkana,WORKSPACE,6179
10375,1,1,(hidden),(hidden),3140
20003,10002,2,__compound_literal*,__compound_literal*,1091
20018,10002,2,:\default_settings_nvs.0,default_settings_nvs.0,64
20019,10002,2,:\ident.1,ident.1,1
20020,10002,2,:\ops.0,ops.0,40
20021,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20022,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20026,10002,2,:\on.2,on.2,4
20027,10002,2,:\cli.1,cli.1,16
20028,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20030,10002,2,:\kmu_push_area,kmu_push_area,64
20031,10002,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
20032,10002,2,:\bt_dev,bt_dev,368
20035,10002,2,:\settings_handlers,settings_handlers,8
20037,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20038,10002,2,:\settings_save_dst,settings_save_dst,4
20040,10002,2,:\bt_auth,bt_auth,4
20041,10002,2,:\z_main_thread,z_main_thread,144
20043,10002,2,:\SystemCoreClock,SystemCoreClock,4
20045,10002,2,:\_kernel,_kernel,32
20047,10002,2,:\z_main_stack,z_main_stack,3584
20048,10002,2,:\z_idle_threads,z_idle_threads,144
20050,10002,2,:\k_sys_work_q,k_sys_work_q,176
20052,10002,2,:\settings_load_srcs,settings_load_srcs,8
20053,10002,2,:\bt_auth_info_cbs,bt_auth_info_cbs,8
20055,10002,2,:\mpsl_work_q,mpsl_work_q,176
20057,10002,2,:\_thread_dummy,_thread_dummy,144
20059,10058,2,subsys,subsys,9634
20164,10058,2,lib,lib,36
20178,10058,2,arch,arch,25
20188,10058,2,drivers,drivers,366
20231,10058,2,kernel,kernel,2434
20250,10249,2,nrf,nrf,4371
20347,10249,2,modules,modules,1808
30060,20059,3,subsys\bluetooth,bluetooth,9585
30156,20059,3,subsys\settings,settings,49
30165,20164,3,lib\os,os,4
30168,20164,3,lib\libc,libc,32
30179,20178,3,arch\arm,arm,25
30189,20188,3,drivers\clock_control,clock_control,86
30194,20188,3,drivers\flash,flash,60
30201,20188,3,drivers\gpio,gpio,42
30209,20188,3,drivers\serial,serial,12
30215,20188,3,drivers\spi,spi,138
30221,20188,3,drivers\timer,timer,24
30226,20188,3,drivers\entropy,entropy,4
30232,20231,3,kernel\init.c,init.c,321
30235,20231,3,kernel\system_work_q.c,system_work_q.c,2048
30237,20231,3,kernel\work.c,work.c,8
30239,20231,3,kernel\timeslicing.c,timeslicing.c,37
30245,20231,3,kernel\timeout.c,timeout.c,20
30251,20250,3,nrf\subsys,subsys,4195
30323,20250,3,nrf\samples,samples,84
30335,20250,3,nrf\lib,lib,20
30339,20250,3,nrf\drivers,drivers,72
30348,20347,3,modules\hal,hal,336
30359,20347,3,modules\crypto,crypto,1472
