uuid,parent,level,identifier,name,size
1,,0,root,Root,171278
10002,1,1,:,(no paths),61331
11018,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,66802
12138,1,1,C:/ncs/vturkana/nrf/samples/logi_reference/peripheral_hids/build_nrf54l15_opt1/peripheral_hids,OUTPUT_DIR,1114
12153,1,1,C:/ncs/vturkana,WORKSPACE,38578
12726,1,1,(hidden),(hidden),3453
20003,10002,2,sym_*,sym_*,52755
20252,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20253,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20254,10002,2,:\ops.0,ops.0,40
20255,10002,2,:\ops.0,ops.0,40
20256,10002,2,:\ops.0,ops.0,40
20257,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20258,10002,2,:\att_exec_write_req,att_exec_write_req,4
20259,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20260,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20269,10002,2,:\smp_security_request,smp_security_request,4
20270,10002,2,:\smp_central_ident,smp_central_ident,4
20271,10002,2,:\smp_pairing_rsp,smp_pairing_rsp,4
20272,10002,2,:\smp_signing_info,smp_signing_info,4
20276,10002,2,:\salt.0,salt.0,16
20277,10002,2,:\transitions.0,transitions.0,12
20278,10002,2,:\parameters.0,parameters.0,8
20279,10002,2,:\pages_layout.1,pages_layout.1,8
20285,10002,2,:\port_offset.1,port_offset.1,16
20287,10002,2,:\levels.0,levels.0,24
20288,10002,2,:\platform_free_uninit,platform_free_uninit,2
20290,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20294,10002,2,:\__ultoa_invert,__ultoa_invert,172
20304,10002,2,:\memcmp,memcmp,32
20310,10002,2,:\mpsl_fem_pa_power_control_set,mpsl_fem_pa_power_control_set,12
20315,10002,2,:\sdc_hci_cmd_le_read_remote_features,sdc_hci_cmd_le_read_remote_features,4
20322,10002,2,:\sdc_hci_cmd_vs_event_length_set,sdc_hci_cmd_vs_event_length_set,4
20333,10002,2,:\sdc_hci_cmd_le_read_buffer_size,sdc_hci_cmd_le_read_buffer_size,4
20340,10002,2,:\sdc_hci_cmd_vs_qos_conn_event_report_enable,sdc_hci_cmd_vs_qos_conn_event_report_enable,12
20343,10002,2,:\sdc_hci_cmd_le_set_privacy_mode,sdc_hci_cmd_le_set_privacy_mode,4
20344,10002,2,:\sdc_hci_cmd_cb_read_transmit_power_level,sdc_hci_cmd_cb_read_transmit_power_level,4
20345,10002,2,:\mpsl_timeslot_request,mpsl_timeslot_request,182
20350,10002,2,:\bt_addr_any,bt_addr_any,6
20361,10002,2,:\sdc_hci_cmd_vs_peripheral_latency_mode_set,sdc_hci_cmd_vs_peripheral_latency_mode_set,8
20364,10002,2,:\__file_str_put,__file_str_put,16
20365,10002,2,:\sdc_support_adv,sdc_support_adv,40
20368,10002,2,:\bt_dev,bt_dev,368
20371,10002,2,:\sdc_hci_cmd_vs_set_role_priority,sdc_hci_cmd_vs_set_role_priority,4
20372,10002,2,:\snprintf,snprintf,88
20378,10002,2,:\__device_dts_ord_122,__device_dts_ord_122,20
20380,10002,2,:\mpsl_fem_enable,mpsl_fem_enable,12
20381,10002,2,:\mpsl_clock_hfclk_request,mpsl_clock_hfclk_request,44
20384,10002,2,:\MPSL_IRQ_TIMER0_Handler,MPSL_IRQ_TIMER0_Handler,20
20389,10002,2,:\strcmp,strcmp,20
20400,10002,2,:\sdc_hci_cmd_le_read_transmit_power,sdc_hci_cmd_le_read_transmit_power,4
20405,10002,2,:\sdc_hci_cmd_le_set_data_length,sdc_hci_cmd_le_set_data_length,4
20406,10002,2,:\cracen_mac_verify_setup,cracen_mac_verify_setup,4
20407,10002,2,:\MPSL_IRQ_CLOCK_Handler,MPSL_IRQ_CLOCK_Handler,216
20409,10002,2,:\memset,memset,16
20427,10002,2,:\net_buf_fixed_cb,net_buf_fixed_cb,12
20430,10002,2,:\sdc_enable,sdc_enable,96
20433,10002,2,:\sdc_hci_cmd_le_read_suggested_default_data_length,sdc_hci_cmd_le_read_suggested_default_data_length,4
20434,10002,2,:\sdc_hci_cmd_vs_zephyr_read_version_info,sdc_hci_cmd_vs_zephyr_read_version_info,56
20440,10002,2,:\sdc_hci_cmd_le_remove_device_from_resolving_list,sdc_hci_cmd_le_remove_device_from_resolving_list,4
20454,10002,2,:\sdc_hci_cmd_ip_read_bd_addr,sdc_hci_cmd_ip_read_bd_addr,4
20455,10002,2,:\sdc_rand_source_register,sdc_rand_source_register,16
20457,10002,2,:\bt_addr_none,bt_addr_none,6
20458,10002,2,:\strncmp,strncmp,36
20460,10002,2,:\__aeabi_memcpy4,__aeabi_memcpy4,26
20468,10002,2,:\strcpy,strcpy,16
20475,10002,2,:\sdc_hci_cmd_le_remove_device_from_filter_accept_list,sdc_hci_cmd_le_remove_device_from_filter_accept_list,4
20478,10002,2,:\sdc_hci_cmd_le_set_event_mask,sdc_hci_cmd_le_set_event_mask,10
20480,10002,2,:\__libc_fini_array,__libc_fini_array,44
20483,10002,2,:\bt_addr_le_any,bt_addr_le_any,7
20486,10002,2,:\sdc_disable,sdc_disable,36
20491,10002,2,:\MPSL_IRQ_RADIO_Handler,MPSL_IRQ_RADIO_Handler,44
20494,10002,2,:\sdc_hci_cmd_cb_set_event_mask,sdc_hci_cmd_cb_set_event_mask,10
20505,10002,2,:\strnlen,strnlen,24
20514,10002,2,:\sdc_support_peripheral,sdc_support_peripheral,40
20518,10002,2,:\sdc_hci_cmd_le_add_device_to_filter_accept_list,sdc_hci_cmd_le_add_device_to_filter_accept_list,4
20520,10002,2,:\mpsl_init,mpsl_init,164
20521,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20526,10002,2,:\mpsl_low_priority_process,mpsl_low_priority_process,4
20527,10002,2,:\sdc_support_dle_peripheral,sdc_support_dle_peripheral,28
20535,10002,2,:\sx_curve_nistp256,sx_curve_nistp256,12
