uuid,parent,level,identifier,name,size
1,,0,root,Root,185794
10002,1,1,:,(no paths),74619
11144,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,66810
12266,1,1,C:/ncs/vturkana/nrf/samples/logi_reference/peripheral_hids/build_nrf54l15_std1/peripheral_hids,OUTPUT_DIR,1114
12281,1,1,C:/ncs/vturkana,WORKSPACE,38598
12852,1,1,(hidden),(hidden),4653
20003,10002,2,sym_*,sym_*,64950
20231,10002,2,CSWTCH.*,CSWTCH.*,188
20232,10002,2,__compound_literal*,__compound_literal*,401
20300,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20301,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20302,10002,2,:\ops.0,ops.0,40
20303,10002,2,:\ops.0,ops.0,40
20304,10002,2,:\ops.0,ops.0,40
20305,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20306,10002,2,:\att_exec_write_req,att_exec_write_req,4
20307,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20308,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,32
20317,10002,2,:\smp_security_request,smp_security_request,4
20318,10002,2,:\smp_central_ident,smp_central_ident,4
20319,10002,2,:\smp_pairing_rsp,smp_pairing_rsp,4
20320,10002,2,:\smp_signing_info,smp_signing_info,4
20324,10002,2,:\salt.0,salt.0,16
20325,10002,2,:\transitions.0,transitions.0,12
20326,10002,2,:\parameters.0,parameters.0,8
20327,10002,2,:\pages_layout.1,pages_layout.1,8
20333,10002,2,:\port_offset.1,port_offset.1,16
20335,10002,2,:\levels.0,levels.0,24
20336,10002,2,:\platform_free_uninit,platform_free_uninit,2
20338,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20342,10002,2,:\__ultoa_invert,__ultoa_invert,172
20353,10002,2,:\memcmp,memcmp,32
20355,10002,2,:\stderr,stderr,4
20361,10002,2,:\mpsl_fem_pa_power_control_set,mpsl_fem_pa_power_control_set,12
20367,10002,2,:\sdc_hci_cmd_le_read_remote_features,sdc_hci_cmd_le_read_remote_features,4
20374,10002,2,:\sdc_hci_cmd_vs_event_length_set,sdc_hci_cmd_vs_event_length_set,4
20382,10002,2,:\mpsl_cx_granted_ops_get,mpsl_cx_granted_ops_get,12
20386,10002,2,:\sdc_hci_cmd_le_read_buffer_size,sdc_hci_cmd_le_read_buffer_size,4
20393,10002,2,:\sdc_hci_cmd_vs_qos_conn_event_report_enable,sdc_hci_cmd_vs_qos_conn_event_report_enable,12
20396,10002,2,:\sdc_hci_cmd_le_set_privacy_mode,sdc_hci_cmd_le_set_privacy_mode,4
20397,10002,2,:\sdc_hci_cmd_cb_read_transmit_power_level,sdc_hci_cmd_cb_read_transmit_power_level,4
20398,10002,2,:\mpsl_timeslot_request,mpsl_timeslot_request,182
20403,10002,2,:\bt_addr_any,bt_addr_any,6
