uuid,parent,level,identifier,name,size
1,,0,root,Root,241609
10002,1,1,:,(no paths),77774
11193,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,88588
12415,1,1,C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_app1/p_hids_keyb,OUTPUT_DIR,1126
12434,1,1,C:/ncs/vturkana,WORKSPACE,47670
13074,1,1,(hidden),(hidden),26451
20003,10002,2,sym_*,sym_*,67784
20237,10002,2,CSWTCH.*,CSWTCH.*,333
20240,10002,2,:\plat_str.2,plat_str.2,16
20241,10002,2,:\nordic_str.1,nordic_str.1,24
20242,10002,2,:\var_str.0,var_str.0,16
20243,10002,2,:\report_map.0,report_map.0,63
20244,10002,2,:\chr.1,chr.1,4
20245,10002,2,__compound_literal*,__compound_literal*,307
20290,10002,2,:\flags.0,flags.0,1
20291,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20292,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20293,10002,2,:\hex.4,hex.4,17
20295,10002,2,:\ops.0,ops.0,40
20296,10002,2,:\ops.0,ops.0,40
20297,10002,2,:\ops.0,ops.0,40
20298,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20299,10002,2,:\att_exec_write_req,att_exec_write_req,4
20300,10002,2,:\find_next,find_next,6
20301,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20302,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,40
20318,10002,2,:\smp_security_request,smp_security_request,4
20319,10002,2,:\smp_central_ident,smp_central_ident,4
20320,10002,2,:\smp_pairing_rsp,smp_pairing_rsp,4
20321,10002,2,:\smp_signing_info,smp_signing_info,4
20325,10002,2,:\salt.0,salt.0,16
20326,10002,2,:\transitions.0,transitions.0,12
20327,10002,2,:\parameters.0,parameters.0,8
20328,10002,2,:\pages_layout.1,pages_layout.1,8
20338,10002,2,:\initial_run.2,initial_run.2,1
20340,10002,2,:\port_offset.1,port_offset.1,16
20345,10002,2,:\levels.0,levels.0,24
20346,10002,2,:\platform_free_uninit,platform_free_uninit,2
