uuid,parent,level,identifier,name,size
1,,0,root,Root,236864
10002,1,1,:,(no paths),74829
11146,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,88136
12364,1,1,C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_feat3/p_hids_keyb,OUTPUT_DIR,1126
12383,1,1,C:/ncs/vturkana,WORKSPACE,47154
13009,1,1,(hidden),(hidden),25619
20003,10002,2,sym_*,sym_*,64950
20231,10002,2,CSWTCH.*,CSWTCH.*,333
20234,10002,2,:\plat_str.2,plat_str.2,16
20235,10002,2,:\nordic_str.1,nordic_str.1,24
20236,10002,2,:\var_str.0,var_str.0,16
20237,10002,2,:\report_map.0,report_map.0,63
20238,10002,2,:\chr.1,chr.1,4
20239,10002,2,__compound_literal*,__compound_literal*,307
20284,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20285,10002,2,:\delay_machine_code.0,delay_machine_code.0,6
20286,10002,2,:\hex.4,hex.4,17
20288,10002,2,:\ops.0,ops.0,40
20289,10002,2,:\ops.0,ops.0,40
20290,10002,2,:\ops.0,ops.0,40
20291,10002,2,:\l2cap_disconnected,l2cap_disconnected,2
20292,10002,2,:\att_exec_write_req,att_exec_write_req,4
20293,10002,2,:\find_next,find_next,6
20294,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20295,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,36
20311,10002,2,:\smp_security_request,smp_security_request,4
20312,10002,2,:\smp_central_ident,smp_central_ident,4
20313,10002,2,:\smp_pairing_rsp,smp_pairing_rsp,4
20314,10002,2,:\smp_signing_info,smp_signing_info,4
20318,10002,2,:\salt.0,salt.0,16
20319,10002,2,:\transitions.0,transitions.0,12
20320,10002,2,:\parameters.0,parameters.0,8
20321,10002,2,:\pages_layout.1,pages_layout.1,8
20331,10002,2,:\initial_run.2,initial_run.2,1
20333,10002,2,:\port_offset.1,port_offset.1,16
20338,10002,2,:\levels.0,levels.0,24
20339,10002,2,:\platform_free_uninit,platform_free_uninit,2
20341,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20344,10002,2,:\__ultoa_invert,__ultoa_invert,172
20355,10002,2,:\memcmp,memcmp,32
20357,10002,2,:\stderr,stderr,4
20363,10002,2,:\mpsl_fem_pa_power_control_set,mpsl_fem_pa_power_control_set,12
20369,10002,2,:\sdc_hci_cmd_le_read_remote_features,sdc_hci_cmd_le_read_remote_features,4
