uuid,parent,level,identifier,name,size
1,,0,root,Root,36956
10002,1,1,:,(no paths),11149
10064,1,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,14004
10271,1,1,C:/ncs/vturkana,WORKSPACE,7789
10405,1,1,(hidden),(hidden),4014
20003,10002,2,:\pairing_button_pressed.2,pairing_button_pressed.2,927
20004,10002,2,:\chr.1,chr.1,4
20005,10002,2,__compound_literal*,__compound_literal*,723
20017,10002,2,:\default_settings_zms.0,default_settings_zms.0,96
20018,10002,2,:\str.3,str.3,129
20019,10002,2,:\str.2,str.2,18
20020,10002,2,:\str.1,str.1,30
20021,10002,2,:\ident.1,ident.1,1
20022,10002,2,:\ops.0,ops.0,40
20023,10002,2,:\gatt_conn_auth_info_cb.1,gatt_conn_auth_info_cb.1,16
20024,10002,2,:\gatt_conn_cb.0,gatt_conn_cb.0,36
20028,10002,2,:\on.2,on.2,4
20029,10002,2,:\cli.1,cli.1,16
20030,10002,2,:\initial_run.2,initial_run.2,1
20031,10002,2,:\last_button_scan.1,last_button_scan.1,4
20032,10002,2,:\last_state.0,last_state.0,4
20033,10002,2,:\cracen_initialized.0,cracen_initialized.0,4
20035,10002,2,:\kmu_push_area,kmu_push_area,64
20036,10002,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
20037,10002,2,:\bt_dev,bt_dev,376
20040,10002,2,:\settings_handlers,settings_handlers,8
20042,10002,2,:\_sw_isr_table,_sw_isr_table,2168
20043,10002,2,:\settings_save_dst,settings_save_dst,4
20045,10002,2,:\_sched_spinlock,_sched_spinlock,4
20046,10002,2,:\bt_auth,bt_auth,4
20047,10002,2,:\z_main_thread,z_main_thread,144
20049,10002,2,:\SystemCoreClock,SystemCoreClock,4
20051,10002,2,:\_kernel,_kernel,32
20053,10002,2,:\z_main_stack,z_main_stack,3584
20054,10002,2,:\z_idle_threads,z_idle_threads,144
20056,10002,2,:\k_sys_work_q,k_sys_work_q,176
20058,10002,2,:\settings_load_srcs,settings_load_srcs,8
20059,10002,2,:\bt_auth_info_cbs,bt_auth_info_cbs,8
20061,10002,2,:\mpsl_work_q,mpsl_work_q,176
20063,10002,2,:\_thread_dummy,_thread_dummy,144
20065,10064,2,subsys,subsys,11103
20171,10064,2,lib,lib,40
20188,10064,2,arch,arch,25
20198,10064,2,drivers,drivers,378
20242,10064,2,kernel,kernel,2458
20272,10271,2,nrf,nrf,5981
20377,10271,2,modules,modules,1808
30066,20065,3,subsys\bluetooth,bluetooth,11054
30163,20065,3,subsys\settings,settings,49
30172,20171,3,lib\os,os,4
30175,20171,3,lib\libc,libc,32
30185,20171,3,lib\net_buf,net_buf,4
30189,20188,3,arch\arm,arm,25
30199,20198,3,drivers\clock_control,clock_control,94
30204,20198,3,drivers\flash,flash,60
30211,20198,3,drivers\gpio,gpio,42
30219,20198,3,drivers\serial,serial,12
30225,20198,3,drivers\spi,spi,138
30231,20198,3,drivers\timer,timer,28
30237,20198,3,drivers\entropy,entropy,4
30243,20242,3,kernel\mutex.c,mutex.c,4
30245,20242,3,kernel\sem.c,sem.c,4
30247,20242,3,kernel\work.c,work.c,12
30250,20242,3,kernel\condvar.c,condvar.c,4
30252,20242,3,kernel\poll.c,poll.c,4
30254,20242,3,kernel\init.c,init.c,321
30257,20242,3,kernel\system_work_q.c,system_work_q.c,2048
30259,20242,3,kernel\timeslicing.c,timeslicing.c,37
30265,20242,3,kernel\timeout.c,timeout.c,24
30273,20272,3,nrf\subsys,subsys,5787
30354,20272,3,nrf\lib,lib,122
30369,20272,3,nrf\drivers,drivers,72
30378,20377,3,modules\hal,hal,336
30389,20377,3,modules\crypto,crypto,1472
