uuid,parent,level,identifier,name,size
1,,0,root,Root,214238
10002,1,1,:,(no paths),192889
12728,1,1,lib,lib,114
12740,1,1,kernel,kernel,2
12744,1,1,(hidden),(hidden),21233
20003,10002,2,:\hids_boot_mouse_inp_rep_ccc_changed,hids_boot_mouse_inp_rep_ccc_changed,65012
20004,10002,2,:\hids_boot_kb_inp_rep_ccc_changed,hids_boot_kb_inp_rep_ccc_changed,4
20005,10002,2,:\hids_ctrl_point_write,hids_ctrl_point_write,363
20006,10002,2,:\hids_input_report_ccc_changed,hids_input_report_ccc_changed,28
20007,10002,2,:\sys_hash32_murmur3,sys_hash32_murmur3,128
20008,10002,2,:\chunk_field,chunk_field,22
20009,10002,2,:\chunk_set,chunk_set,22
20010,10002,2,:\chunk_size,chunk_size,12
20011,10002,2,:\set_chunk_used,set_chunk_used,48
20012,10002,2,:\set_chunk_size,set_chunk_size,8
20013,10002,2,:\bytes_to_chunksz,bytes_to_chunksz,20
20014,10002,2,:\free_list_remove_bidx,free_list_remove_bidx,92
20015,10002,2,:\merge_chunks,merge_chunks,60
20016,10002,2,:\arch_printk_char_out,arch_printk_char_out,4
20017,10002,2,:\char_out,char_out,12
20018,10002,2,:\process_recheck,process_recheck,56
20019,10002,2,:\arm_cmse_mpu_region_get,arm_cmse_mpu_region_get,18
20020,10002,2,:\zms_flash_al_wrt,zms_flash_al_wrt,112
20021,10002,2,:\hids_report_map_read,hids_report_map_read,26
20022,10002,2,:\hids_info_read,hids_info_read,24
20023,10002,2,:\hids_inp_rep_ref_read,hids_inp_rep_ref_read,40
20024,10002,2,:\hids_outp_rep_ref_read,hids_outp_rep_ref_read,38
20025,10002,2,:\hids_feat_rep_ref_read,hids_feat_rep_ref_read,40
20026,10002,2,:\bucket_idx,bucket_idx,24
20027,10002,2,:\free_list_remove,free_list_remove,46
20028,10002,2,:\free_list_add,free_list_add,132
20029,10002,2,:\free_chunk,free_chunk,132
20030,10002,2,:\vprintk,vprintk,48
20031,10002,2,:\zms_ate_crc8_update,zms_ate_crc8_update,14
20032,10002,2,:\zms_read,zms_read,20
20033,10002,2,:\settings_zms_read_fn,settings_zms_read_fn,12
20034,10002,2,:\settings_zms_find_hash_from_name,settings_zms_find_hash_from_name,106
20035,10002,2,:\region_allocate_and_init,region_allocate_and_init,88
20036,10002,2,:\mpu_configure_region,mpu_configure_region,50
20037,10002,2,:\security_changed,security_changed,64
20038,10002,2,:\le_param_req,le_param_req,24
20039,10002,2,:\le_param_updated,le_param_updated,12
20040,10002,2,:\le_phy_updated,le_phy_updated,16
20041,10002,2,:\hids_outp_rep_handler,hids_outp_rep_handler,64
20042,10002,2,:\hids_boot_kb_outp_rep_handler,hids_boot_kb_outp_rep_handler,64
20043,10002,2,:\hids_pm_evt_handler,hids_pm_evt_handler,108
20044,10002,2,:\malloc_prepare,malloc_prepare,36
20045,10002,2,:\transition_complete,transition_complete,76
20046,10002,2,:\zms_flash_ate_wrt,zms_flash_ate_wrt,50
20047,10002,2,:\zms_flash_data_wrt,zms_flash_data_wrt,52
20048,10002,2,:\default_flash_map,default_flash_map,32
20049,10002,2,:\atomic_and.lto_priv.3,atomic_and.lto_priv.3,22
20050,10002,2,:\static_regions,static_regions,12
20051,10002,2,:\hids_protocol_mode_read,hids_protocol_mode_read,80
20052,10002,2,:\hids_protocol_mode_write,hids_protocol_mode_write,128
20053,10002,2,:\hids_boot_kb_inp_report_read,hids_boot_kb_inp_report_read,80
20054,10002,2,:\hids_boot_kb_outp_report_read,hids_boot_kb_outp_report_read,124
20055,10002,2,:\hids_boot_kb_outp_report_write,hids_boot_kb_outp_report_write,132
20056,10002,2,:\hids_inp_rep_read,hids_inp_rep_read,108
20057,10002,2,:\hids_outp_rep_read,hids_outp_rep_read,136
20058,10002,2,:\hids_outp_rep_write,hids_outp_rep_write,152
20059,10002,2,:\hids_feat_rep_read,hids_feat_rep_read,136
20060,10002,2,:\hids_feat_rep_write,hids_feat_rep_write,168
20061,10002,2,:\zms_write,zms_write,484
20062,10002,2,:\settings_zms_delete,settings_zms_delete,192
20063,10002,2,:\ad,ad,24
20064,10002,2,:\sd,sd,8
20065,10002,2,:\connected,connected,388
20066,10002,2,:\disconnected,disconnected,244
20067,10002,2,:\report_map.0,report_map.0,63
20068,10002,2,:\num_comp_reply,num_comp_reply,252
20069,10002,2,:\chr.1,chr.1,4
20070,10002,2,:\shift_key,shift_key,1
20071,10002,2,:\z_impl_k_thread_abort,z_impl_k_thread_abort,384
20072,10002,2,:\z_arm_fatal_error,z_arm_fatal_error,264
20073,10002,2,CSWTCH.*,CSWTCH.*,173
20074,10002,2,:\z_irq_spurious,z_irq_spurious,10
20075,10002,2,:\__init_malloc_prepare,__init_malloc_prepare,8
20076,10002,2,:\__isr_table_entry__isr_wrapper_irq_0,__isr_table_entry__isr_wrapper_irq_0,4
20077,10002,2,:\__isr_table_entry__isr_wrapper_irq_2,__isr_table_entry__isr_wrapper_irq_2,4
20078,10002,2,:\__isr_table_entry__isr_wrapper_irq_4,__isr_table_entry__isr_wrapper_irq_4,4
20079,10002,2,:\__isr_table_entry__isr_wrapper_irq_6,__isr_table_entry__isr_wrapper_irq_6,4
20080,10002,2,:\__isr_table_entry__isr_wrapper_irq_8,__isr_table_entry__isr_wrapper_irq_8,4
20081,10002,2,:\__isr_table_entry__isr_wrapper_irq_10,__isr_table_entry__isr_wrapper_irq_10,4
20082,10002,2,:\__isr_table_entry__isr_wrapper_irq_12,__isr_table_entry__isr_wrapper_irq_12,4
20083,10002,2,:\__isr_table_entry__isr_wrapper_irq_14,__isr_table_entry__isr_wrapper_irq_14,4
20084,10002,2,:\__isr_table_entry__isr_wrapper_irq_16,__isr_table_entry__isr_wrapper_irq_16,4
20085,10002,2,:\__isr_table_entry__isr_wrapper_irq_18,__isr_table_entry__isr_wrapper_irq_18,4
20086,10002,2,:\__isr_table_entry__isr_wrapper_irq_20,__isr_table_entry__isr_wrapper_irq_20,4
20087,10002,2,:\__isr_table_entry__isr_wrapper_irq_22,__isr_table_entry__isr_wrapper_irq_22,4
20088,10002,2,:\__isr_table_entry__isr_wrapper_irq_24,__isr_table_entry__isr_wrapper_irq_24,4
20089,10002,2,:\__isr_table_entry__isr_wrapper_irq_26,__isr_table_entry__isr_wrapper_irq_26,4
20090,10002,2,:\__isr_table_entry__isr_wrapper_irq_28,__isr_table_entry__isr_wrapper_irq_28,4
20091,10002,2,:\__isr_table_entry__isr_wrapper_irq_30,__isr_table_entry__isr_wrapper_irq_30,4
20092,10002,2,:\__isr_table_entry__isr_wrapper_irq_32,__isr_table_entry__isr_wrapper_irq_32,4
20093,10002,2,:\__isr_table_entry__isr_wrapper_irq_34,__isr_table_entry__isr_wrapper_irq_34,4
20094,10002,2,:\__isr_table_entry__isr_wrapper_irq_36,__isr_table_entry__isr_wrapper_irq_36,4
20095,10002,2,:\__isr_table_entry__isr_wrapper_irq_38,__isr_table_entry__isr_wrapper_irq_38,4
20096,10002,2,:\__isr_table_entry__isr_wrapper_irq_40,__isr_table_entry__isr_wrapper_irq_40,4
20097,10002,2,:\__isr_table_entry__isr_wrapper_irq_42,__isr_table_entry__isr_wrapper_irq_42,4
20098,10002,2,:\__isr_table_entry__isr_wrapper_irq_44,__isr_table_entry__isr_wrapper_irq_44,4
20099,10002,2,:\__isr_table_entry__isr_wrapper_irq_46,__isr_table_entry__isr_wrapper_irq_46,4
20100,10002,2,:\__isr_table_entry__isr_wrapper_irq_48,__isr_table_entry__isr_wrapper_irq_48,4
20101,10002,2,:\__isr_table_entry__isr_wrapper_irq_50,__isr_table_entry__isr_wrapper_irq_50,4
20102,10002,2,:\__isr_table_entry__isr_wrapper_irq_52,__isr_table_entry__isr_wrapper_irq_52,4
20103,10002,2,:\__isr_table_entry__isr_wrapper_irq_54,__isr_table_entry__isr_wrapper_irq_54,4
20104,10002,2,:\__isr_table_entry__isr_wrapper_irq_56,__isr_table_entry__isr_wrapper_irq_56,4
