uuid,level,name,std1,app1,app1(%),app2,app2(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt1,opt1(%),opt2,opt2(%),opt3,opt3(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,236884,241609,1.99,201079,-15.11,240696,1.61,236864,-0.01,237813,0.39,222356,-6.13,214238,-9.56,199710,-15.69
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,47146,47678,1.13,,,47366,0.47,47154,0.02,47450,0.64,47130,-0.03,,,,
01-50484c19f1afdaf3841a0d821ed393d2,1,kernel,,,,2,,,,,,,,,,2,0,2,0
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),25621,26451,3.24,20331,-20.65,26409,3.08,25619,-0.01,25661,0.16,24405,-4.75,21233,-17.13,20017,-21.87
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),74829,77774,3.94,180632,141.39,77189,3.15,74829,0.0,75414,0.78,61541,-17.76,192889,157.77,179577,139.98
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,,,0,0,0,0,0,0,0,0,,,,
01-7db78365898c456bd7c383d01c5a6853,1,OUTPUT_DIR,1126,1126,0.0,,,1126,0.0,1126,0.0,1126,0.0,1126,0.0,,,,
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,88162,88580,0.47,,,88606,0.5,88136,-0.03,88162,0.0,88154,-0.01,,,,
01-e8acc63b1e238f3255c900eed37254b8,1,lib,,,,114,,,,,,,,,,114,0,114,0
02-00241e7c284b0f5b44c68e331c726b1c,2,__isr_table_entry__isr_wrapper_irq_190,,,,4,,,,,,,,,,4,0,4,0
02-002540331f8f99089dead307a29980cc,2,settings_handler_bt_hash,,,,24,,,,,,,,,,24,0,24,0
02-00431a577338786768a0730c93d08e90,2,mpsl_clock_hfclk_release,40,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0
02-005f9c4aabe7c1f6e4cb1a2a20fbf487,2,buffer_alloc_free_mutexed,,,,284,,,,,,,,,,284,0,284,0
02-005fe9134a29cd288aeea5cf1e5986ea,2,__isr_table_entry_z_irq_spurious_irq_544,,,,8,,,,,,,,,,8,0,8,0
02-00a86cdb661632b92b6b91288614cf8c,2,log_const_bt_adv,,,,8,,,,,,,,,,8,0,8,0
02-00c0aad799ea5fe20f0124cff3641cf3,2,gen_hash_m.lto_priv.0,,,,166,,,,,,,,,,,,,
02-00ef09c2e25f909ec7e9eca35a6e746d,2,le_phy_updated,,,,16,,,,,,,,,,16,0,16,0
02-00f1bdab837355c64a5f0d1171a05837,2,__isr_table_entry_z_irq_spurious_irq_634,,,,8,,,,,,,,,,8,0,8,0
02-00fd4e6035795cbf69135294b386a8ed,2,read_str.lto_priv.0,,,,40,,,,,,,,,,40,0,40,0
02-011c2730d81a163d21ef4677e0d75520,2,__pinctrl_dev_config__device_dts_ord_117,,,,12,,,,,,,,,,12,0,12,0
02-0145d036cc1c843e1dd82d75d3f2a73b,2,z_pend_curr,,,,240,,,,,,,,,,240,0,240,0
02-014a1df5d7122c71b59b185e524b5716,2,spi_nor_write_protection_set,,,,58,,,,,,,,,,58,0,58,0
02-01aa60b45d76a1fcd9a9539c78b055dd,2,nrf_security_mutex_unlock,,,,32,,,,,,,,,,32,0,32,0
02-01d586031a5fccb720e110d5fa9eac38,2,frag_destroy,,,,88,,,,,,,,,,88,0,88,0
02-01e8805d904739930a18ac1df3a69c0e,2,__isr_table_entry_z_irq_spurious_irq_765,,,,8,,,,,,,,,,8,0,8,0
02-01f99e3cc2014df64d688f24d92bebc6,2,gatt_store_ccc_cf.lto_priv.0,,,,100,,,,,,,,,,100,0,100,0
02-0205c20f57bcd2a43d106421e945d6d5,2,__isr_table_entry__isr_wrapper_irq_110,,,,4,,,,,,,,,,4,0,4,0
02-0208af371ed43a56c51a68c2925a3b94,2,__isr_table_entry__isr_wrapper_irq_128,,,,4,,,,,,,,,,4,0,4,0
02-02241d76b4edbd158875f3e34ffda394,2,__isr_table_entry__isr_wrapper_irq_104,,,,4,,,,,,,,,,4,0,4,0
02-0247dc05a1aa46ef081fb4d3476e306d,2,__isr_table_entry_z_irq_spurious_irq_724,,,,8,,,,,,,,,,8,0,8,0
02-024a7d6d3008244d625c8f5ca5bbde90,2,process_event.lto_priv.0,,,,672,,,,,,,,,,672,0,672,0
02-0255d4bf7dfdc284ef08fa870af758c2,2,__compound_literal*,,,,307,,,,,,,,,,307,0,307,0
02-02572c1c037d2233e79207584ba16776,2,__isr_table_entry_z_irq_spurious_irq_551,,,,8,,,,,,,,,,8,0,8,0
02-02619a2e6232e82cfad34132f0c07736,2,bt_gatt_service_init.lto_priv.0,,,,88,,,,,,,,,,88,0,88,0
02-02634eff3c24742057ecacbee91c4bbd,2,buttons,,,,32,,,,,,,,,,32,0,32,0
02-02dca64b35fc539b12453073de2b36c1,2,k_queue_init.lto_priv.0.lto_priv.0,,,,,,,,,,,,,,26,,,
02-02f7b03ba225b7bd6e784271b77db202,2,__isr_table_entry__isr_wrapper_irq_34,,,,4,,,,,,,,,,4,0,4,0
02-0300d5aad6862b5c6002a102b3e7b805,2,__init_k_sys_work_q_init,,,,8,,,,,,,,,,8,0,8,0
02-030416dd3b4764c6a1053fe383654ff3,2,log_const_bt_smp,,,,8,,,,,,,,,,8,0,8,0
02-032d434ccce705cacca936b0e6dea69e,2,chunk_set,,,,22,,,,,,,,,,22,0,22,0
02-034ee5379ba7916e51e26a71fb099ac2,2,hci_id_add,,,,98,,,,,,,,,,98,0,98,0
02-0365e6ce0bfcec04e9aaf0df22210fdc,2,log_const_bt_conn_ctx,,,,8,,,,,,,,,,8,0,8,0
02-038cb18b7052e5590106f5aa9fefc998,2,__isr_table_entry_z_irq_spurious_irq_537,,,,8,,,,,,,,,,8,0,8,0
02-039afd9944ff8bb7c07f37d7f624da21,2,sys_clock_cycle_get_32,,,,88,,,,,,,,,,88,0,88,0
