uuid,level,name,std1,stdz1,stdz1(%),opt1,opt1(%),app1,app1(%),app2,app2(%),feat1,feat1(%),feat2,feat2(%),feat3,feat3(%),feat4,feat4(%),feat5,feat5(%),feat6,feat6(%),feat7,feat7(%),feat8,feat8(%),feat9,feat9(%),feat10,feat10(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,39748,37680,-5.2,38236,-3.8,39918,0.43,38406,-3.38,40408,1.66,45020,13.26,39748,0.0,43085,8.4,39752,0.01,44360,11.6,39748,0.0,88398,122.4,50416,26.84,50416,26.84
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,8907,5706,-35.94,8907,0.0,8907,0.0,8907,0.0,9031,1.39,13497,51.53,8907,0.0,9926,11.44,8907,0.0,11396,27.94,8907,0.0,30902,246.94,13933,56.43,13933,56.43
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),5154,199,-96.14,3659,-29.01,5154,0.0,3659,-29.01,5678,10.17,5836,13.23,5154,0.0,5033,-2.35,5154,0.0,5864,13.78,5154,0.0,5035,-2.31,5154,0.0,5154,0.0
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),10536,9939,-5.67,10519,-0.16,10566,0.28,10549,0.12,10540,0.04,10536,0.0,10536,0.0,10464,-0.68,10536,0.0,10757,2.1,10536,0.0,11520,9.34,10906,3.51,10906,3.51
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,15151,21836,44.12,15151,0.0,15291,0.92,15291,0.92,15159,0.05,15151,0.0,15151,0.0,17662,16.57,15155,0.03,16343,7.87,15151,0.0,40941,170.22,20423,34.8,20423,34.8
02-026de1ec8a6c93ab83d7b028f62b3d1a,2,link.3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,32,32,0.0,32,0.0,44,37.5,44,37.5,36,12.5,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0
02-090b3e136397d9fc1c3ba5cfd59827d9,2,m.10,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0
02-0c74319fbcff8e4bb9cc6b7af7722831,2,mfy.5,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-0db62b86e8f39f5607bcfdae9cf94f3c,2,wait_q.0,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,0
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,1808,1816,0.44,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0,1808,0.0
02-0ec3ac2054d4681e6c9d4825765209ee,2,z_idle_threads,144,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,200,38.89,200,38.89
02-1094c50e30c0bef11e77f3a92e17d2f9,2,_sched_spinlock,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-11a073fbb7de02da60f4e82b746a2033,2,m.11,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-12e6356573b9ccf91c5011abe9ddd59b,2,mfy.7,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-180fcbc28f7da66d219eb6193481a3ae,2,data.0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
02-1a05735884afb705b17707c0d28c7304,2,tx_power.0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
02-266d71880ae875cdbad6b548019a84b9,2,tail.1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0
02-288267125d7fcf73765d8cefb82f9b09,2,mfy.3,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,173,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,177,2.31,173,0.0,173,0.0,173,0.0,173,0.0
02-316e7f39b0580b06e68ccd7c94a1d88b,2,str.3,129,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0
02-376da3abf2d4cf931706262a9223543e,2,done.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0,2168,0.0
02-3b8238b190187fceef29c292cb88b526,2,z_main_stack,3584,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0
02-3cca42c4f48f32184dc7d459a6842407,2,z_main_thread,144,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,200,38.89,200,38.89
02-44819ed8ffb16a197167dc84918ffc76,2,last_adv_mode.1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
02-47352518f90e6887f4dd7acbc9a14580,2,settings_load_srcs,8,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0
02-4940c2d7d740813514d117c3858f4247,2,link.2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-50484c19f1afdaf3841a0d821ed393d2,2,kernel,4530,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0,4530,0.0
02-5c39c66ca15497425043e74948f0260f,2,link.4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-5d4119c4e9a08b09849b42b09af58829,2,m.9,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-60191215077d8bf08e6438e229aa5b61,2,additional_data_attr.0,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
02-6132bca83a4cd9c08eb8504f1f608b68,2,last_state.0,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-65e3af4198a3ba671730e5a1254a1758,2,z_interrupt_stacks,2048,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0
02-6dabfce0a7046db86550f71a5ed02088,2,optarg,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0
02-71d3af2db695ec20f3c4af8748546da1,2,k_sys_work_q,176,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,232,31.82,232,31.82
02-7302d5acff0fee0705b3ae9342fabbc0,2,in_use.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0
02-735c4efa6ac3e1e45b1ae2a70a62f44d,2,mpsl_work_q,176,,,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,176,0.0,232,31.82,232,31.82
02-7453818a81866954dbc648cc19b78a73,2,cli.1,16,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0
02-76cf5d4b9a95117b4a343ee223a1f674,2,drop_disc_adv_payload.0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
02-76ea7dfbd876c4f9bb5c860f8584e92b,2,str.2,,,,,,18,,18,0,,,,,,,,,,,,,,,,,,,,
02-792cdbb2ff2168ced5d2267c5da659ca,2,last_button_scan.1,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-7d0d4e9e9148e130857ddb83462522b5,2,_kernel,32,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,36,12.5,36,12.5
02-7dfd0916e87aaa90a45bf1ec3391e970,2,subsys,10178,16863,65.68,10178,0.0,10318,1.38,10318,1.38,10186,0.08,10178,0.0,10178,0.0,12689,24.67,10182,0.04,11370,11.71,10178,0.0,35968,253.39,15370,51.01,15370,51.01
02-84917115db7fc982cd67bd759fd0890c,2,SystemCoreClock,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-89a59689861225eb508a89e526638dd8,2,bt_dev,448,448,0.0,448,0.0,448,0.0,448,0.0,448,0.0,448,0.0,448,0.0,376,-16.07,448,0.0,448,0.0,448,0.0,1432,219.64,448,0.0,448,0.0
02-8a1075be9012a6c1ab97401581fed081,2,on.2,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-8df0e2f059d6f8dbbe3a6881565fba63,2,mfy_after_cen_offset_get.4,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-95ab9b93bf03aa54f98c7a5e28e526ff,2,optopt,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0
02-97fdda5ddec91d156757bd4878d58731,2,settings_handlers,8,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0
02-9a9f5258899a58e4fcf6115758d9d75b,2,link.8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-9b8c441126f7e441abf32b52812793ed,2,gatt_conn_auth_info_cb.1,16,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0
02-9df6ecdad5498d221558347c9815d209,2,timeout_works_initialized.0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
02-9eccfb3fed0ccddd3f9432f64b447ee8,2,settings_save_dst,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-a10d8214bd8f64ccda26428bbc502e3d,2,optreset,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0
02-a603f49051740b9e12975b090bc69d98,2,m.7,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-a914696b42ed6ea44809293ab6ef0076,2,ident.1,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
02-b025e351d7adc20ce0f7335384bc5de7,2,str.1,30,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0
02-b33b3754fc3ce4bd7c11bc9a137dd817,2,m.6,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-b36a15671c6d3d2afd5a0b1290c4e341,2,p.2,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-b4d2abc0e7b7503b65446e99275f46d5,2,__compound_literal*,48,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0,,,48,0.0,48,0.0,,,,
02-bbb472961737a6d9b0027d338f9bf5fe,2,mfy.2,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-c21e762daa3e695e48f286ac05ee4753,2,mfy.9,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-c28e0ec9e1af842df6a3996e8e683a04,2,mayfly_initialized.10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-c6251690a341e93a1665029127c70fdc,2,optind,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0
02-c8599d1502023c7d601ea24660fc9a5c,2,_thread_dummy,144,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,144,0.0,200,38.89,200,38.89
02-ccee81d8756473fc081dc0c67d5c05a2,2,initial_run.2,1,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
02-d6194c68fcc7e79bb57401be603cb1cc,2,arch,25,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0
02-d6cd44b3118dea63c3942bd300bb4c20,2,bt_auth,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-db375c9de329a5b90a323d5da44a5333,2,kmu_push_area,64,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0,64,0.0
02-dd24942d4ff8cfdd1f6a4b83c4024237,2,sym_*,943,,,926,-1.8,943,0.0,926,-1.8,943,0.0,943,0.0,943,0.0,943,0.0,943,0.0,943,0.0,943,0.0,943,0.0,943,0.0,943,0.0
02-df0893220c993ffbeb28b75726e081f7,2,nrf,7099,3890,-45.2,7099,0.0,7099,0.0,7099,0.0,7223,1.75,11689,64.66,7099,0.0,8118,14.35,7099,0.0,9588,35.06,7099,0.0,29094,309.83,12125,70.8,12125,70.8
02-e8acc63b1e238f3255c900eed37254b8,2,lib,40,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,64,60.0,64,60.0
02-ea17985aded081f86ec70d58ee8aaefc,2,link.5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-ed6c678d0e40661cb4a1bc9faefa90b0,2,link.1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-ee5fe10904086488b93783648af4b107,2,cracen_initialized.0,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-eea8f173d270fee25d61d478ecbfd66f,2,buf.2,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,
02-ef66dfa3f96c3016b05da7be83f390f2,2,ticks_at_preempt.2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-ef8dd57669f1fb0e7fcf22f2f8ca0d47,2,opterr,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0
02-f2e195dc7a14f89f31c36187ecba3710,2,mfy.1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-f482ec256e165edc8cb7451e00b2cf17,2,default_settings_zms.0,96,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0
02-f94b7dcef68abddb5f5207d7f09092ed,2,flags.0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
02-fa670428caebfc15176b4722db0a843a,2,conn_upd_curr,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-fb7868f2cd2eaa173f016604805aab49,2,bt_auth_info_cbs,8,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0
02-fc4b84c8685749e78add0bab943a436f,2,link.0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-fc8efee57164b83c1400f7cfca7ee000,2,z_thread_monitor_lock,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,0
02-fcbd1b6fa454a0157d7a654570d48fae,2,m.8,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-fe69fd0a878b10d190c924b2398bad9c,2,drivers,378,378,0.0,378,0.0,378,0.0,378,0.0,378,0.0,378,0.0,378,0.0,378,0.0,378,0.0,378,0.0,378,0.0,378,0.0,434,14.81,434,14.81
02-ff4877f43d23ce9587451d9852367408,2,link.6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-ff60851def9a2157a7554ce22b176e1a,2,__compound_literal*,,,,,,,,,,,,,,,,,,,,232,,,,,,100,0,100,0
03-020a8cfa922969a0b9035333f45988c3,3,ncs,173,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,173,0.0,177,2.31,173,0.0,173,0.0,173,0.0,173,0.0
03-0b0760e072413088ea8460c3b4f43dbe,3,spi,138,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0,138,0.0
03-1cb1159e7da1396bb694434a958c45ce,3,init.c,321,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0,321,0.0
03-20a2fb1756e57575dd4d370cac1f07a7,3,condvar.c,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
03-213c7980207cea7201cff8d664caf150,3,clock_control,94,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0,94,0.0
03-220b2a9ccbd0bf6d61dd085da17c5380,3,work.c,12,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0
03-239d44f09ba4c853288f72de00e8538b,3,timeout.c,24,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0
03-2591c98b70119fe624898b1e424b5e91,3,shell,,,,,,,,,,,,,,,,,,,,,,,,,,3901,,3901,0
03-261ec5b4f78e6414af1f2102e74f4980,3,mutex.c,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
