uuid,level,name,std1,stdz1,stdz1(%),opt1,opt1(%),app1,app1(%),app2,app2(%),feat1,feat1(%),feat2,feat2(%),feat3,feat3(%),feat4,feat4(%),feat5,feat5(%),feat6,feat6(%),feat7,feat7(%),feat8,feat8(%),feat9,feat9(%),feat10,feat10(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,255028,231520,-9.22,229904,-9.85,256144,0.44,231020,-9.41,259168,1.62,306040,20.0,255012,-0.01,257200,0.85,255180,0.06,317459,24.48,255028,0.0,258756,1.46,281556,10.4,281556,10.4
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,46446,42764,-7.93,46394,-0.11,46446,0.0,46394,-0.11,46714,0.58,46762,0.68,46446,0.0,46522,0.16,46446,0.0,59661,28.45,46446,0.0,46514,0.15,47400,2.05,47400,2.05
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),27288,26677,-2.24,25920,-5.01,27453,0.6,26085,-4.41,28080,2.9,28002,2.62,27290,0.01,27599,1.14,27332,0.16,35441,29.88,27288,0.0,27605,1.16,32383,18.67,32383,18.67
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),86034,7339,-91.47,62330,-27.55,86049,0.02,62345,-27.53,88678,3.07,136016,58.1,86034,0.0,86513,0.56,86034,0.0,121071,40.72,86034,0.0,87569,1.78,86529,0.58,86529,0.58
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-7db78365898c456bd7c383d01c5a6853,1,OUTPUT_DIR,1122,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1122,0.0,1140,1.6,1140,1.6
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,94138,153618,63.18,94138,0.0,95074,0.99,95074,0.99,94574,0.46,94138,0.0,94120,-0.02,95444,1.39,94246,0.11,100164,6.4,94138,0.0,95946,1.92,114104,21.21,114104,21.21
02-00431a577338786768a0730c93d08e90,2,mpsl_clock_hfclk_release,40,,,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0
02-01fed0852e23f67c30cda066ffb5820e,2,radio_stop,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-028788454cac7df4a7c9e18a92c0ea59,2,pdu_validate_min_used_chan_ind,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
