uuid,parent,level,identifier,name,size
00-fa03eb688ad8aa1db593d33dabd89bad,,0,root,Root,39823
01-09498dbadf45966909850dc8a47ebb13,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/v4.1.99-zephyr,WORKSPACE,372
01-60f3b1ff9b396408039047bbde339c46,00-fa03eb688ad8aa1db593d33dabd89bad,1,(hidden),(hidden),1219
01-665b1ea1222d25c5af30f0aec9f1f04e,00-fa03eb688ad8aa1db593d33dabd89bad,1,:,(no paths),6616
01-6666cd76f96956469e7be39d750cc7d9,00-fa03eb688ad8aa1db593d33dabd89bad,1,/,/,0
01-bb1836de191ead431509f5d1b910124d,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/v4.1.99-zephyr/zephyr,ZEPHYR_BASE,31616
02-00265dbc27acff3166926f4124420c4d,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\buf.5,buf.5,4
02-026de1ec8a6c93ab83d7b028f62b3d1a,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\link.3,link.3,8
02-08fb0c0855fadc02cd10d72d40062e37,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\hci_hbuf_sent,hci_hbuf_sent,4
02-090b3e136397d9fc1c3ba5cfd59827d9,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\m.10,m.10,16
02-0c74319fbcff8e4bb9cc6b7af7722831,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mfy.5,mfy.5,16
02-0db62b86e8f39f5607bcfdae9cf94f3c,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\wait_q.0,wait_q.0,8
02-0eb9b3af2e4a00837a1b1a854c9ea18c,01-09498dbadf45966909850dc8a47ebb13,2,modules,modules,372
02-0ec3ac2054d4681e6c9d4825765209ee,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_idle_threads,z_idle_threads,128
02-11a073fbb7de02da60f4e82b746a2033,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\m.11,m.11,16
02-12e6356573b9ccf91c5011abe9ddd59b,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mfy.7,mfy.7,16
02-23056b27da8fce9987586ecd04b43bd6,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\tx_cnt.11,tx_cnt.11,4
02-263a09c1f3c1af2094a2efcd63d0eeae,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\last_cycle_stamp.9,last_cycle_stamp.9,4
02-288267125d7fcf73765d8cefb82f9b09,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mfy.3,mfy.3,16
02-2ee403b130e1640022e6d8caf6d606e0,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\tx_rate.10,tx_rate.10,4
02-2f158c4731d76d5975b8546d85de1b34,01-6666cd76f96956469e7be39d750cc7d9,2,C:\,C:\,1200
02-3452a21b995c61a939cb64d8c2e1a3b5,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\hci_hbuf_acked,hci_hbuf_acked,4
02-376da3abf2d4cf931706262a9223543e,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\done.0,done.0,1
02-38d7b76b771634bb6aaae4ffde5922a8,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\_sw_isr_table,_sw_isr_table,2168
02-3b8238b190187fceef29c292cb88b526,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_main_stack,z_main_stack,1024
02-3cca42c4f48f32184dc7d459a6842407,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_main_thread,z_main_thread,128
02-4940c2d7d740813514d117c3858f4247,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\link.2,link.2,8
02-50484c19f1afdaf3841a0d821ed393d2,01-bb1836de191ead431509f5d1b910124d,2,kernel,kernel,898
02-5c39c66ca15497425043e74948f0260f,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\link.4,link.4,8
02-5d4119c4e9a08b09849b42b09af58829,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\m.9,m.9,16
02-65e3af4198a3ba671730e5a1254a1758,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
02-6d014c827f2e60fad42ed77e39404b2a,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mfy.4,mfy.4,16
02-71d3af2db695ec20f3c4af8748546da1,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\k_sys_work_q,k_sys_work_q,160
02-7453818a81866954dbc648cc19b78a73,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\cli.1,cli.1,16
02-7d0d4e9e9148e130857ddb83462522b5,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\_kernel,_kernel,32
02-7dfd0916e87aaa90a45bf1ec3391e970,01-bb1836de191ead431509f5d1b910124d,2,subsys,subsys,30455
