uuid,parent,level,identifier,name,size
00-fa03eb688ad8aa1db593d33dabd89bad,,0,root,Root,121328
01-09498dbadf45966909850dc8a47ebb13,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/v4.1.99-zephyr,WORKSPACE,5873
01-60f3b1ff9b396408039047bbde339c46,00-fa03eb688ad8aa1db593d33dabd89bad,1,(hidden),(hidden),7598
01-665b1ea1222d25c5af30f0aec9f1f04e,00-fa03eb688ad8aa1db593d33dabd89bad,1,:,(no paths),5824
01-6666cd76f96956469e7be39d750cc7d9,00-fa03eb688ad8aa1db593d33dabd89bad,1,/,/,0
01-7db78365898c456bd7c383d01c5a6853,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/ws-turkana/logi_reference/controller_sci/build_nrf54l15_sci,OUTPUT_DIR,1118
01-bb1836de191ead431509f5d1b910124d,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/v4.1.99-zephyr/zephyr,ZEPHYR_BASE,100915
02-01fed0852e23f67c30cda066ffb5820e,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\radio_stop,radio_stop,2
02-028788454cac7df4a7c9e18a92c0ea59,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\pdu_validate_min_used_chan_ind,pdu_validate_min_used_chan_ind,14
02-0465f9d9258d3ff16d4ab276b7ac447a,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\net_buf_fixed_cb,net_buf_fixed_cb,12
02-0608eaefe83084a9971a8068e83aaf57,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__aeabi_memcpy8,__aeabi_memcpy8,26
02-08bdd58a52718f83502976209f59fa3f,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__func__.5,__func__.5,18
02-090b3e136397d9fc1c3ba5cfd59827d9,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\m.10,m.10,16
02-0c74319fbcff8e4bb9cc6b7af7722831,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mfy.5,mfy.5,16
02-0db62b86e8f39f5607bcfdae9cf94f3c,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\wait_q.0,wait_q.0,8
02-0eb9b3af2e4a00837a1b1a854c9ea18c,01-09498dbadf45966909850dc8a47ebb13,2,modules,modules,5873
02-11a073fbb7de02da60f4e82b746a2033,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\m.11,m.11,16
02-12e6356573b9ccf91c5011abe9ddd59b,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mfy.7,mfy.7,16
02-1dc29b58647256561f4f00d7a5ab0e7f,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mpu_config,mpu_config,8
02-1f123ea1abb19f6dceab5479f7234c96,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\aes_config_value.0,aes_config_value.0,4
02-1f267d237f36ee4f7daebfaca13bbbf1,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\llcp_pdu_decode_phy_rsp,llcp_pdu_decode_phy_rsp,28
02-23e3ca5bf569f40b0ab2615bb1f16ca4,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\pdu_validate_length_req,pdu_validate_length_req,14
02-26ee4c75ee034e4198c608b9cf8f8320,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__device_dts_ord_24,__device_dts_ord_24,32
02-288267125d7fcf73765d8cefb82f9b09,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mfy.3,mfy.3,16
02-295023daf00d41f489aba20e9fda7b2b,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\pdu_validate_ping_rsp,pdu_validate_ping_rsp,14
02-2f158c4731d76d5975b8546d85de1b34,01-6666cd76f96956469e7be39d750cc7d9,2,C:\,C:\,976
02-319b5998335c1a61df7d80b754f9d40f,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\llcp_pdu_decode_length_rsp,llcp_pdu_decode_length_rsp,80
