uuid,parent,level,identifier,name,size
00-fa03eb688ad8aa1db593d33dabd89bad,,0,root,Root,45698
01-09498dbadf45966909850dc8a47ebb13,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/vturkana,WORKSPACE,21188
01-60f3b1ff9b396408039047bbde339c46,00-fa03eb688ad8aa1db593d33dabd89bad,1,(hidden),(hidden),7397
01-665b1ea1222d25c5af30f0aec9f1f04e,00-fa03eb688ad8aa1db593d33dabd89bad,1,:,(no paths),9633
01-6666cd76f96956469e7be39d750cc7d9,00-fa03eb688ad8aa1db593d33dabd89bad,1,/,/,0
01-bb1836de191ead431509f5d1b910124d,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,7480
02-00265dbc27acff3166926f4124420c4d,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\buf.5,buf.5,4
02-0eb9b3af2e4a00837a1b1a854c9ea18c,01-09498dbadf45966909850dc8a47ebb13,2,modules,modules,1728
02-0ec3ac2054d4681e6c9d4825765209ee,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_idle_threads,z_idle_threads,144
02-2f158c4731d76d5975b8546d85de1b34,01-6666cd76f96956469e7be39d750cc7d9,2,C:\,C:\,1728
02-38d7b76b771634bb6aaae4ffde5922a8,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\_sw_isr_table,_sw_isr_table,2168
02-3b8238b190187fceef29c292cb88b526,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_main_stack,z_main_stack,3584
02-3cca42c4f48f32184dc7d459a6842407,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_main_thread,z_main_thread,144
02-44f0cbab43d4061c1dc047bd6a579531,01-665b1ea1222d25c5af30f0aec9f1f04e,2,sym_*,sym_*,943
02-50484c19f1afdaf3841a0d821ed393d2,01-bb1836de191ead431509f5d1b910124d,2,kernel,kernel,898
02-65e3af4198a3ba671730e5a1254a1758,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_interrupt_stacks,z_interrupt_stacks,2048
02-71d3af2db695ec20f3c4af8748546da1,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\k_sys_work_q,k_sys_work_q,176
02-735c4efa6ac3e1e45b1ae2a70a62f44d,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mpsl_work_q,mpsl_work_q,176
02-7453818a81866954dbc648cc19b78a73,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\cli.1,cli.1,16
02-7d0d4e9e9148e130857ddb83462522b5,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\_kernel,_kernel,32
02-7dfd0916e87aaa90a45bf1ec3391e970,01-bb1836de191ead431509f5d1b910124d,2,subsys,subsys,6319
02-80367281f919fa030cfc7b17710a29bc,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\rx_queue.6,rx_queue.6,24
02-84917115db7fc982cd67bd759fd0890c,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\SystemCoreClock,SystemCoreClock,4
