uuid,level,name,stdz1,sci,sci(%),std1,std1(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,39668,39823,0.39,45698,15.2
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,372,372,0.0,21188,5595.7
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),1219,1219,0.0,7397,506.81
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),6616,6616,0.0,9633,45.6
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,31461,31616,0.49,7480,-76.22
02-00265dbc27acff3166926f4124420c4d,2,buf.5,4,4,0.0,4,0.0
02-026de1ec8a6c93ab83d7b028f62b3d1a,2,link.3,8,8,0.0,,
02-08fb0c0855fadc02cd10d72d40062e37,2,hci_hbuf_sent,4,4,0.0,,
02-090b3e136397d9fc1c3ba5cfd59827d9,2,m.10,16,16,0.0,,
02-0c74319fbcff8e4bb9cc6b7af7722831,2,mfy.5,16,16,0.0,,
02-0db62b86e8f39f5607bcfdae9cf94f3c,2,wait_q.0,8,8,0.0,,
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,372,372,0.0,1728,364.52
02-0ec3ac2054d4681e6c9d4825765209ee,2,z_idle_threads,128,128,0.0,144,12.5
02-11a073fbb7de02da60f4e82b746a2033,2,m.11,16,16,0.0,,
02-12e6356573b9ccf91c5011abe9ddd59b,2,mfy.7,16,16,0.0,,
02-23056b27da8fce9987586ecd04b43bd6,2,tx_cnt.11,4,4,0.0,,
02-263a09c1f3c1af2094a2efcd63d0eeae,2,last_cycle_stamp.9,4,4,0.0,,
02-288267125d7fcf73765d8cefb82f9b09,2,mfy.3,16,16,0.0,,
02-2ee403b130e1640022e6d8caf6d606e0,2,tx_rate.10,4,4,0.0,,
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,1200,1200,0.0,1728,44.0
02-3452a21b995c61a939cb64d8c2e1a3b5,2,hci_hbuf_acked,4,4,0.0,,
