uuid,level,name,std1,stdz1,stdz1(%),sci,sci(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,149039,116451,-21.87,121328,-18.59
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,16993,5873,-65.44,5873,-65.44
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),5490,7591,38.27,7598,38.4
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),107392,5837,-94.56,5824,-94.58
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0
01-7db78365898c456bd7c383d01c5a6853,1,OUTPUT_DIR,1118,1118,0.0,1118,0.0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,18046,96032,432.15,100915,459.21
02-00431a577338786768a0730c93d08e90,2,mpsl_clock_hfclk_release,40,,,,
02-01fed0852e23f67c30cda066ffb5820e,2,radio_stop,,2,,2,0
02-028788454cac7df4a7c9e18a92c0ea59,2,pdu_validate_min_used_chan_ind,,14,,14,0
02-03f3607de693d03fe186bc9470d617a7,2,sdc_hci_cmd_le_set_scan_enable,4,,,,
02-0465f9d9258d3ff16d4ab276b7ac447a,2,net_buf_fixed_cb,12,12,0.0,12,0.0
02-05ec52560623b8198de6740a8dd7e70e,2,sdc_hci_cmd_le_clear_filter_accept_list,4,,,,
02-0608eaefe83084a9971a8068e83aaf57,2,__aeabi_memcpy8,,,,26,
02-0830ba6cef27a110a2c59b052f95a9a0,2,mpsl_low_priority_process,4,,,,
02-0840b53f25750516ae68d62c0d5c14dc,2,sdc_hci_cmd_le_read_remote_features,4,,,,
02-08bdd58a52718f83502976209f59fa3f,2,__func__.5,,18,,18,0
02-090b3e136397d9fc1c3ba5cfd59827d9,2,m.10,,16,,16,0
02-09a211323185172a3285a9fa5e7b75f4,2,sdc_hci_cmd_le_set_adv_params,4,,,,
02-0c74319fbcff8e4bb9cc6b7af7722831,2,mfy.5,,16,,16,0
02-0db62b86e8f39f5607bcfdae9cf94f3c,2,wait_q.0,,8,,8,0
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,5239,5873,12.1,5873,12.1
02-1003d7d17e0068ffa89071fa06bc4afd,2,sdc_hci_cmd_le_set_default_phy,4,,,,
02-11a073fbb7de02da60f4e82b746a2033,2,m.11,,16,,16,0
02-12e6356573b9ccf91c5011abe9ddd59b,2,mfy.7,,16,,16,0
02-1432661ab1bb9ca4cc381c232b390ab5,2,sdc_hci_cmd_cb_host_buffer_size,4,,,,
02-14531855120b874f1c54ad81f2b1a743,2,mpsl_is_initialized,12,,,,
02-15471298a00f9cb185b03dcaadafd432,2,mpsl_ecb_block_encrypt_extended,16,,,,
02-1563d57a2fbbd7ccc9f840c4ef99a6b2,2,__device_dts_ord_10,20,,,,
