uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,37835,38403,1.5,38375,1.43,37835,0.0,37863,0.07,64859,71.43
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,8221,8286,0.79,8270,0.6,8221,0.0,8237,0.19,,
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),5330,5809,8.99,5801,8.84,5330,0.0,5338,0.15,23517,341.22
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),7600,7608,0.11,7604,0.05,7600,0.0,7604,0.05,41322,443.71
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0,0,0,0,0,,
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,16684,16700,0.1,16700,0.1,16684,0.0,16684,0.0,20,-99.88
02-0046d551c5f48bdd5e3922bc6d930bf2,2,__pinctrl_states__device_dts_ord_106,,,,,,,,,,8,
02-005fe9134a29cd288aeea5cf1e5986ea,2,__isr_table_entry_z_irq_spurious_irq_544,,,,,,,,,,8,
02-00f1bdab837355c64a5f0d1171a05837,2,__isr_table_entry_z_irq_spurious_irq_634,,,,,,,,,,8,
02-01e8805d904739930a18ac1df3a69c0e,2,__isr_table_entry_z_irq_spurious_irq_765,,,,,,,,,,8,
02-0247dc05a1aa46ef081fb4d3476e306d,2,__isr_table_entry_z_irq_spurious_irq_724,,,,,,,,,,8,
02-02572c1c037d2233e79207584ba16776,2,__isr_table_entry_z_irq_spurious_irq_551,,,,,,,,,,8,
02-02634eff3c24742057ecacbee91c4bbd,2,buttons,,,,,,,,,,32,
02-038cb18b7052e5590106f5aa9fefc998,2,__isr_table_entry_z_irq_spurious_irq_537,,,,,,,,,,8,
02-039b82b152daed85aa60790d974b612a,2,net_buf_fixed_hci_rx_pool,,,,,,,,,,4,
02-042a492975866170ef577577d7c7d916,2,key_pool.lto_priv.0,,,,,,,,,,184,
02-0437ea27f8035e08d78a97e243d9c39f,2,hci_buf.0,74,74,0.0,74,0.0,74,0.0,74,0.0,74,0.0
