uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,222888,227109,1.89,226172,1.47,222868,-0.01,223845,0.43,204334,-8.32
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,29891,30535,2.15,30223,1.11,29891,0.0,30195,1.02,,
01-50484c19f1afdaf3841a0d821ed393d2,1,kernel,,,,,,,,,,2,
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),26177,26757,2.22,26705,2.02,26175,-0.01,26231,0.21,22067,-15.7
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),77161,79836,3.47,79237,2.69,77161,0.0,77760,0.78,182191,136.12
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0,0,0,0,0,,
01-7db78365898c456bd7c383d01c5a6853,1,OUTPUT_DIR,1098,1098,0.0,1098,0.0,1098,0.0,1098,0.0,,
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,88561,88883,0.36,88909,0.39,88543,-0.02,88561,0.0,,
01-e8acc63b1e238f3255c900eed37254b8,1,lib,,,,,,,,,,74,
02-00241e7c284b0f5b44c68e331c726b1c,2,__isr_table_entry__isr_wrapper_irq_190,,,,,,,,,,4,
02-002540331f8f99089dead307a29980cc,2,settings_handler_bt_hash,,,,,,,,,,20,
02-00431a577338786768a0730c93d08e90,2,mpsl_clock_hfclk_release,28,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0
02-0046d551c5f48bdd5e3922bc6d930bf2,2,__pinctrl_states__device_dts_ord_106,,,,,,,,,,8,
02-005e718e54ccdf9c9017cd98346effd5,2,gatt_ccc_changed.lto_priv.0,,,,,,,,,,28,
02-005fe9134a29cd288aeea5cf1e5986ea,2,__isr_table_entry_z_irq_spurious_irq_544,,,,,,,,,,8,
02-00a86cdb661632b92b6b91288614cf8c,2,log_const_bt_adv,,,,,,,,,,8,
02-00ef09c2e25f909ec7e9eca35a6e746d,2,le_phy_updated,,,,,,,,,,16,
02-00f1bdab837355c64a5f0d1171a05837,2,__isr_table_entry_z_irq_spurious_irq_634,,,,,,,,,,8,
02-00fd4e6035795cbf69135294b386a8ed,2,read_str.lto_priv.0,,,,,,,,,,40,
02-012f242a94cb0fd78996cbe9db280012,2,sc_ccc_cfg_write,,,,,,,,,,30,
02-0145d036cc1c843e1dd82d75d3f2a73b,2,z_pend_curr,,,,,,,,,,240,
02-014a1df5d7122c71b59b185e524b5716,2,spi_nor_write_protection_set,,,,,,,,,,58,
02-01aa60b45d76a1fcd9a9539c78b055dd,2,nrf_security_mutex_unlock,,,,,,,,,,32,
02-01d586031a5fccb720e110d5fa9eac38,2,frag_destroy,,,,,,,,,,88,
02-01e8805d904739930a18ac1df3a69c0e,2,__isr_table_entry_z_irq_spurious_irq_765,,,,,,,,,,8,
02-0205c20f57bcd2a43d106421e945d6d5,2,__isr_table_entry__isr_wrapper_irq_110,,,,,,,,,,4,
02-0208af371ed43a56c51a68c2925a3b94,2,__isr_table_entry__isr_wrapper_irq_128,,,,,,,,,,4,
02-02241d76b4edbd158875f3e34ffda394,2,__isr_table_entry__isr_wrapper_irq_104,,,,,,,,,,4,
02-0247dc05a1aa46ef081fb4d3476e306d,2,__isr_table_entry_z_irq_spurious_irq_724,,,,,,,,,,8,
02-024a7d6d3008244d625c8f5ca5bbde90,2,process_event.lto_priv.0,,,,,,,,,,672,
02-02572c1c037d2233e79207584ba16776,2,__isr_table_entry_z_irq_spurious_irq_551,,,,,,,,,,8,
02-02619a2e6232e82cfad34132f0c07736,2,bt_gatt_service_init.lto_priv.0,,,,,,,,,,88,
02-02634eff3c24742057ecacbee91c4bbd,2,buttons,,,,,,,,,,32,
02-02974eb362d11d66d6e3c88fb176a8b9,2,add_event,,,,,,,,,,84,
02-02f7b03ba225b7bd6e784271b77db202,2,__isr_table_entry__isr_wrapper_irq_34,,,,,,,,,,4,
02-0300d5aad6862b5c6002a102b3e7b805,2,__init_k_sys_work_q_init,,,,,,,,,,8,
02-030416dd3b4764c6a1053fe383654ff3,2,log_const_bt_smp,,,,,,,,,,8,
02-032d434ccce705cacca936b0e6dea69e,2,chunk_set,,,,,,,,,,22,
02-034ee5379ba7916e51e26a71fb099ac2,2,hci_id_add,,,,,,,,,,98,
02-0365e6ce0bfcec04e9aaf0df22210fdc,2,log_const_bt_conn_ctx,,,,,,,,,,8,
02-038cb18b7052e5590106f5aa9fefc998,2,__isr_table_entry_z_irq_spurious_irq_537,,,,,,,,,,8,
02-039afd9944ff8bb7c07f37d7f624da21,2,sys_clock_cycle_get_32,,,,,,,,,,88,
02-039b82b152daed85aa60790d974b612a,2,net_buf_fixed_hci_rx_pool,,,,,,,,,,4,
02-0404dc2c16d4bcf2ce68e7523868a995,2,submit_to_queue_locked,,,,,,,,,,188,
02-0418b64145355dec6b595c5087db0de2,2,nordicsemi_nrf54l_init,,,,,,,,,,204,
02-043ffd103e65a59776eb6824d9aef66b,2,uarte_20_init,,,,,,,,,,120,
02-04446800a2ddafbb7fd19c22a93318bf,2,hid_init.lto_priv.0,,,,,,,,,,1732,
02-044db9b7919cfafda6d31399eac85f4a,2,__init_statics_init_pre,,,,,,,,,,8,
02-0453db7b4f7e48d8a1240517b218de7c,2,arch_swap,,,,,,,,,,52,
02-0465f9d9258d3ff16d4ab276b7ac447a,2,net_buf_fixed_cb,12,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0
02-04c078d6acbd56aa06487fd064cc27a9,2,level_cpf,,,,,,,,,,8,
02-04c1e4672334cd398014917d7255a543,2,nrfx_power_clock_irq_handler,,,,,,,,,,4,
02-04c5e56a849bfb57dea8ad30f764276a,2,__isr_table_entry_z_irq_spurious_irq_784,,,,,,,,,,8,
02-04d41be17d5396292cd9b0d1cd79ffd3,2,__isr_table_entry_z_irq_spurious_irq_721,,,,,,,,,,8,
02-04d9d638d8db7cc4206e7f9f3d077aae,2,mpsl_fem_api_init,,,,,,,,,,10,
02-04e4659c6873474a0f2f3d571f0ccba9,2,bt_conn_index.part.0,,,,,,,,,,28,
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,36,40,11.11,40,11.11,36,0.0,36,0.0,36,0.0
02-05905459d24f47b78effd0bfbed9302d,2,__isr_table_entry__isr_wrapper_irq_496,,,,,,,,,,4,
02-059ce3d629788ac9e834415b29babc22,2,spi_nor_access,,,,,,,,,,132,
