uuid,level,name,std1,stdz1,stdz1(%),opt1,opt1(%),app1,app1(%),app2,app2(%),feat1,feat1(%),feat2,feat2(%),feat3,feat3(%),feat4,feat4(%),feat5,feat5(%),feat6,feat6(%),feat7,feat7(%),feat8,feat8(%),feat9,feat9(%),feat10,feat10(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,33798,32364,-4.24,32166,-4.83,34262,1.37,32630,-3.46,34458,1.95,39054,15.55,33798,0.0,34258,1.36,33802,0.01,38048,12.57,33954,0.46,91035,169.35,44502,31.67,33830,0.09
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,6095,2868,-52.95,6095,0.0,6095,0.0,6095,0.0,6219,2.03,10685,75.31,6095,0.0,6095,0.0,6095,0.0,6732,10.45,6103,0.13,39573,549.27,11181,83.45,6095,0.0
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),4839,110,-97.73,3224,-33.37,4839,0.0,3224,-33.37,5371,10.99,5505,13.76,4839,0.0,4862,0.48,4839,0.0,4841,0.04,4839,0.0,4866,0.56,4843,0.08,4839,0.0
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),10369,9796,-5.53,10352,-0.16,10381,0.12,10364,-0.05,10373,0.04,10369,0.0,10369,0.0,10297,-0.69,10369,0.0,10757,3.74,10381,0.12,11433,10.26,10759,3.76,10369,0.0
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,12495,19590,56.78,12495,0.0,12947,3.62,12947,3.62,12495,0.0,12495,0.0,12495,0.0,13004,4.07,12499,0.03,15718,25.79,12631,1.09,35163,181.42,17719,41.81,12527,0.26
02-026de1ec8a6c93ab83d7b028f62b3d1a,2,link.3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,32,32,0.0,32,0.0,44,37.5,44,37.5,36,12.5,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0
02-090b3e136397d9fc1c3ba5cfd59827d9,2,m.10,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0,40,0.0
