uuid,level,name,std1
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,203550
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,46346
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),77043
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),6861
01-6666cd76f96956469e7be39d750cc7d9,1,/,0
01-7db78365898c456bd7c383d01c5a6853,1,OUTPUT_DIR,1126
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,72174
02-03da88b3960003e51bc67c7bb0386999,2,sx_curve_nistp256,12
02-0465f9d9258d3ff16d4ab276b7ac447a,2,net_buf_fixed_cb,12
02-0534570bf1dfac0e94c2e536270fd3a9,2,m_lut.3,20
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,36
02-07427b7359ea466f8f20e9177f47b8b0,2,fem_none_abort_reduce,4
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40
02-0bf43b7346d922e1972fd82988d4b6a0,2,ll_pdu_dc_reject_ext_ind_reject_opcode_set,4
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,15501
02-1120eb98973f1324826aaad4895a2993,2,fem_none_lna_configuration_clear,6
02-11dec2e900386817d418713e4af98eff,2,soc_config_cleanup,4
02-1563d57a2fbbd7ccc9f840c4ef99a6b2,2,__device_dts_ord_10,20
02-1acd1f648b570c729a904a7c2fa45dfc,2,__compound_literal*,323
02-1bad3c00dded1e49ada0434ab84bd112,2,__device_dts_ord_4,20
02-1dc29b58647256561f4f00d7a5ab0e7f,2,mpu_config,8
02-2014095ba9eb4feaebcfefa21a3fec60,2,m_lut.2,20
02-26c7394638de1ff81d07c3a8d05fa077,2,m_adv_ds_on_state_scan_rsp_send_legacy,4
02-2cf75ba6c0e7300033845143a1a598f5,2,__device_dts_ord_78,20
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,74123
02-346e8b97ef1b34e7632f1122675aac1a,2,CSWTCH.*,506
02-349e04cd5af966035e651f5a5c2312db,2,find_next,6
02-36e3252034447fad7e24ac6e5520c89a,2,__l_vfprintf,1204
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168
02-3e6e5d24257b553c36dac7e1a08ea045,2,__device_dts_ord_126,20
02-3e82d3320e0c286b572f6f43eb26a4fe,2,m_sca_mapping.1,24
02-4287a4df4ae50ebfb8cb668ef27e7b98,2,memcmp,32
02-4404a8991f3d9f00a673937d42b7db67,2,ll_pdu_dc_ersp_skds_set,4
02-4687293ff1fdc5b845e8e1f2080248df,2,delay_machine_code.0,6
02-4be87e68fd13c2c0855476590f57c173,2,nrf_memcpy,268
02-4fe581b2af6e9db665bf69cd508d6803,2,ll_pdu_dc_phy_update_ind_instant_get,4
02-50484c19f1afdaf3841a0d821ed393d2,2,kernel,9272
02-5170d5382a77c6f1ddc9beedc901869c,2,__ultoa_invert,172
02-520f94d47632a4952c833c0f20be3413,2,sxhashalg_sha2_256,32
02-5351878682c188a502023f4f38873db6,2,smp_security_request,4
02-573442d06ab6a002b4cd74a58fc90b5b,2,bt_addr_none,6
02-58b83e141b8c683f1b0cd83a84724a15,2,__file_str_put,16
02-5bb65ab7043dabfde91cf27dfd89d026,2,__device_dts_ord_3,20
02-5c755b935c34bbd087828cc738c0beee,2,__device_dts_ord_12,20
02-5e3461b274f6d085d71e647243145aa6,2,__device_dts_ord_130,20
02-5fbc4915e6b39f7766a422e51c53c211,2,smp_pairing_rsp,4
02-642fcfc22bfbd16d414290caf895b295,2,mpsl_sleep_wfe_when_we_dont_expect_many_interruptions,4
02-64322f5f3ff7f9f717279e1b017a997e,2,stdout,4
02-660b3af0d37c78bae983a1cbd203c197,2,sxhashalg_sha2_224,32
02-676b69744b13b9a4e38499db2414fb88,2,port_offset.1,16
02-68a56c3e2433272c86cbe6332db118d4,2,pages_layout.1,8
02-6b63c967a0cdf13cea0e1caf2a58dcbe,2,phy_masks.1,3
02-6ba9d128a7a061a4fc13971104fa9076,2,m_lut.1,20
02-716af30655f8f3d9b32750dca746ddfb,2,memset,16
02-72d4bd12d6ca07360602e0d6cbc8dc4b,2,memcpy,26
02-7650bc8c38a36b7ea1b41566f2865db0,2,ll_event_support_slave,16
