uuid,level,name,std1_release
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,159116
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),58508
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),100606
01-6666cd76f96956469e7be39d750cc7d9,1,/,0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,2
02-00241e7c284b0f5b44c68e331c726b1c,2,__isr_table_entry__isr_wrapper_irq_190,4
02-005fe9134a29cd288aeea5cf1e5986ea,2,__isr_table_entry_z_irq_spurious_irq_544,8
02-007092d175f022e477e24f4e08922923,2,saadc_irq_handler,340
02-00ef09c2e25f909ec7e9eca35a6e746d,2,le_phy_updated,2
02-00f1bdab837355c64a5f0d1171a05837,2,__isr_table_entry_z_irq_spurious_irq_634,8
02-00fd4e6035795cbf69135294b386a8ed,2,read_str.lto_priv.0,40
02-012f242a94cb0fd78996cbe9db280012,2,sc_ccc_cfg_write,30
02-017d0d41831cf85d3cc21e69d8019fac,2,pwm_nrfx_set_cycles,396
02-018bd4a30a3c2892c1f60bdfaf32c6b1,2,bt_addr_le_copy.lto_priv.2.lto_priv.0,14
02-01d586031a5fccb720e110d5fa9eac38,2,frag_destroy,64
02-01e8805d904739930a18ac1df3a69c0e,2,__isr_table_entry_z_irq_spurious_irq_765,8
02-0205c20f57bcd2a43d106421e945d6d5,2,__isr_table_entry__isr_wrapper_irq_110,4
02-0208af371ed43a56c51a68c2925a3b94,2,__isr_table_entry__isr_wrapper_irq_128,4
02-02241d76b4edbd158875f3e34ffda394,2,__isr_table_entry__isr_wrapper_irq_104,4
02-0247dc05a1aa46ef081fb4d3476e306d,2,__isr_table_entry_z_irq_spurious_irq_724,8
02-024a7d6d3008244d625c8f5ca5bbde90,2,process_event.lto_priv.0,540
02-02572c1c037d2233e79207584ba16776,2,__isr_table_entry_z_irq_spurious_irq_551,8
02-02619a2e6232e82cfad34132f0c07736,2,bt_gatt_service_init.lto_priv.0,60
02-02634eff3c24742057ecacbee91c4bbd,2,buttons,32
02-02f7b03ba225b7bd6e784271b77db202,2,__isr_table_entry__isr_wrapper_irq_34,4
02-0300d5aad6862b5c6002a102b3e7b805,2,__init_k_sys_work_q_init,8
02-032d434ccce705cacca936b0e6dea69e,2,chunk_set,22
02-034ee5379ba7916e51e26a71fb099ac2,2,hci_id_add,100
02-038cb18b7052e5590106f5aa9fefc998,2,__isr_table_entry_z_irq_spurious_irq_537,8
02-039afd9944ff8bb7c07f37d7f624da21,2,sys_clock_cycle_get_32,30
02-039b82b152daed85aa60790d974b612a,2,net_buf_fixed_hci_rx_pool,4
02-03da88b3960003e51bc67c7bb0386999,2,sx_curve_nistp256,12
02-0404dc2c16d4bcf2ce68e7523868a995,2,submit_to_queue_locked,160
02-0418b64145355dec6b595c5087db0de2,2,nordicsemi_nrf54l_init,176
02-04446800a2ddafbb7fd19c22a93318bf,2,hid_init.lto_priv.0,1472
02-044db9b7919cfafda6d31399eac85f4a,2,__init_statics_init_pre,8
02-0465f9d9258d3ff16d4ab276b7ac447a,2,net_buf_fixed_cb,12
02-04c078d6acbd56aa06487fd064cc27a9,2,level_cpf,8
02-04c1e4672334cd398014917d7255a543,2,nrfx_power_clock_irq_handler,4
02-04c5e56a849bfb57dea8ad30f764276a,2,__isr_table_entry_z_irq_spurious_irq_784,8
02-04d41be17d5396292cd9b0d1cd79ffd3,2,__isr_table_entry_z_irq_spurious_irq_721,8
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,36
02-05905459d24f47b78effd0bfbed9302d,2,__isr_table_entry__isr_wrapper_irq_496,4
02-0591fde52cb021e21414b153f5e33385,2,z_impl_k_wakeup,68
02-05b67673090ed0a70a90af25b687a078,2,__isr_table_entry_z_irq_spurious_irq_693,8
02-05c2e88813a279f6dc7882ca1ec2ea7a,2,__isr_table_entry_z_irq_spurious_irq_640,8
02-05faf20c8b050264204701bcf037f654,2,__isr_table_entry__isr_wrapper_irq_166,4
02-0608eaefe83084a9971a8068e83aaf57,2,__aeabi_memcpy8,26
02-065b90766f290b8a9aa70c5be60e5735,2,z_abort_thread_timeout.lto_priv.6.lto_priv.0,6
02-06aa6fa8bdc2078e7e1bd903e70c8f6a,2,connected,288
02-06e274348a9823857effc05c1c1c2a53,2,__isr_table_entry__isr_wrapper_irq_426,4
02-0733ec0f8b2fdddef01b18aa8843b5bb,2,__isr_table_entry__isr_wrapper_irq_504,4
02-0748f3fe7904e44d34f7cec95dd82e16,2,bt_att_status,64
02-07d0ad8df9e5749d90e6b55bec5797a8,2,__isr_table_entry__isr_wrapper_irq_116,4
02-0809b289893a06c000c478fe4ce5bfe6,2,zms_gc.lto_priv.0,414
02-0810fb2841b7777c3be7bdcf2c32cda5,2,tx_notify_process,96
02-0817fca9197ca2a96267f30adaf166f1,2,__isr_table_entry__isr_wrapper_irq_58,4
02-085ec9028a75bdc55dea593afae9f6a4,2,att_find_info_req,108
02-088878faad7992453e58d3734932437c,2,irq_handler.lto_priv.0,424
02-08ab7a81299f7f9c82673fb4be74aad7,2,__isr_table_entry_z_irq_spurious_irq_770,8
02-08be9eb4c983bd77dadc3d2b92f5166e,2,sx_hw_reserve,80
02-08c111dd0ef276130bbb284f993e6757,2,__isr_table_entry__isr_wrapper_irq_524,4
02-08d430dcd4a49c69816ff6914197cc5d,2,__isr_table_entry_z_irq_spurious_irq_617,8
02-08eb15ae38f1e2e90839bae4d3526534,2,__isr_table_entry_z_irq_spurious_irq_720,8
02-08f98eb6cdc23b73c84749b5b475d606,2,bas_init.lto_priv.0,4
02-090eab40efd3fd504b6345662cb86b92,2,__isr_table_entry__isr_wrapper_irq_370,4
02-091b775a4b55c011411f48f9cc074841,2,__isr_table_entry_z_irq_spurious_irq_705,8
02-099a80051ec92e7b1b22522a7a22642c,2,nrfx_gpio_handler,88
02-09c4fd9c4cd615bc0ea5f27c3cb5618f,2,read_ppcp.lto_priv.0,40
02-0a015fa112c5ad39f4aba0324aeee2c7,2,sys_hash32_murmur3,128
02-0a04c27110abdc95c73f9305088e97c3,2,free_list_remove_bidx,92
02-0a1fca5018224df01fccd9049c2f4ecf,2,__isr_table_entry_z_irq_spurious_irq_628,8
02-0a6860e83a5bef7351fe2f9e60a849ec,2,init_mem_slab_obj_core_list,76
02-0ace0db909023ba85024f09916ecee6c,2,__isr_table_entry_z_irq_spurious_irq_775,8
02-0afd0d2c3d96ddbeb460faed416fa3b9,2,__isr_table_entry__isr_wrapper_irq_500,4
02-0b0030d554d1320fa293688b5c2e6baa,2,smp_init,76
02-0b1317248ee6ac8d6c992cc221ce0953,2,smp_pairing_failed,74
02-0baa757cf1c2eb0529df392b37709912,2,bt_id_set_adv_private_addr.constprop.0,36
02-0bb404d52f0eeefdd34e968ccd87c99e,2,__isr_table_entry_z_irq_spurious_irq_757,8
02-0bd5a956ab07da5ef07aafa072af8af0,2,bt_gatt_identity_resolved.lto_priv.0,56
02-0bf56aec61dae65a6100f98bda3ab310,2,hci_driver_close.lto_priv.0,56
02-0c3cb171b6b61b13ac050c16b5081d9c,2,__nrfy_internal_pwm_events_process,98
02-0cb15fa9e1d6008c9f7c207636e458c8,2,delay_machine_code.0.lto_priv.0,6
02-0ce798db6b3dfdf9186eea35fef0efbc,2,__isr_table_entry__isr_wrapper_irq_148,4
02-0ceed713246d7df85a4c6174607645dc,2,bt_gatt_foreach_attr_type.constprop.0,284
02-0cf87221f6d58a8300e7ba54b3d6f38f,2,bt_addr_copy.lto_priv.1.lto_priv.0,10
02-0cf875fda5bab7de4d170bf78b9000e0,2,psa_validate_ecc_key_attr.lto_priv.0,184
02-0d0d26d6cb4f5b9fbb91267fef5156f2,2,bt_conn_reset_rx_state,18
02-0d3f42bbc69d289a9267c86583353761,2,__isr_table_entry__isr_wrapper_irq_450,4
02-0d543c4be79df37b105fac33572a3c1d,2,__isr_table_entry__isr_wrapper_irq_164,4
02-0dcdb7970d541ac59fcd3c36ed2a6ea0,2,sx_pk_run,46
02-0df725f304f302d775222e9d59a4c687,2,find_sc_cfg,56
02-0dff49faf0f543995117aa5f1f7c8fae,2,mbedtls_threading_psa_globaldata_mutex,20
02-0e2197f26d63cf055986d66d962c46a4,2,psa_remove_key_data_from_memory,36
02-0e3226bb5894e16952512bbc8ab48227,2,rx_work_handler,372
02-0e6ddc232dc3edcc41e6e2d5737ceb79,2,pin_trigger_enable,176
02-0eae323390b4fd1875d91a9d2640361e,2,ba411tags,16
02-0eb70b66a36643d931aa590d56213c7d,2,hids_outp_rep_ref_read,38
02-0f136d9604dbc292d653fb4b1b414746,2,z_irq_spurious,10
02-0f1c1e33ca0e658ca20ddb2337fb2f61,2,call_handler,62
02-0f242017f34f5349c3aec4114c634734,2,__isr_table_entry_z_irq_spurious_irq_698,8
02-0f8109b4a3536bb52edf708464528010,2,psa_register_read,26
02-0fbedaa99f3319829dd81d64082d6d8d,2,__isr_table_entry__isr_wrapper_irq_514,4
02-0fd8006230149ab229847684e149586d,2,k_cracen_mutex,20
02-0fff88c07796f6997bf005593b15c507,2,__isr_table_entry_z_irq_spurious_irq_741,8
02-10460ca8b067bc18da64c2e82eda1d22,2,read_pnp_id.lto_priv.0,24
02-10a6432854346ec3c586d511372ad1cf,2,att_find_type_req,196
02-10ad58af670c0132e8ce7bc45820c6a1,2,__isr_table_entry__isr_wrapper_irq_272,4
02-10ae1b43e1fc7c6fb8dc5724c0078b20,2,bt_le_adv_resume,204
02-10bd057dbaae1fb82a5334f681effd3c,2,bt_att_chan_send_rsp.lto_priv.0,28
02-10c8101ac71baeaa267f63e6b7ba8427,2,bg_thread_main.lto_priv.0,2440
02-10c82873e29731c597743040616e4f9d,2,sx_pk_mem2op_be,46
02-116abace34efc102a7ab6bfedbd435bb,2,__isr_table_entry__isr_wrapper_irq_96,4
02-116ee16751712b70079618dbe25b7ec4,2,bt_l2cap_recv,50
02-119146ba50173a8a81e2542ba447b2a3,2,SystemInit,248
02-11d6b18b1d4e40cf9c3b1a5cab49f28e,2,gpio_nrfx_manage_callback.lto_priv.0,48
02-11dec2e900386817d418713e4af98eff,2,soc_config_cleanup,4
02-11e58088702fbcb5b7356e4dde5d11c8,2,pending_recycled_events,24
02-123e994c276a9b86b8892d73142398e2,2,psa_finish_key_creation.constprop.0,64
02-1240feb14683c41180f948436d2e4819,2,k_cracen_prng_context_mutex,20
02-126f1e73863a1e10a60a31829c106b41,2,__isr_table_entry__isr_wrapper_irq_260,4
02-12a3736bb04834698987859685233b4b,2,zms_flash_data_wrt,52
02-12ab9550b3cfcb7f0b37ee2fa481c129,2,zms_get_sector_header.lto_priv.0,72
02-12b0b87bb412c741b4cc73cf9327f04d,2,smp_public_key,272
02-12db0d6ce4c0a9e11c9b85f82e3a9d03,2,__isr_table_entry_z_irq_spurious_irq_536,8
02-12f5c7ec4a00534ed2de6811a721aa56,2,__isr_table_entry_z_irq_spurious_irq_692,8
02-130e43a92b201aa621ce2e8389b33809,2,__isr_table_entry_z_irq_spurious_irq_600,8
02-134a557b3fc88b6c6aa7e359c193f6db,2,update_ccc,224
02-1362833441419646b01cf979e676b51d,2,multithreading_lock_release,12
02-138625eb9e9410320eb72e545b01789c,2,init_work,24
02-13d61ff0a2f53ea821c20cb5fb0a1d29,2,bt_id_del,252
02-13d8c90a8a1bec2fb8a75aa1bd60d694,2,gen_method_sc,25
02-13d90d84ada6252899ad7462e4b856bb,2,bt_att_disconnected,208
02-141e2443481eb13a4f9c569ffa45bf4f,2,__isr_table_entry_z_irq_spurious_irq_781,8
02-1429ee535390ce3368c27ba3ceb3bb86,2,l2cap_recv,80
02-142c1978ce556f821ec99cc3f73ae7da,2,psa_fail_key_creation.constprop.0,36
02-14bdef26d7e314b34ae374163ef0e325,2,le_conn_update_complete,296
02-14c84ab95372a7d1b5a7601b3b934d0d,2,__isr_table_entry__isr_wrapper_irq_392,4
02-14e96c12cb011a1c738131926ffcd07d,2,notification_cb_flag.lto_priv.0,1
02-14ec217fbf853cdac0be40904fdfa44e,2,sys_get_le32.lto_priv.0,4
02-14f14bae508c48a90a4c4e196672872f,2,k_work_submit,12
02-151215f7c610032d3f44a066730e09f1,2,__isr_table_entry__isr_wrapper_irq_184,4
02-151d1a2720cc2ad45e71f0bb7e1999fe,2,__isr_table_entry_z_irq_spurious_irq_562,8
02-1551109e0ecf339d28b2fed3bd56b0a4,2,sys_slist_prepend.lto_priv.1.lto_priv.0,14
02-155cfc268120648673b10e41c5201ca0,2,cracen_wait_for_interrupt,80
02-1563d57a2fbbd7ccc9f840c4ef99a6b2,2,__device_dts_ord_10,20
02-15a8be0d3db8dcbeb6b8d802bb4e0dce,2,hids_boot_kb_inp_rep_ccc_changed,4
02-161cfd5335f0121c6d03f4c87e5b7eb0,2,__isr_table_entry_z_irq_spurious_irq_635,8
02-1625d76be5b128c0bdac61cfa930b20c,2,bt_rand,40
02-16604d3a6772701ce3665584477df6a3,2,__isr_table_entry__isr_wrapper_irq_520,4
02-16a6037baef3c5616de9ef62c028c315,2,__init___device_dts_ord_56,8
02-16b66df32213c97f1862e07e9d97f0b5,2,gatt_indicate,276
02-1711e7f11e6e3d833111b0906bc9e71a,2,__m_vfprintf,660
02-171683ecbb3d313ad07176a76ac3e2ad,2,net_buf_fixed_alloc_hci_cmd_pool,12
02-1729d8828dedcef3edf7aa54b842813c,2,__isr_table_entry__isr_wrapper_irq_394,4
