uuid,level,name,std1,app1,app1(%),app2,app2(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt1,opt1(%),opt2,opt2(%),opt3,opt3(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,38568,39372,2.08,64812,68.05,39348,2.02,38568,0.0,38592,0.06,36960,-4.17,66768,73.12,64224,66.52
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,7789,8041,3.24,,,8025,3.03,7789,0.0,7805,0.21,7789,0.0,,,,
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),5500,6028,9.6,22047,300.85,6024,9.53,5500,0.0,5504,0.07,3900,-29.09,23784,332.44,21743,295.33
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),11275,11283,0.07,42745,279.11,11279,0.04,11275,0.0,11279,0.04,11267,-0.07,42964,281.06,42461,276.59
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,14004,14020,0.11,20,-99.86,14020,0.11,14004,0.0,14004,0.0,14004,0.0,20,-99.86,20,-99.86
02-005fe9134a29cd288aeea5cf1e5986ea,2,__isr_table_entry_z_irq_spurious_irq_544,,,,8,,,,,,,,,,8,0,8,0
02-00f1bdab837355c64a5f0d1171a05837,2,__isr_table_entry_z_irq_spurious_irq_634,,,,8,,,,,,,,,,8,0,8,0
02-011c2730d81a163d21ef4677e0d75520,2,__pinctrl_dev_config__device_dts_ord_117,,,,12,,,,,,,,,,12,0,12,0
02-01e8805d904739930a18ac1df3a69c0e,2,__isr_table_entry_z_irq_spurious_irq_765,,,,8,,,,,,,,,,8,0,8,0
02-0247dc05a1aa46ef081fb4d3476e306d,2,__isr_table_entry_z_irq_spurious_irq_724,,,,8,,,,,,,,,,8,0,8,0
02-02572c1c037d2233e79207584ba16776,2,__isr_table_entry_z_irq_spurious_irq_551,,,,8,,,,,,,,,,8,0,8,0
02-02634eff3c24742057ecacbee91c4bbd,2,buttons,,,,32,,,,,,,,,,32,0,32,0
