uuid,parent,level,identifier,name,size
00-fa03eb688ad8aa1db593d33dabd89bad,,0,root,Root,167667
01-60f3b1ff9b396408039047bbde339c46,00-fa03eb688ad8aa1db593d33dabd89bad,1,(hidden),(hidden),58846
01-665b1ea1222d25c5af30f0aec9f1f04e,00-fa03eb688ad8aa1db593d33dabd89bad,1,:,(no paths),108761
01-6666cd76f96956469e7be39d750cc7d9,00-fa03eb688ad8aa1db593d33dabd89bad,1,/,/,0
01-bb1836de191ead431509f5d1b910124d,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/vturkana/zephyr,ZEPHYR_BASE,60
02-00241e7c284b0f5b44c68e331c726b1c,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry__isr_wrapper_irq_190,__isr_table_entry__isr_wrapper_irq_190,4
02-002540331f8f99089dead307a29980cc,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\settings_handler_bt_hash,settings_handler_bt_hash,24
02-005f9c4aabe7c1f6e4cb1a2a20fbf487,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\buffer_alloc_free_mutexed,buffer_alloc_free_mutexed,284
02-005fe9134a29cd288aeea5cf1e5986ea,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry_z_irq_spurious_irq_544,__isr_table_entry_z_irq_spurious_irq_544,8
02-00ef09c2e25f909ec7e9eca35a6e746d,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\le_phy_updated,le_phy_updated,16
02-00f1bdab837355c64a5f0d1171a05837,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry_z_irq_spurious_irq_634,__isr_table_entry_z_irq_spurious_irq_634,8
02-00fd4e6035795cbf69135294b386a8ed,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\read_str.lto_priv.0,read_str.lto_priv.0,40
02-0103d5b35b32f8f6c0f8482ab8e4e0fd,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\bt_addr_le_eq.lto_priv.0.lto_priv.0,bt_addr_le_eq.lto_priv.0.lto_priv.0,16
02-012f242a94cb0fd78996cbe9db280012,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\sc_ccc_cfg_write,sc_ccc_cfg_write,30
02-014a1df5d7122c71b59b185e524b5716,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\spi_nor_write_protection_set,spi_nor_write_protection_set,58
02-01d586031a5fccb720e110d5fa9eac38,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\frag_destroy,frag_destroy,64
02-01e8805d904739930a18ac1df3a69c0e,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry_z_irq_spurious_irq_765,__isr_table_entry_z_irq_spurious_irq_765,8
