-- west build: running target rom_report
[0/1] cmd.exe /C "cd /D C:\ncs\vturkana\nrf\samples\logi_reference\p_hids_keyb\build_nrf54l15_std1\p_hids_keyb && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/vturkana/nrf/samples/logi_reference/p_hids_keyb/build_nrf54l15_std1/p_hids_keyb/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/vturkana/nrf/samples/logi_reference/p_hids_keyb/build_nrf54l15_std1/p_hids_keyb --workspace=C:/ncs/vturkana -d 99 rom"
WARN: Symbol 'errno' section '.comment' is not in RAM or ROM.
WARN: Symbol 'z_tls_current' section '' is not in RAM or ROM.
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                           180765 100.00%  - 
├── (hidden)                                                                                    17310   9.58%  - 
├── (no paths)                                                                                 163355  90.37%  - 
│   ├── CMD_ECC_PTMUL.lto_priv.0                                                                   20   0.01%  0x0002d2c4 rodata
│   ├── CMD_ECC_PTONCURVE                                                                          20   0.01%  0x0002db98 rodata
│   ├── CSWTCH.11.lto_priv.0                                                                       12   0.01%  0x0002d994 rodata
│   ├── CSWTCH.119                                                                                  5   0.00%  0x0002db84 rodata
│   ├── CSWTCH.120                                                                                  5   0.00%  0x0002db7c rodata
│   ├── CSWTCH.121                                                                                  5   0.00%  0x0002db74 rodata
│   ├── CSWTCH.122                                                                                  5   0.00%  0x0002db6c rodata
│   ├── CSWTCH.15439                                                                                3   0.00%  0x0002d644 rodata
│   ├── CSWTCH.15446.lto_priv.0                                                                    42   0.02%  0x0002d618 rodata
│   ├── CSWTCH.15474                                                                               10   0.01%  0x0002d1cc rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x0002de30 rodata
│   ├── CSWTCH.34                                                                                   3   0.00%  0x0002dc94 rodata
│   ├── CSWTCH.40                                                                                   4   0.00%  0x0002dc6c rodata
│   ├── CSWTCH.43                                                                                  12   0.01%  0x0002d988 rodata
│   ├── CSWTCH.489                                                                                 20   0.01%  0x0002d210 rodata
│   ├── CSWTCH.64                                                                                   6   0.00%  0x0002e424 rodata
│   ├── CSWTCH.8121                                                                                15   0.01%  0x0002db04 rodata
│   ├── CSWTCH.8123                                                                                 9   0.00%  0x0002da14 rodata
│   ├── CSWTCH.8126                                                                                 8   0.00%  0x0002db14 rodata
│   ├── CSWTCH.8620.lto_priv.0                                                                     36   0.02%  0x0002d524 rodata
│   ├── SystemCoreClock                                                                             4   0.00%  0x200002ec datas
│   ├── SystemInit                                                                                248   0.14%  0x00015c89 text
│   ├── _1_gatt_svc                                                                                 8   0.00%  0x0002cdbc bt_gatt_service_static_area
│   ├── _2_gap_svc                                                                                  8   0.00%  0x0002cdc4 bt_gatt_service_static_area
│   ├── _ConfigAbsSyms                                                                              2   0.00%  0x00028c95 text
│   ├── __NVIC_DisableIRQ.lto_priv.0                                                               36   0.02%  0x00008b61 text
│   ├── __NVIC_EnableIRQ.lto_priv.0                                                                28   0.02%  0x00008b45 text
│   ├── __NVIC_GetPriority                                                                         36   0.02%  0x000210a9 text
│   ├── __NVIC_SetPriority.lto_priv.0.lto_priv.0                                                   40   0.02%  0x00008b85 text
│   ├── __NVIC_SystemReset.lto_priv.0.lto_priv.0                                                   36   0.02%  0x0001c121 text
│   ├── ___HAL_RCS_RADIO_TX_END_TO_CARRIER_NS                                                       6   0.00%  0x0002e42c rodata
│   ├── ___HAL_RCS_RADIO_TX_IDLE_TO_TX_NS                                                           6   0.00%  0x0002e434 rodata
│   ├── ___HAL_RCS_RADIO_TX_STARTUP_LATENCY_NS                                                     12   0.01%  0x0002e4a8 rodata
│   ├── __aeabi_idiv0                                                                               2   0.00%  0x00007cb1 text
│   ├── __aeabi_memcpy                                                                             26   0.01%  0x0002ca79 text
│   ├── __compound_literal.0                                                                        8   0.00%  0x0002d670 rodata
│   ├── __compound_literal.0.lto_priv.1.lto_priv.0                                                  4   0.00%  0x0002d230 rodata
│   ├── __compound_literal.0.lto_priv.2                                                             4   0.00%  0x0002e058 rodata
│   ├── __compound_literal.0.lto_priv.3                                                             4   0.00%  0x0002e108 rodata
│   ├── __compound_literal.0.lto_priv.4                                                             4   0.00%  0x0002e198 rodata
│   ├── __compound_literal.1                                                                        8   0.00%  0x0002d684 rodata
│   ├── __compound_literal.1.lto_priv.0                                                             4   0.00%  0x0002e054 rodata
│   ├── __compound_literal.1.lto_priv.1                                                             4   0.00%  0x0002e104 rodata
│   ├── __compound_literal.1.lto_priv.2                                                             4   0.00%  0x0002e3f8 rodata
│   ├── __compound_literal.1.lto_priv.3                                                             4   0.00%  0x0002e194 rodata
│   ├── __compound_literal.10.lto_priv.0                                                            4   0.00%  0x0002e040 rodata
│   ├── __compound_literal.10.lto_priv.1                                                            4   0.00%  0x0002e180 rodata
│   ├── __compound_literal.11.lto_priv.0                                                            4   0.00%  0x0002e038 rodata
│   ├── __compound_literal.11.lto_priv.1                                                            4   0.00%  0x0002e178 rodata
│   ├── __compound_literal.12.lto_priv.0                                                            8   0.00%  0x20000cc8 datas
│   ├── __compound_literal.12.lto_priv.1                                                            8   0.00%  0x20000d34 datas
│   ├── __compound_literal.13.lto_priv.0                                                            4   0.00%  0x0002e03c rodata
│   ├── __compound_literal.13.lto_priv.1                                                            4   0.00%  0x0002e17c rodata
│   ├── __compound_literal.14                                                                       4   0.00%  0x0002d2b0 rodata
│   ├── __compound_literal.15                                                                       4   0.00%  0x0002d2ac rodata
│   ├── __compound_literal.16                                                                       4   0.00%  0x0002d2a8 rodata
│   ├── __compound_literal.17                                                                       4   0.00%  0x0002d29c rodata
│   ├── __compound_literal.18                                                                       8   0.00%  0x20000644 datas
│   ├── __compound_literal.19                                                                       4   0.00%  0x0002d2a4 rodata
│   ├── __compound_literal.2                                                                        2   0.00%  0x200002c8 datas
│   ├── __compound_literal.2.lto_priv.0                                                             4   0.00%  0x0002e050 rodata
│   ├── __compound_literal.2.lto_priv.1                                                             4   0.00%  0x0002e100 rodata
│   ├── __compound_literal.2.lto_priv.2                                                             4   0.00%  0x0002e3f4 rodata
│   ├── __compound_literal.2.lto_priv.3                                                             4   0.00%  0x0002e190 rodata
│   ├── __compound_literal.20                                                                       4   0.00%  0x0002d2a0 rodata
│   ├── __compound_literal.3.lto_priv.0                                                             4   0.00%  0x0002e030 rodata
│   ├── __compound_literal.3.lto_priv.1                                                             4   0.00%  0x0002e0e8 rodata
│   ├── __compound_literal.3.lto_priv.2                                                             4   0.00%  0x0002e170 rodata
│   ├── __compound_literal.4                                                                        1   0.00%  0x200002c4 datas
│   ├── __compound_literal.4.lto_priv.0                                                             8   0.00%  0x20000cd8 datas
│   ├── __compound_literal.4.lto_priv.1                                                             8   0.00%  0x20000d2c datas
│   ├── __compound_literal.4.lto_priv.2                                                             8   0.00%  0x20000d44 datas
│   ├── __compound_literal.5.lto_priv.0                                                             4   0.00%  0x0002e04c rodata
│   ├── __compound_literal.5.lto_priv.1                                                             4   0.00%  0x0002e0fc rodata
│   ├── __compound_literal.5.lto_priv.2                                                             4   0.00%  0x0002e18c rodata
│   ├── __compound_literal.6                                                                        4   0.00%  0x200002c0 datas
│   ├── __compound_literal.6.lto_priv.0                                                             4   0.00%  0x0002e048 rodata
│   ├── __compound_literal.6.lto_priv.1                                                             4   0.00%  0x0002e0f8 rodata
│   ├── __compound_literal.6.lto_priv.2                                                             4   0.00%  0x0002e188 rodata
│   ├── __compound_literal.7.lto_priv.0                                                             4   0.00%  0x0002e034 rodata
│   ├── __compound_literal.7.lto_priv.1                                                            76   0.04%  0x20000ce0 datas
│   ├── __compound_literal.7.lto_priv.2                                                             4   0.00%  0x0002e174 rodata
│   ├── __compound_literal.8.lto_priv.0                                                             8   0.00%  0x20000cd0 datas
│   ├── __compound_literal.8.lto_priv.1                                                             4   0.00%  0x0002e0f4 rodata
│   ├── __compound_literal.8.lto_priv.2                                                             8   0.00%  0x20000d3c datas
│   ├── __compound_literal.9.lto_priv.0                                                             4   0.00%  0x0002e044 rodata
│   ├── __compound_literal.9.lto_priv.1                                                             4   0.00%  0x0002e184 rodata
│   ├── __device_dts_ord_10                                                                        20   0.01%  0x0002cbc8 device_area
│   ├── __device_dts_ord_110                                                                       20   0.01%  0x0002cc2c device_area
│   ├── __device_dts_ord_12                                                                        20   0.01%  0x0002cbf0 device_area
│   ├── __device_dts_ord_121                                                                       20   0.01%  0x0002cc40 device_area
│   ├── __device_dts_ord_125                                                                       20   0.01%  0x0002cc68 device_area
│   ├── __device_dts_ord_130                                                                       20   0.01%  0x0002cc54 device_area
│   ├── __device_dts_ord_23                                                                        20   0.01%  0x0002cbdc device_area
│   ├── __device_dts_ord_3                                                                         20   0.01%  0x0002cc18 device_area
│   ├── __device_dts_ord_4                                                                         20   0.01%  0x0002cc04 device_area
│   ├── __device_dts_ord_56                                                                        20   0.01%  0x0002cc90 device_area
│   ├── __device_dts_ord_64                                                                        20   0.01%  0x0002ccb8 device_area
│   ├── __device_dts_ord_65                                                                        20   0.01%  0x0002cbb4 device_area
│   ├── __device_dts_ord_78                                                                        20   0.01%  0x0002cca4 device_area
│   ├── __device_dts_ord_97                                                                        20   0.01%  0x0002cc7c device_area
│   ├── __devstate_dts_ord_10.lto_priv.0                                                            2   0.00%  0x20000d9b device_states
│   ├── __devstate_dts_ord_110                                                                      2   0.00%  0x20000da3 device_states
│   ├── __devstate_dts_ord_12.lto_priv.0                                                            2   0.00%  0x20000d9f device_states
│   ├── __devstate_dts_ord_121.lto_priv.0                                                           2   0.00%  0x20000d91 device_states
│   ├── __devstate_dts_ord_125                                                                      2   0.00%  0x20000d93 device_states
│   ├── __devstate_dts_ord_130                                                                      2   0.00%  0x20000d8f device_states
│   ├── __devstate_dts_ord_23.lto_priv.0                                                            2   0.00%  0x20000d9d device_states
