-- west build: running target rom_report
[0/1] cmd.exe /C "cd /D C:\ncs\vturkana\nrf\samples\logi_reference\p_hids_keyb\build_nrf54l15_std1_fp\p_hids_keyb && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/vturkana/nrf/samples/logi_reference/p_hids_keyb/build_nrf54l15_std1_fp/p_hids_keyb/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/vturkana/nrf/samples/logi_reference/p_hids_keyb/build_nrf54l15_std1_fp/p_hids_keyb --workspace=C:/ncs/vturkana -d 99 rom"
WARN: Symbol 'errno' section '.comment' is not in RAM or ROM.
WARN: Symbol 'z_tls_current' section '' is not in RAM or ROM.
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                           149304 100.00%  - 
├── (hidden)                                                                                     1079   0.72%  - 
├── (no paths)                                                                                 148223  99.28%  - 
│   ├── CMD_ECC_PTMUL.lto_priv.0                                                                   20   0.01%  0x00029924 rodata
│   ├── CMD_ECC_PTONCURVE                                                                          20   0.01%  0x00029e38 rodata
│   ├── CSWTCH.119                                                                                  5   0.00%  0x00029da0 rodata
│   ├── CSWTCH.120                                                                                  5   0.00%  0x00029d98 rodata
│   ├── CSWTCH.121                                                                                  5   0.00%  0x00029d90 rodata
│   ├── CSWTCH.122                                                                                  5   0.00%  0x00029d88 rodata
│   ├── CSWTCH.150                                                                                 15   0.01%  0x00029a60 rodata
│   ├── CSWTCH.152                                                                                  9   0.01%  0x00029970 rodata
│   ├── CSWTCH.155                                                                                  8   0.01%  0x00029a70 rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x0002a0cc rodata
│   ├── CSWTCH.307                                                                                  3   0.00%  0x00029824 rodata
│   ├── CSWTCH.314.lto_priv.0                                                                      42   0.03%  0x000297f8 rodata
│   ├── CSWTCH.40                                                                                   4   0.00%  0x0002a184 rodata
│   ├── CSWTCH.44                                                                                  12   0.01%  0x00029dd4 rodata
│   ├── CSWTCH.49                                                                                   3   0.00%  0x00029f30 rodata
│   ├── CSWTCH.64                                                                                   6   0.00%  0x0002a0f4 rodata
│   ├── SystemCoreClock                                                                             4   0.00%  0x2000035c datas
│   ├── SystemInit                                                                                248   0.17%  0x000119c5 text
│   ├── _1_gatt_svc                                                                                 8   0.01%  0x000294d8 bt_gatt_service_static_area
