uuid,parent,level,identifier,name,size
00-fa03eb688ad8aa1db593d33dabd89bad,,0,root,Root,179673
01-50484c19f1afdaf3841a0d821ed393d2,00-fa03eb688ad8aa1db593d33dabd89bad,1,kernel,kernel,2
01-60f3b1ff9b396408039047bbde339c46,00-fa03eb688ad8aa1db593d33dabd89bad,1,(hidden),(hidden),17190
01-665b1ea1222d25c5af30f0aec9f1f04e,00-fa03eb688ad8aa1db593d33dabd89bad,1,:,(no paths),162383
01-e8acc63b1e238f3255c900eed37254b8,00-fa03eb688ad8aa1db593d33dabd89bad,1,lib,lib,98
02-00241e7c284b0f5b44c68e331c726b1c,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry__isr_wrapper_irq_190,__isr_table_entry__isr_wrapper_irq_190,4
02-00507e94ef4efd1e0936b3ac37bf0b3e,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\clock_ctrl_lfclk_calibration_init,clock_ctrl_lfclk_calibration_init,140
02-005fe9134a29cd288aeea5cf1e5986ea,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry_z_irq_spurious_irq_544,__isr_table_entry_z_irq_spurious_irq_544,8
02-007092d175f022e477e24f4e08922923,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\saadc_irq_handler,saadc_irq_handler,408
02-008916bb7f690acf241057968621f56d,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\m_irk_pair_index_get.lto_priv.0,m_irk_pair_index_get.lto_priv.0,40
02-009ecfa782c73cc1ec1944148b7f5a56,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\k_queue_init.lto_priv.1.lto_priv.0,k_queue_init.lto_priv.1.lto_priv.0,26
02-00a86cdb661632b92b6b91288614cf8c,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\log_const_bt_adv,log_const_bt_adv,8
02-00ef09c2e25f909ec7e9eca35a6e746d,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\le_phy_updated,le_phy_updated,16
02-00f1bdab837355c64a5f0d1171a05837,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry_z_irq_spurious_irq_634,__isr_table_entry_z_irq_spurious_irq_634,8
02-00fd4e6035795cbf69135294b386a8ed,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\read_str.lto_priv.0,read_str.lto_priv.0,40
02-012f242a94cb0fd78996cbe9db280012,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\sc_ccc_cfg_write,sc_ccc_cfg_write,30
02-0145d036cc1c843e1dd82d75d3f2a73b,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_pend_curr,z_pend_curr,232
02-017d0d41831cf85d3cc21e69d8019fac,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\pwm_nrfx_set_cycles,pwm_nrfx_set_cycles,480
02-017f8e5283273562464648926d1d358a,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\ll_dc_proc_enc_rcvd_enc_req_proc,ll_dc_proc_enc_rcvd_enc_req_proc,128
02-018d6cd8eae670fb2bd849f830cf3498,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\mm_adv_buf_append,mm_adv_buf_append,96
02-01aa60b45d76a1fcd9a9539c78b055dd,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\nrf_security_mutex_unlock,nrf_security_mutex_unlock,32
02-01cedc1f072f011537bc4a58163525ca,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\m_lut.3.lto_priv.0,m_lut.3.lto_priv.0,12
02-01d586031a5fccb720e110d5fa9eac38,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\frag_destroy,frag_destroy,88
02-01e8805d904739930a18ac1df3a69c0e,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry_z_irq_spurious_irq_765,__isr_table_entry_z_irq_spurious_irq_765,8
02-0205c20f57bcd2a43d106421e945d6d5,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry__isr_wrapper_irq_110,__isr_table_entry__isr_wrapper_irq_110,4
02-0208af371ed43a56c51a68c2925a3b94,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry__isr_wrapper_irq_128,__isr_table_entry__isr_wrapper_irq_128,4
02-020bf187c15615da871ca8671ff970ba,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\ll_dc_proc_phy_update_request_event_populate,ll_dc_proc_phy_update_request_event_populate,120
02-02241d76b4edbd158875f3e34ffda394,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry__isr_wrapper_irq_104,__isr_table_entry__isr_wrapper_irq_104,4
02-023f0d5ea9fb92a0597ab7d8ca1859bc,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\m_memory_init.constprop.0,m_memory_init.constprop.0,824
02-0247dc05a1aa46ef081fb4d3476e306d,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\__isr_table_entry_z_irq_spurious_irq_724,__isr_table_entry_z_irq_spurious_irq_724,8
02-024a7d6d3008244d625c8f5ca5bbde90,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\process_event.lto_priv.0,process_event.lto_priv.0,672
