uuid,level,name,std1,std1_release,std1_release(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,178461,144687,-18.93
01-50484c19f1afdaf3841a0d821ed393d2,1,kernel,2,,
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),17190,1117,-93.5
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),161171,143568,-10.92
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,,2,
01-e8acc63b1e238f3255c900eed37254b8,1,lib,98,,
02-00241e7c284b0f5b44c68e331c726b1c,2,__isr_table_entry__isr_wrapper_irq_190,4,4,0.0
02-00507e94ef4efd1e0936b3ac37bf0b3e,2,clock_ctrl_lfclk_calibration_init,140,140,0.0
02-005fe9134a29cd288aeea5cf1e5986ea,2,__isr_table_entry_z_irq_spurious_irq_544,8,8,0.0
02-007092d175f022e477e24f4e08922923,2,saadc_irq_handler,408,344,-15.69
02-008916bb7f690acf241057968621f56d,2,m_irk_pair_index_get.lto_priv.0,40,40,0.0
02-00a86cdb661632b92b6b91288614cf8c,2,log_const_bt_adv,8,,
02-00ef09c2e25f909ec7e9eca35a6e746d,2,le_phy_updated,16,2,-87.5
02-00f1bdab837355c64a5f0d1171a05837,2,__isr_table_entry_z_irq_spurious_irq_634,8,8,0.0
02-00fd4e6035795cbf69135294b386a8ed,2,read_str.lto_priv.0,40,40,0.0
02-012f242a94cb0fd78996cbe9db280012,2,sc_ccc_cfg_write,30,30,0.0
02-0145d036cc1c843e1dd82d75d3f2a73b,2,z_pend_curr,232,,
02-017d0d41831cf85d3cc21e69d8019fac,2,pwm_nrfx_set_cycles,480,396,-17.5
02-017f8e5283273562464648926d1d358a,2,ll_dc_proc_enc_rcvd_enc_req_proc,128,128,0.0
02-018d6cd8eae670fb2bd849f830cf3498,2,mm_adv_buf_append,96,96,0.0
02-01aa60b45d76a1fcd9a9539c78b055dd,2,nrf_security_mutex_unlock,32,4,-87.5
02-01cedc1f072f011537bc4a58163525ca,2,m_lut.3.lto_priv.0,,12,
02-01d586031a5fccb720e110d5fa9eac38,2,frag_destroy,88,64,-27.27
02-01e8805d904739930a18ac1df3a69c0e,2,__isr_table_entry_z_irq_spurious_irq_765,8,8,0.0
02-0205c20f57bcd2a43d106421e945d6d5,2,__isr_table_entry__isr_wrapper_irq_110,4,4,0.0
02-0208af371ed43a56c51a68c2925a3b94,2,__isr_table_entry__isr_wrapper_irq_128,4,4,0.0
02-020bf187c15615da871ca8671ff970ba,2,ll_dc_proc_phy_update_request_event_populate,120,120,0.0
02-02241d76b4edbd158875f3e34ffda394,2,__isr_table_entry__isr_wrapper_irq_104,4,4,0.0
02-023f0d5ea9fb92a0597ab7d8ca1859bc,2,m_memory_init.constprop.0,824,824,0.0
02-0247dc05a1aa46ef081fb4d3476e306d,2,__isr_table_entry_z_irq_spurious_irq_724,8,8,0.0
02-024a7d6d3008244d625c8f5ca5bbde90,2,process_event.lto_priv.0,672,540,-19.64
02-02572c1c037d2233e79207584ba16776,2,__isr_table_entry_z_irq_spurious_irq_551,8,8,0.0
02-02619a2e6232e82cfad34132f0c07736,2,bt_gatt_service_init.lto_priv.0,88,60,-31.82
02-026318f1fb8e3b29d55883ed4d1de8ff,2,m_shorter_conn_int_event_raise_func.lto_priv.0,4,4,0.0
02-026f93eb84e484e3cf4ef81dd7882574,2,z_impl_entropy_get_entropy.lto_priv.0,36,,
02-0279d63381d5a44ce15a92c5a1c3a50e,2,slave_conn_reset_list_elem,8,8,0.0
02-02b7062af8a130a5d84e707a48b5456f,2,__pinctrl_state_pins_0__device_dts_ord_78,8,8,0.0
02-02dca64b35fc539b12453073de2b36c1,2,k_queue_init.lto_priv.0.lto_priv.0,26,,
02-02f7b03ba225b7bd6e784271b77db202,2,__isr_table_entry__isr_wrapper_irq_34,4,4,0.0
02-0300d5aad6862b5c6002a102b3e7b805,2,__init_k_sys_work_q_init,8,8,0.0
02-030416dd3b4764c6a1053fe383654ff3,2,log_const_bt_smp,8,,
02-032d434ccce705cacca936b0e6dea69e,2,chunk_set,22,22,0.0
02-033788f17decf23fd35f1f0caaccfbc0,2,m_lut.2.lto_priv.0,12,12,0.0
02-034ee5379ba7916e51e26a71fb099ac2,2,hci_id_add,98,100,2.04
02-0352aee8a26723d9d05206a5c31f3874,2,ll_dc_proc_ping_req_sent,26,26,0.0
02-0365e6ce0bfcec04e9aaf0df22210fdc,2,log_const_bt_conn_ctx,8,,
02-038cb18b7052e5590106f5aa9fefc998,2,__isr_table_entry_z_irq_spurious_irq_537,8,8,0.0
02-039afd9944ff8bb7c07f37d7f624da21,2,sys_clock_cycle_get_32,88,30,-65.91
02-039b82b152daed85aa60790d974b612a,2,net_buf_fixed_hci_rx_pool,4,4,0.0
02-03da88b3960003e51bc67c7bb0386999,2,sx_curve_nistp256,12,12,0.0
02-03e702618eae0336588227525a377c64,2,m_ctrl_packet_activity,24,24,0.0
02-0404dc2c16d4bcf2ce68e7523868a995,2,submit_to_queue_locked,188,160,-14.89
02-0418b64145355dec6b595c5087db0de2,2,nordicsemi_nrf54l_init,176,176,0.0
02-043ffd103e65a59776eb6824d9aef66b,2,uarte_20_init,128,,
02-04446800a2ddafbb7fd19c22a93318bf,2,hid_init.lto_priv.0,1852,1536,-17.06
02-044db9b7919cfafda6d31399eac85f4a,2,__init_statics_init_pre,8,8,0.0
02-0465f9d9258d3ff16d4ab276b7ac447a,2,net_buf_fixed_cb,12,12,0.0
02-04c078d6acbd56aa06487fd064cc27a9,2,level_cpf,8,8,0.0
02-04c1e4672334cd398014917d7255a543,2,nrfx_power_clock_irq_handler,368,368,0.0
02-04c5e56a849bfb57dea8ad30f764276a,2,__isr_table_entry_z_irq_spurious_irq_784,8,8,0.0
02-04d41be17d5396292cd9b0d1cd79ffd3,2,__isr_table_entry_z_irq_spurious_irq_721,8,8,0.0
02-04e12518b684294145afb88f81daf908,2,___HAL_RCS_RADIO_TX_IDLE_TO_TX_NS,6,6,0.0
02-04e4659c6873474a0f2f3d571f0ccba9,2,bt_conn_index.part.0,28,,
02-04f9a6bfbaad42a8154d1eab2640b964,2,m_enable_shorts_for_trx_if_radio_params_are_ready,96,96,0.0
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,36,36,0.0
02-057cca003c75ace7e5f5b414a260937e,2,k_queue_init.lto_priv.2,,24,
02-05905459d24f47b78effd0bfbed9302d,2,__isr_table_entry__isr_wrapper_irq_496,4,4,0.0
02-0591fde52cb021e21414b153f5e33385,2,z_impl_k_wakeup,,68,
02-059ba0c47aba578cf918a39cef8dd0be,2,unpend_thread_no_timeout.lto_priv.3,48,,
02-05b67673090ed0a70a90af25b687a078,2,__isr_table_entry_z_irq_spurious_irq_693,8,8,0.0
02-05c2e88813a279f6dc7882ca1ec2ea7a,2,__isr_table_entry_z_irq_spurious_irq_640,8,8,0.0
02-05ecb497efdaa15d9f4c158e5b488ad4,2,m_low_irq_latency_set.lto_priv.0,36,36,0.0
