uuid,parent,level,identifier,name,size
00-fa03eb688ad8aa1db593d33dabd89bad,,0,root,Root,41533
01-09498dbadf45966909850dc8a47ebb13,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/v3.0.1,WORKSPACE,9105
01-60f3b1ff9b396408039047bbde339c46,00-fa03eb688ad8aa1db593d33dabd89bad,1,(hidden),(hidden),5705
01-665b1ea1222d25c5af30f0aec9f1f04e,00-fa03eb688ad8aa1db593d33dabd89bad,1,:,(no paths),11156
01-6666cd76f96956469e7be39d750cc7d9,00-fa03eb688ad8aa1db593d33dabd89bad,1,/,/,0
01-bb1836de191ead431509f5d1b910124d,00-fa03eb688ad8aa1db593d33dabd89bad,1,C:/ncs/v3.0.1/zephyr,ZEPHYR_BASE,15567
02-05533e7a0ea600c6bb6eb9a734919be1,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\gatt_conn_cb.0,gatt_conn_cb.0,36
02-0a4338ea3651b750487758d27cb904c1,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\ops.0,ops.0,40
02-0eb9b3af2e4a00837a1b1a854c9ea18c,01-09498dbadf45966909850dc8a47ebb13,2,modules,modules,1904
02-0ec3ac2054d4681e6c9d4825765209ee,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_idle_threads,z_idle_threads,144
02-1094c50e30c0bef11e77f3a92e17d2f9,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\_sched_spinlock,_sched_spinlock,4
02-1acd1f648b570c729a904a7c2fa45dfc,01-665b1ea1222d25c5af30f0aec9f1f04e,2,__compound_literal*,__compound_literal*,731
02-2f158c4731d76d5975b8546d85de1b34,01-6666cd76f96956469e7be39d750cc7d9,2,C:\,C:\,936
02-316e7f39b0580b06e68ccd7c94a1d88b,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\str.3,str.3,129
02-38d7b76b771634bb6aaae4ffde5922a8,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\_sw_isr_table,_sw_isr_table,2168
02-3b8238b190187fceef29c292cb88b526,01-665b1ea1222d25c5af30f0aec9f1f04e,2,:\z_main_stack,z_main_stack,3584
