uuid,level,name,std2.8.0,std2.9.0,std2.9.0(%),std3.0.1,std3.0.1(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,40836,40836,0.0,41533,1.71
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,9582,9582,0.0,9105,-4.98
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),5393,5393,0.0,5705,5.79
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),7590,7590,0.0,11156,46.98
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,18271,18271,0.0,15567,-14.8
02-0437ea27f8035e08d78a97e243d9c39f,2,hci_buf.0,74,74,0.0,,
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,36,36,0.0,36,0.0
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40,40,0.0,40,0.0
02-0db62b86e8f39f5607bcfdae9cf94f3c,2,wait_q.0,8,8,0.0,,
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,1860,1860,0.0,1904,2.37
02-0ec3ac2054d4681e6c9d4825765209ee,2,z_idle_threads,144,144,0.0,144,0.0
02-1094c50e30c0bef11e77f3a92e17d2f9,2,_sched_spinlock,4,4,0.0,4,0.0
02-1acd1f648b570c729a904a7c2fa45dfc,2,__compound_literal*,731,731,0.0,731,0.0
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,916,916,0.0,936,2.18
02-316e7f39b0580b06e68ccd7c94a1d88b,2,str.3,129,129,0.0,129,0.0
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168,2168,0.0,2168,0.0
02-3b8238b190187fceef29c292cb88b526,2,z_main_stack,,,,3584,
02-3cca42c4f48f32184dc7d459a6842407,2,z_main_thread,144,144,0.0,144,0.0
02-44f0cbab43d4061c1dc047bd6a579531,2,sym_*,943,943,0.0,943,0.0
02-47352518f90e6887f4dd7acbc9a14580,2,settings_load_srcs,8,8,0.0,8,0.0
02-50484c19f1afdaf3841a0d821ed393d2,2,kernel,6042,6042,0.0,2462,-59.25
02-6132bca83a4cd9c08eb8504f1f608b68,2,last_state.0,4,4,0.0,4,0.0
02-65e3af4198a3ba671730e5a1254a1758,2,z_interrupt_stacks,2048,2048,0.0,2048,0.0
02-71d3af2db695ec20f3c4af8748546da1,2,k_sys_work_q,176,176,0.0,176,0.0
02-735c4efa6ac3e1e45b1ae2a70a62f44d,2,mpsl_work_q,176,176,0.0,176,0.0
02-7453818a81866954dbc648cc19b78a73,2,cli.1,16,16,0.0,16,0.0
02-792cdbb2ff2168ced5d2267c5da659ca,2,last_button_scan.1,4,4,0.0,4,0.0
02-7d0d4e9e9148e130857ddb83462522b5,2,_kernel,32,32,0.0,32,0.0
02-7dfd0916e87aaa90a45bf1ec3391e970,2,subsys,11382,11382,0.0,12254,7.66
02-84917115db7fc982cd67bd759fd0890c,2,SystemCoreClock,4,4,0.0,4,0.0
02-89a59689861225eb508a89e526638dd8,2,bt_dev,376,376,0.0,376,0.0
02-8a1075be9012a6c1ab97401581fed081,2,on.2,4,4,0.0,4,0.0
02-97fdda5ddec91d156757bd4878d58731,2,settings_handlers,8,8,0.0,8,0.0
02-99b40c02b326985044c94c234b7a5e64,2,chr.1,4,4,0.0,4,0.0
02-9b8c441126f7e441abf32b52812793ed,2,gatt_conn_auth_info_cb.1,16,16,0.0,16,0.0
02-9eccfb3fed0ccddd3f9432f64b447ee8,2,settings_save_dst,4,4,0.0,4,0.0
02-a914696b42ed6ea44809293ab6ef0076,2,ident.1,1,1,0.0,1,0.0
02-b025e351d7adc20ce0f7335384bc5de7,2,str.1,30,30,0.0,30,0.0
02-c8599d1502023c7d601ea24660fc9a5c,2,_thread_dummy,144,144,0.0,144,0.0
02-ccee81d8756473fc081dc0c67d5c05a2,2,initial_run.2,1,1,0.0,1,0.0
02-d3f48812cd481e287e743eff085eba44,2,pub_key_cb.0,8,8,0.0,,
02-d6194c68fcc7e79bb57401be603cb1cc,2,arch,25,25,0.0,25,0.0
02-d6cd44b3118dea63c3942bd300bb4c20,2,bt_auth,4,4,0.0,4,0.0
02-db375c9de329a5b90a323d5da44a5333,2,kmu_push_area,,,,64,
