uuid,level,name,std2.8.0,std2.9.0,std2.9.0(%),std3.0.1,std3.0.1(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,231224,231068,-0.07,245392,6.13
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,33605,33653,0.14,50952,51.62
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),27367,27293,-0.27,26749,-2.26
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),77353,77061,-0.38,74927,-3.14
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0
01-7db78365898c456bd7c383d01c5a6853,1,OUTPUT_DIR,1098,1098,0.0,1126,2.55
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,91801,91963,0.18,91638,-0.18
02-00431a577338786768a0730c93d08e90,2,mpsl_clock_hfclk_release,28,28,0.0,40,42.86
02-03da88b3960003e51bc67c7bb0386999,2,sx_curve_nistp256,,,,12,
02-0465f9d9258d3ff16d4ab276b7ac447a,2,net_buf_fixed_cb,12,12,0.0,12,0.0
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,36,36,0.0,36,0.0
02-05ec52560623b8198de6740a8dd7e70e,2,sdc_hci_cmd_le_clear_filter_accept_list,4,4,0.0,4,0.0
02-0830ba6cef27a110a2c59b052f95a9a0,2,mpsl_low_priority_process,4,4,0.0,4,0.0
02-0840b53f25750516ae68d62c0d5c14dc,2,sdc_hci_cmd_le_read_remote_features,4,4,0.0,4,0.0
02-09a211323185172a3285a9fa5e7b75f4,2,sdc_hci_cmd_le_set_adv_params,4,4,0.0,4,0.0
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40,40,0.0,40,0.0
02-0bb8e3832ed341d8974364ee7752f62d,2,__device_dts_ord_124,,,,20,
02-0d92746df4f016bed96b482057ebe5f3,2,__device_dts_ord_114,20,,,,
02-0db62b86e8f39f5607bcfdae9cf94f3c,2,wait_q.0,8,8,0.0,,
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,13159,13207,0.36,17369,31.99
02-1003d7d17e0068ffa89071fa06bc4afd,2,sdc_hci_cmd_le_set_default_phy,4,4,0.0,4,0.0
02-14531855120b874f1c54ad81f2b1a743,2,mpsl_is_initialized,12,12,0.0,12,0.0
02-15471298a00f9cb185b03dcaadafd432,2,mpsl_ecb_block_encrypt_extended,142,16,-88.73,16,-88.73
02-1563d57a2fbbd7ccc9f840c4ef99a6b2,2,__device_dts_ord_10,20,20,0.0,20,0.0
02-187e0cc955574a504d8b5a735936660c,2,sdc_hci_cmd_le_set_adv_data,4,4,0.0,4,0.0
02-18d627716a6c8f54e1778dd4fd788eee,2,sdc_hci_cmd_le_long_term_key_request_reply,8,8,0.0,8,0.0
02-19fc55dc23d46a62d5d51a114b581d45,2,sdc_hci_cmd_vs_conn_update,100,100,0.0,100,0.0
02-1acd1f648b570c729a904a7c2fa45dfc,2,__compound_literal*,323,323,0.0,323,0.0
02-1b106abd35545367c66f3cfa318936c7,2,sdc_hci_cmd_vs_get_next_conn_event_counter,30,30,0.0,30,0.0
02-1bad3c00dded1e49ada0434ab84bd112,2,__device_dts_ord_4,20,20,0.0,20,0.0
02-1c29ac0ab69660bfc944d1a913ecda64,2,cq,32,32,0.0,,
02-1dc29b58647256561f4f00d7a5ab0e7f,2,mpu_config,8,8,0.0,8,0.0
02-1de2f0e7f84472c209531d7fb98f7367,2,sdc_hci_cmd_lc_disconnect,4,4,0.0,4,0.0
02-1fd2bc9373a5051c13b6a464812d220f,2,sdc_hci_cmd_le_clear_resolving_list,4,4,0.0,4,0.0
02-1ff749f9877b82913a087a6fce1668bf,2,sdc_support_adv,44,40,-9.09,40,-9.09
02-22ed0daba86e7c1e4b68a251fdc7e937,2,p256_zdblu,184,184,0.0,,
02-2438921d530dacb12b45ebb0125b3a62,2,sdc_hci_cmd_ip_read_local_version_information,4,4,0.0,4,0.0
02-24c33103069b0f0e7879ad8f2ff2d333,2,strcmp,20,20,0.0,20,0.0
02-264bc3ee7c5518e7b8b4c7589492e74f,2,__device_dts_ord_129,,,,20,
02-26ee4c75ee034e4198c608b9cf8f8320,2,__device_dts_ord_24,20,20,0.0,,
02-27910bc25740bd3e1bff74124dc0bf71,2,mpsl_fem_tx_power_split,20,20,0.0,20,0.0
02-27c1fddba4a03bf70b2f953cf2ea5433,2,sdc_hci_cmd_le_set_data_related_address_changes,4,4,0.0,4,0.0
02-28ba64f5d894447c9ed6dd80bb8a743f,2,nordic_str.1,24,24,0.0,24,0.0
02-290b8fe62298678eff699dac6a42a3c7,2,sdc_hci_cmd_vs_zephyr_read_version_info,50,54,8.0,56,12.0
02-291d3afca503bd4638f5f5874d072b22,2,sdc_hci_cmd_le_reject_cis_request,4,4,0.0,4,0.0
02-2d5925229dd0cf8ce42558ba1077f552,2,sdc_hci_cmd_vs_peripheral_latency_mode_set,8,8,0.0,8,0.0
02-2e1cfe8e312ef6be7c43437165df99bd,2,sdc_rand_source_register,16,16,0.0,16,0.0
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,3092,3092,0.0,3112,0.65
02-3064bc7e010ccf2a0382caf42c9687e8,2,p256_zaddu,152,152,0.0,,
02-30f9be907da08e8ec429c10d66f53c9f,2,ocrypto_mod_p256_to_bytes,50,50,0.0,,
02-32af5b9b89ccb5846acd3a7bff058ef9,2,sdc_hci_cmd_le_write_suggested_default_data_length,4,4,0.0,4,0.0
02-3372af3c02900bba27f6c78efc20d0b8,2,__udivmoddi4,668,668,0.0,668,0.0
02-33b309a10b2f4936997a72d144b3ad7c,2,sdc_hci_cmd_le_remove_device_from_resolving_list,4,4,0.0,4,0.0
02-346e8b97ef1b34e7632f1122675aac1a,2,CSWTCH.*,387,387,0.0,429,10.85
02-349e04cd5af966035e651f5a5c2312db,2,find_next,6,6,0.0,6,0.0
02-35dcf79f4bb7f5a38294e23f9d3f450b,2,sdc_hci_cmd_le_set_data_length,4,4,0.0,4,0.0
02-36e3252034447fad7e24ac6e5520c89a,2,__l_vfprintf,1204,1204,0.0,1204,0.0
02-37116fb118c85a0a3d4808cc56c490a8,2,mpsl_fem_utils_available_cc_channels_cache,64,64,0.0,64,0.0
02-37247a44a7549e18c0b734da14579da3,2,ocrypto_sc_p256_from32bytes,84,84,0.0,,
02-386ded15827584aee3f64bf5b5b7b443,2,sdc_hci_get,32,32,0.0,32,0.0
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168,2168,0.0,2168,0.0
02-3b68c8058a2d6ba9e002a0bf8348e2f5,2,var_str.0,16,16,0.0,16,0.0
02-3e57d9c6a6f211662b3469b4920886b9,2,ops.1,40,40,0.0,,
02-40107b4903bf893c5c2d378bad0078cb,2,sdc_hci_cmd_le_add_device_to_filter_accept_list,4,4,0.0,4,0.0
02-41be535153c4b535bc9d0a610d3bd66b,2,stderr,,,,4,
02-427d22b2582ea2c78bf73f049a83f08f,2,sdc_hci_cmd_cb_set_event_mask,10,10,0.0,10,0.0
02-4287a4df4ae50ebfb8cb668ef27e7b98,2,memcmp,32,32,0.0,32,0.0
02-44bc0db5d2dd6c5374bff9488d9fe398,2,sdc_hci_cmd_lc_read_remote_version_information,4,4,0.0,4,0.0
02-44f0cbab43d4061c1dc047bd6a579531,2,sym_*,65250,65084,-0.25,64844,-0.62
02-4652480a53d1dd1883fa73da28d772b7,2,mpsl_calibration_timer_handle,4,4,0.0,28,600.0
02-4687293ff1fdc5b845e8e1f2080248df,2,delay_machine_code.0,6,6,0.0,6,0.0
02-4701b0b9ce625dd7502bfe7640e0cf00,2,sdc_hci_data_put,20,20,0.0,20,0.0
02-4775e79e5a5577b4cf3ec6fcb4243772,2,ocrypto_ecdh_p256_public_key,40,40,0.0,,
02-47a8c6a340ad4255425a41f79b3fc16b,2,ocrypto_ecdh_p256_common_secret,56,56,0.0,,
02-4884926a5614179cef591cbdbfd81742,2,ocrypto_curve_p256_to32bytes,4,4,0.0,,
02-4bad7a6401e781b067bb23360f2a14dc,2,sdc_hci_cmd_vs_zephyr_read_static_addresses,164,164,0.0,72,-56.1
02-4bc77f1fb879c6b6f25742d27c12f22e,2,__device_dts_ord_119,20,,,,
02-4c910ad40d2bbdc4872ea801e028a073,2,ocrypto_curve_p256_to64bytes,26,26,0.0,,
02-4f22ba7b5d42ca7f3f12d71ce804dfc1,2,sdc_hci_cmd_vs_zephyr_write_bd_addr,4,4,0.0,4,0.0
02-4f2689dcc252b6c3fe0dc5db85677444,2,__device_dts_ord_87,20,,,,
02-50484c19f1afdaf3841a0d821ed393d2,2,kernel,16200,16200,0.0,15726,-2.93
02-50e3390154a5f071db315c73020338d4,2,sdc_hci_cmd_le_rand,4,4,0.0,4,0.0
02-5170d5382a77c6f1ddc9beedc901869c,2,__ultoa_invert,172,172,0.0,172,0.0
02-51f07bbcf76d88565b5acfd4928ec136,2,sdc_hci_cmd_le_read_resolving_list_size,4,4,0.0,4,0.0
02-520f94d47632a4952c833c0f20be3413,2,sxhashalg_sha2_256,,,,32,
02-5351878682c188a502023f4f38873db6,2,smp_security_request,4,4,0.0,4,0.0
02-5381d1a58cfe50698c7b2e2ce9518e7b,2,sdc_init,188,172,-8.51,184,-2.13
02-54a005cc528cb36555e5783a8223e5e5,2,inv_a,32,32,0.0,,
02-573442d06ab6a002b4cd74a58fc90b5b,2,bt_addr_none,6,6,0.0,6,0.0
02-58b83e141b8c683f1b0cd83a84724a15,2,__file_str_put,16,16,0.0,16,0.0
02-58c328b7e5056d96b54a2412fb133afe,2,ocrypto_mod_p256_cneg,58,58,0.0,,
02-590949f79777c9a10e217b8f9aca2c81,2,sdc_hci_cmd_vs_zephyr_read_chip_temp,44,44,0.0,44,0.0
02-592b84e0a35452fa25095224184147d1,2,mpsl_timeslot_session_close,60,60,0.0,60,0.0
02-592dcfacd5a731b6b8903a07502c41cd,2,base_point,64,64,0.0,,
02-59e1d417d3fb311949f47213a6b744b1,2,mpsl_dppi_fixed_channels_set,48,48,0.0,48,0.0
02-5a6bf318202fe7ce224ff3f356ceba36,2,__device_dts_ord_63,,,,20,
02-5bb65ab7043dabfde91cf27dfd89d026,2,__device_dts_ord_3,20,20,0.0,20,0.0
02-5c755b935c34bbd087828cc738c0beee,2,__device_dts_ord_12,20,20,0.0,20,0.0
02-5d44dcda813b24bcee43a2b82b301db4,2,sdc_hci_cmd_le_set_scan_response_data,4,4,0.0,4,0.0
02-5e98023bc6cae943b9312984fc7ff7e4,2,sdc_support_phy_update_peripheral,28,28,0.0,28,0.0
02-5fbc4915e6b39f7766a422e51c53c211,2,smp_pairing_rsp,,,,4,
02-610578b64fa37bb1a37e326970e4e57d,2,__device_dts_ord_118,,20,,,
02-6162e99835511f7b602464c21af3d141,2,__device_dts_ord_127,,20,,,
02-62d6c3e5945e539a91a32870c8cc4829,2,__device_dts_ord_99,20,,,,
